	onset	duration	trial_type	real_time
0	2.7621543002314866	10.00045569986105	preaudio_metronome	12:51:42:601872
1	5.2207367001101375	0.0	Right-Max	12:51:45:060846
2	7.754647800233215	0.0	Left-Min	12:51:47:594407
3	11.505088599864393	0.0	Right-Max	12:51:51:345415
4	15.044190499931574	0.0	Left-Min	12:51:54:884863
5	19.734341400209814	0.0	Right-Max	12:51:59:574796
6	23.300504200160503	0.0	Left-Min	12:52:03:141228
7	24.34862169995904	0.0	Right-Max	12:52:04:188693
8	25.38836169987917	0.0	Left-Min	12:52:05:228522
9	26.334697999991477	0.0	Right-Max	12:52:06:175575
10	27.350928000174463	0.0	Left-Min	12:52:07:191057
11	28.498701100237668	0.0	Right-Max	12:52:08:338716
12	29.716496500186622	0.0	Left-Min	12:52:09:556906
13	32.35450730007142	0.0	Right-Max	12:52:12:195195
14	36.10629370016977	0.0	Left-Min	12:52:15:946929
15	40.50433260016143	0.0	Right-Max	12:52:20:344691
16	43.13257580017671	0.0	Left-Min	12:52:22:973333
17	47.27270229998976	0.0	Right-Max	12:52:27:113505
18	50.67048839991912	0.0	Left-Min	12:52:30:511446
19	51.87838840018958	0.0	Right-Max	12:52:31:718609
20	53.38410069979727	0.0	Left-Min	12:52:33:224893
21	54.254938300233334	0.0	Right-Max	12:52:34:095697
22	55.10215969989076	0.0	Left-Min	12:52:34:942975
23	56.2966792001389	0.0	Right-Max	12:52:36:137462
24	57.90000749984756	0.0	Left-Min	12:52:37:740912
25	60.15350010013208	0.0	Right-Max	12:52:39:994538
26	65.36204690020531	0.0	Left-Min	12:52:45:203029
27	68.35508329980075	0.0	Right-Max	12:52:48:195913
28	71.44446029979736	0.0	Left-Min	12:52:51:285350
29	75.66627090005204	0.0	Right-Max	12:52:55:507032
30	79.03977920021862	0.0	Left-Min	12:52:58:880237
31	80.36760739982128	0.0	Right-Max	12:53:00:208523
32	81.4192087999545	0.0	Left-Min	12:53:01:259846
33	82.25394179997966	0.0	Right-Max	12:53:02:095059
34	83.48303550016135	0.0	Left-Min	12:53:03:324202
35	84.50558979995549	0.0	Right-Max	12:53:04:346853
36	85.8324556001462	0.0	Left-Min	12:53:05:673642
37	88.55719840014353	0.0	Right-Max	12:53:08:398639
38	93.25553209986538	0.0	Left-Min	12:53:13:096440
39	97.01103680022061	0.0	Right-Max	12:53:16:852313
40	98.43277610000223	0.0	Left-Min	12:53:18:274088
41	103.52126820012927	0.0	Right-Max	12:53:23:362462
42	106.62404190003872	0.0	Left-Min	12:53:26:465275
43	108.02957009989768	0.0	Right-Max	12:53:27:870988
44	109.355294900015	0.0	Left-Min	12:53:29:196110
45	110.38432249985635	0.0	Right-Max	12:53:30:225992
46	111.25442720018327	0.0	Left-Min	12:53:31:096119
47	112.28284930018708	0.0	Right-Max	12:53:32:124289
48	113.6995950001292	0.0	Left-Min	12:53:33:541058
49	115.95130380010232	0.0	Right-Max	12:53:35:792793
50	119.32451249985024	0.0	Left-Min	12:53:39:165367
51	124.7303133001551	0.0	Right-Max	12:53:44:571884
52	126.77987379999831	0.0	Left-Min	12:53:46:621477
53	131.19122239993885	0.0	Right-Max	12:53:51:032863
54	135.13075370015576	0.0	Left-Min	12:53:54:972599
55	136.160939599853	0.0	Right-Max	12:53:56:002457
56	137.83552129985765	0.0	Left-Min	12:53:57:677226
57	138.31980470009148	0.0	Right-Max	12:53:58:161579
58	139.33541940012947	0.0	Left-Min	12:53:59:177289
59	140.20761429984123	0.0	Right-Max	12:54:00:048693
60	141.58110459987074	0.0	Left-Min	12:54:01:422854
61	144.4061445002444	0.0	Right-Max	12:54:04:247922
62	148.64053579978645	0.0	Left-Min	12:54:08:482363
63	152.68976579979062	0.0	Right-Max	12:54:12:531720
64	155.49798509990796	0.0	Left-Min	12:54:15:339315
65	159.70764150004834	0.0	Right-Max	12:54:19:549257
66	163.074081200175	0.0	Left-Min	12:54:22:915980
67	164.5642653000541	0.0	Right-Max	12:54:24:406162
68	165.31216790014878	0.0	Left-Min	12:54:25:154064
69	166.4419665997848	0.0	Right-Max	12:54:26:283893
70	167.28721529990435	0.0	Left-Min	12:54:27:128862
71	168.47837110003456	0.0	Right-Max	12:54:28:319750
72	169.81325950007886	0.0	Left-Min	12:54:29:655272
73	172.80880950018764	0.0	Right-Max	12:54:32:650870
74	176.10586370015517	0.0	Left-Min	12:54:35:947672
75	180.70910189999267	0.0	Right-Max	12:54:40:551403
76	183.05716039985418	0.0	Left-Min	12:54:42:898911
77	187.373405800201	0.0	Right-Max	12:54:47:215399
78	191.22898969985545	0.0	Left-Min	12:54:51:071244
79	191.97944919997826	0.0	Right-Max	12:54:51:821815
80	193.4001258998178	0.0	Left-Min	12:54:53:242382
