	onset	duration	trial_type	real_time
0	0.7460075999842957	10.000294600002235	preaudio_metronome	10:23:16:984160
1	5.328700899990508	0.0	Right-Max	10:23:21:566709
2	5.979377299983753	0.0	Right-Max	10:23:22:216790
3	8.519037099991692	0.0	Left-Min	10:23:24:757102
4	12.312008200009586	0.0	Right-Max	10:23:28:549626
5	16.410219599987613	0.0	Left-Min	10:23:32:648416
6	17.329105899989372	0.0	Right-Max	10:23:33:567322
7	18.82064829999581	0.0	Left-Min	10:23:35:058862
8	19.91922290000366	0.0	Right-Max	10:23:36:156908
9	20.58928549999837	0.0	Left-Min	10:23:36:827128
10	21.7392894999939	0.0	Right-Max	10:23:37:976958
11	23.21917639998719	0.0	Left-Min	10:23:39:457503
12	25.302812499983702	0.0	Right-Max	10:23:41:540833
13	29.701833400002215	0.0	Left-Min	10:23:45:940186
14	33.42023889999837	0.0	Right-Max	10:23:49:658574
15	36.20417479999014	0.0	Left-Min	10:23:52:442302
16	40.16392530000303	0.0	Right-Max	10:23:56:401987
17	43.992355499998666	0.0	Left-Min	10:24:00:231248
18	46.03698780000559	0.0	Right-Max	10:24:02:275887
19	46.79619709998951	0.0	Left-Min	10:24:03:034290
20	48.01566800000728	0.0	Right-Max	10:24:04:254033
21	48.66986120000365	0.0	Left-Min	10:24:04:908621
22	49.893978899985086	0.0	Right-Max	10:24:06:132196
23	51.75337550000404	0.0	Left-Min	10:24:07:992093
24	53.89730579999741	0.0	Right-Max	10:24:10:136158
25	58.47034450000501	0.0	Left-Min	10:24:14:709263
26	61.836344899988035	0.0	Right-Max	10:24:18:075308
27	69.05275090000941	0.0	Left-Min	10:24:25:292136
28	72.54874910000945	0.0	Right-Max	10:24:28:787902
29	73.94136999998591	0.0	Left-Min	10:24:30:180439
30	74.97114690000308	0.0	Right-Max	10:24:31:210327
31	75.98059839999769	0.0	Left-Min	10:24:32:219837
32	76.9202946999867	0.0	Right-Max	10:24:33:159535
33	79.81910419999622	0.0	Right-Max	10:24:36:058396
34	81.03644229998463	0.0	Right-Max	10:24:37:275755
35	85.98713339999085	0.0	Left-Min	10:24:42:225999
36	90.02150370000163	0.0	Right-Max	10:24:46:260945
37	92.16128880000906	0.0	Left-Min	10:24:48:400787
38	97.57352279999759	0.0	Right-Max	10:24:53:812921
39	100.6898005999974	0.0	Left-Min	10:24:56:928971
40	101.72009879999678	0.0	Right-Max	10:24:57:959907
41	102.65431320000789	0.0	Left-Min	10:24:58:894178
42	103.68804929999169	0.0	Right-Max	10:24:59:927769
43	104.82534019998275	0.0	Left-Min	10:25:01:064643
44	105.79749090000405	0.0	Right-Max	10:25:02:036869
45	107.31002020000597	0.0	Left-Min	10:25:03:549209
46	110.12068659998477	0.0	Right-Max	10:25:06:360474
47	114.62017380000907	0.0	Left-Min	10:25:10:860072
48	117.37162459999672	0.0	Right-Max	10:25:13:611499
49	120.24520770000527	0.0	Left-Min	10:25:16:485283
50	125.037227599998	0.0	Right-Max	10:25:21:277315
51	128.6146208999853	0.0	Left-Min	10:25:24:854712
52	130.7571348999918	0.0	Right-Max	10:25:26:997329
53	132.59302820000448	0.0	Left-Min	10:25:28:832637
54	133.97208330000285	0.0	Right-Max	10:25:30:212231
55	135.92821620000177	0.0	Left-Min	10:25:32:168468
56	141.2520147000032	0.0	Right-Max	10:25:37:492568
57	146.0649926000042	0.0	Right-Max	10:25:42:305001
58	149.22089239998604	0.0	Left-Min	10:25:45:461390
59	153.0068895999866	0.0	Right-Max	10:25:49:247444
60	156.06547840000712	0.0	Left-Min	10:25:52:306086
61	157.9226304999902	0.0	Right-Max	10:25:54:162927
62	158.83809099998325	0.0	Left-Min	10:25:55:078760
63	159.87750000000233	0.0	Right-Max	10:25:56:118183
64	160.7300144000037	0.0	Left-Min	10:25:56:970623
65	162.71273619998829	0.0	Right-Max	10:25:58:953565
66	166.24800849999883	0.0	Right-Max	10:26:02:488376
67	169.20692039999994	0.0	Left-Min	10:26:05:447763
68	173.6604098000098	0.0	Right-Max	10:26:09:901323
69	176.88712870000745	0.0	Left-Min	10:26:13:128108
70	181.3660022999975	0.0	Right-Max	10:26:17:606419
71	184.53829659998883	0.0	Left-Min	10:26:20:779592
72	185.49270669999532	0.0	Right-Max	10:26:21:733294
73	186.8431450999924	0.0	Left-Min	10:26:23:083775
74	187.61685930000385	0.0	Right-Max	10:26:23:858024
75	188.7477847999835	0.0	Left-Min	10:26:24:988976
76	189.9725419000024	0.0	Right-Max	10:26:26:213653
77	191.6485003999842	0.0	Left-Min	10:26:27:889715
78	194.12092149999808	0.0	Right-Max	10:26:30:362189
79	198.05742940001073	0.0	Left-Min	10:26:34:298563
80	202.20545959999436	0.0	Right-Max	10:26:38:446772
81	205.09878149998258	0.0	Left-Min	10:26:41:339729
82	209.2204466999974	0.0	Right-Max	10:26:45:462127
83	212.44078559998889	0.0	Left-Min	10:26:48:682169
84	213.90545709998696	0.0	Right-Max	10:26:50:146698
85	214.94094020000193	0.0	Left-Min	10:26:51:182349
86	216.22301709998283	0.0	Right-Max	10:26:52:464668
87	217.23249110000324	0.0	Left-Min	10:26:53:474089
88	218.1743290000013	0.0	Right-Max	10:26:54:415715
89	219.45559939998202	0.0	Left-Min	10:26:55:697024
90	222.36187319998862	0.0	Right-Max	10:26:58:603934
91	225.6429656999826	0.0	Left-Min	10:27:01:884781
92	229.57794640000793	0.0	Right-Max	10:27:05:819346
93	232.94323479998275	0.0	Left-Min	10:27:09:185179
94	236.50889349999488	0.0	Right-Max	10:27:12:750894
95	240.42256589999306	0.0	Left-Min	10:27:16:664640
96	241.74313630000688	0.0	Right-Max	10:27:17:985164
97	243.23314100000425	0.0	Left-Min	10:27:19:475237
98	243.99121750000631	0.0	Right-Max	10:27:20:232711
99	244.761880200007	0.0	Left-Min	10:27:21:003336
100	245.79961789998924	0.0	Right-Max	10:27:22:041728
101	247.1830462999933	0.0	Left-Min	10:27:23:425219
102	249.40774629998486	0.0	Right-Max	10:27:25:649446
103	253.32282830000622	0.0	Left-Min	10:27:29:565114
104	258.07957939998596	0.0	Right-Max	10:27:34:321931
105	261.52607530000387	0.0	Left-Min	10:27:37:768293
106	264.8578997000004	0.0	Right-Max	10:27:41:099741
107	266.1665529999882	0.0	Right-Max	10:27:42:408766
108	268.3669050000026	0.0	Left-Min	10:27:44:608797
109	270.2226137999969	0.0	Right-Max	10:27:46:465189
110	270.86663030000636	0.0	Left-Min	10:27:47:108668
111	271.62602029999834	0.0	Right-Max	10:27:47:868646
112	272.7226553999935	0.0	Left-Min	10:27:48:965279
113	273.9529973999888	0.0	Right-Max	10:27:50:195504
114	275.222692499985	0.0	Left-Min	10:27:51:465217
115	277.3756042000023	0.0	Right-Max	10:27:53:618276
116	281.7078676999954	0.0	Left-Min	10:27:57:950017
117	286.36779459999525	0.0	Right-Max	10:28:02:610646
118	289.4401881000085	0.0	Left-Min	10:28:05:683116
119	293.73558519998915	0.0	Right-Max	10:28:09:978018
120	296.3410373000079	0.0	Left-Min	10:28:12:583567
121	298.210577299993	0.0	Right-Max	10:28:14:453584
122	299.78920420000213	0.0	Right-Max	10:28:16:032462
123	301.19087930000387	0.0	Left-Min	10:28:17:433791
124	303.60672650000197	0.0	Right-Max	10:28:19:849296
125	306.60683840001	0.0	Right-Max	10:28:22:850030
126	309.607333699998	0.0	Left-Min	10:28:25:850497
127	10.74630219998653	312.1132879818594	PhoneCallHome SB_comp_v3_3db_g_and_l_amp_inc	10:23:26:984160
128	322.85959018184593	10.012610518142822	postaudio_metronome	10:28:39:097448
