	onset	duration	trial_type	real_time
0	13.794011499994667	10.000348100002157	preaudio_metronome	10:39:50:406939
1	18.98232629999984	0.0	Right-Max	10:39:55:595459
2	21.627215299988165	0.0	Left-Min	10:39:58:240551
3	26.72613269998692	0.0	Right-Max	10:40:03:339537
4	29.625466099998448	0.0	Left-Min	10:40:06:238913
5	31.11941189999925	0.0	Right-Max	10:40:07:732886
6	32.42630069999723	0.0	Left-Min	10:40:09:039778
7	33.34066970000276	0.0	Right-Max	10:40:09:954080
8	35.01930829999037	0.0	Right-Max	10:40:11:632845
9	36.25322809998761	0.0	Left-Min	10:40:12:866771
10	39.530787900002906	0.0	Right-Max	10:40:16:144389
11	44.03796940000029	0.0	Left-Min	10:40:20:651653
12	46.843602700013435	0.0	Right-Max	10:40:23:457280
13	49.93102049999288	0.0	Left-Min	10:40:26:544793
14	54.98078139999416	0.0	Right-Max	10:40:31:594637
15	57.51833640001132	0.0	Left-Min	10:40:34:132380
16	58.89257739999448	0.0	Right-Max	10:40:35:506160
17	60.11102189999656	0.0	Left-Min	10:40:36:725115
18	61.0325651000021	0.0	Right-Max	10:40:37:646412
19	61.70632800000021	0.0	Left-Min	10:40:38:320383
20	23.794359599996824	308.9180045351474	PieMan_5min_9s_comp_v2_global_amp_increase	10:40:00:406939
21	332.71236413514424	10.02712846485366	postaudio_metronome	10:45:09:324944
