,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1552216.7428257666,13:46:14:873923,0.7787743665433169
1,1,1552216.7384027,13:46:04:879162,0.7734767999500036
2,1,1552216.7389202,13:46:04:880166,0.7740110999438912
3,1,1552216.7409015,13:46:04:882151,0.7759893001057208
4,1,1552216.7428753,13:46:04:884115,0.7779937998857349
5,1,1552216.7448807,13:46:04:886113,0.7799678000155836
6,1,1552216.7468787,13:46:04:888109,0.7819759999401867
7,1,1552216.7478682,13:46:04:889117,0.782979599898681
8,1,1552216.74986,13:46:04:891109,0.7849735000636429
9,1,1552216.751859,13:46:04:893102,0.7869426999241114
10,1,1552216.7528544,13:46:04:894104,0.7879788998980075
11,1,1552216.7548653,13:46:04:896096,0.7899692999199033
12,1,1552216.7768658,13:46:04:917952,0.8119399000424892
13,1,1552216.7780883,13:46:04:919318,0.8132529000286013
14,1,1552216.7800694,13:46:04:921319,0.815197000047192
15,1,1552216.7820717,13:46:04:923298,0.8172271000221372
16,1,1552216.7840519,13:46:04:925296,0.8191329000983387
17,1,1552216.7860502,13:46:04:927301,0.8211699000094086
18,1,1552216.7880529,13:46:04:929289,0.823143000015989
19,1,1552216.7900463,13:46:04:931283,0.8251378999557346
20,1,1552216.7920208,13:46:04:933279,0.8271172000095248
21,1,1552216.793034,13:46:04:934285,0.8281455000396818
22,1,1552216.7950252,13:46:04:936279,0.8301367999520153
23,1,1552216.8732216,13:46:05:013667,0.9082957999780774
24,1,1552216.874404,13:46:05:015635,0.9095006000716239
25,1,1552216.8755911,13:46:05:016785,0.9106991000007838
26,1,1552216.8765711,13:46:05:017836,0.9116605999879539
27,1,1552216.8777601,13:46:05:019007,0.912870500003919
28,1,1552216.8787672,13:46:05:020013,0.9138770999852568
29,1,1552216.8807505,13:46:05:022009,0.9158441000618041
30,1,1552216.8827467,13:46:05:023992,0.9178561998996884
31,1,1552216.8837583,13:46:05:025002,0.9188834000378847
32,1,1552216.8847444,13:46:05:026004,0.9198376999702305
33,1,1552216.886601,13:46:05:027852,0.9217064999975264
34,1,1552216.9741799,13:46:05:115254,1.0092539999168366
35,1,1552216.9751675,13:46:05:116428,1.010261399904266
36,1,1552216.9771494,13:46:05:118414,1.0122396999504417
37,1,1552216.9791646,13:46:05:120408,1.0142608999740332
38,1,1552216.9810186,13:46:05:122282,1.0161111999768764
39,1,1552216.9821436,13:46:05:123409,1.0172317000105977
40,1,1552216.9839951,13:46:05:125262,1.019087800057605
41,1,1552216.9851406,13:46:05:126402,1.0202343000564724
42,1,1552216.9870142,13:46:05:128259,1.0221647000871599
43,1,1552216.9891374,13:46:05:130384,1.0242469001095742
44,1,1552216.9901405,13:46:05:131385,1.0252515999600291
45,1,1552217.073888,13:46:05:214733,1.1089623000007123
46,1,1552217.0755019,13:46:05:216765,1.1106022000312805
47,1,1552217.0766706,13:46:05:217931,1.1117678000591695
48,1,1552217.0776758,13:46:05:218941,1.1127675001043826
49,1,1552217.079666,13:46:05:220920,1.114791400032118
50,1,1552217.0815234,13:46:05:222783,1.1166109999176115
51,1,1552217.0826562,13:46:05:223914,1.1177566000260413
52,1,1552217.0836705,13:46:05:224916,1.1187821000348777
53,1,1552217.0846903,13:46:05:225929,1.1197869998868555
54,1,1552217.0865116,13:46:05:227766,1.1216172999702394
55,1,1552217.0876587,13:46:05:228907,1.1227690000087023
56,1,1552217.1740304,13:46:05:314722,1.2091047000139952
57,1,1552217.1756708,13:46:05:316912,1.2107808999717236
58,1,1552217.1768737,13:46:05:318122,1.2119823000393808
59,1,1552217.1780437,13:46:05:319292,1.2131539001129568
60,1,1552217.1790519,13:46:05:320301,1.2141613001003861
61,1,1552217.1810415,13:46:05:322304,1.2161334999836981
62,1,1552217.1830299,13:46:05:324277,1.2181412999052554
63,1,1552217.1850245,13:46:05:326288,1.2201173999346793
64,1,1552217.1868414,13:46:05:328099,1.221943800104782
65,1,1552217.1880167,13:46:05:329265,1.2231270999182016
66,1,1552217.1900356,13:46:05:331261,1.2251452999189496
67,1,1552217.2741682,13:46:05:414727,1.3092503999359906
68,1,1552217.2756249,13:46:05:416723,1.3107129000127316
69,1,1552217.2776192,13:46:05:418888,1.3127065000589937
70,1,1552217.2787849,13:46:05:420054,1.3138719000853598
71,1,1552217.2808127,13:46:05:422066,1.3159457999281585
72,1,1552217.2828041,13:46:05:424046,1.3179138998966664
73,1,1552217.2837864,13:46:05:425055,1.318873800104484
74,1,1552217.2847945,13:46:05:426058,1.3198865000158548
75,1,1552217.2866633,13:46:05:427920,1.3217682999093086
