,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1550529.4577338665,13:18:07:570769,0.7791763665775449
1,1,1550529.4529826,13:17:57:575751,0.7735677000600845
2,1,1550529.4551555,13:17:57:578774,0.7757633000146598
3,1,1550529.4571067,13:17:57:580734,0.7777235000394285
4,1,1550529.4581042,13:17:57:581735,0.7787156000267714
5,1,1550529.460131,13:17:57:583726,0.7807654000353068
6,1,1550529.4620876,13:17:57:585720,0.7826958999503404
7,1,1550529.4642234,13:17:57:587867,0.784819700056687
8,1,1550529.4652353,13:17:57:588875,0.7858589000534266
9,1,1550529.4672481,13:17:57:590868,0.7878715000115335
10,1,1550529.4682107,13:17:57:591869,0.7888058999087662
11,1,1550529.4702379,13:17:57:593858,0.790888600051403
12,1,1550529.4962267,13:17:57:619625,0.8168120000045747
13,1,1550529.4971336,13:17:57:620791,0.8177314999047667
14,1,1550529.4990771,13:17:57:622735,0.8196755999233574
15,1,1550529.5009617,13:17:57:624617,0.8215612000785768
16,1,1550529.5021216,13:17:57:625777,0.8227206999436021
17,1,1550529.5039954,13:17:57:627648,0.8246148999314755
18,1,1550529.5059854,13:17:57:629626,0.8266084999777377
19,1,1550529.5081072,13:17:57:631761,0.8287116000428796
20,1,1550529.509932,13:17:57:633590,0.8305299000348896
21,1,1550529.5109569,13:17:57:634614,0.8315554999280721
22,1,1550529.512089,13:17:57:635746,0.8326874999329448
23,1,1550529.5817857,13:17:57:705276,0.9023706000298262
24,1,1550529.5828592,13:17:57:706433,0.9034839998930693
25,1,1550529.5838306,13:17:57:707488,0.9044286999851465
26,1,1550529.5850391,13:17:57:708680,0.9056581000331789
27,1,1550529.5869182,13:17:57:710541,0.9075549999251962
28,1,1550529.5880159,13:17:57:711662,0.9086314998567104
29,1,1550529.590017,13:17:57:713655,0.9106161999516189
30,1,1550529.5919983,13:17:57:715651,0.9126043999567628
31,1,1550529.5939968,13:17:57:717650,0.9146012999117374
32,1,1550529.5959827,13:17:57:719630,0.916593800066039
33,1,1550529.5969902,13:17:57:720630,0.9176076999865472
34,1,1550529.6895564,13:17:57:812620,1.0101415000390261
35,1,1550529.6901236,13:17:57:813729,1.0107390999328345
36,1,1550529.6921332,13:17:57:815774,1.0127534000203013
37,1,1550529.693197,13:17:57:816849,1.013800999848172
38,1,1550529.6943234,13:17:57:817940,1.0149433999322355
39,1,1550529.6952972,13:17:57:818952,1.015897999983281
40,1,1550529.6972936,13:17:57:820939,1.0179027998819947
41,1,1550529.6992841,13:17:57:822923,1.0199055999983102
42,1,1550529.7003126,13:17:57:823927,1.0209526000544429
43,1,1550529.70211,13:17:57:825751,1.0227314999792725
44,1,1550529.7031292,13:17:57:826787,1.0237278998829424
45,1,1550529.7905158,13:17:57:913785,1.111108799930662
46,1,1550529.792348,13:17:57:915978,1.1129674999974668
47,1,1550529.7933696,13:17:57:916988,1.1139829999301583
48,1,1550529.7945577,13:17:57:918179,1.1151969998609275
49,1,1550529.7957096,13:17:57:919349,1.1163307998795062
50,1,1550529.7977251,13:17:57:921364,1.1183456999715418
51,1,1550529.7997297,13:17:57:923349,1.1203490998595953
52,1,1550529.8015073,13:17:57:925164,1.1221100999973714
53,1,1550529.8026805,13:17:57:926322,1.1233003998640925
54,1,1550529.8046599,13:17:57:928319,1.1252578999847174
55,1,1550529.8056856,13:17:57:929325,1.1263061000499874
56,1,1550529.8906353,13:17:58:013658,1.2112201999407262
57,1,1550529.8910467,13:17:58:014662,1.2116479000542313
58,1,1550529.8922212,13:17:58:015850,1.212840300053358
59,1,1550529.8933029,13:17:58:016906,1.2139022999908775
60,1,1550529.8944133,13:17:58:018055,1.2150325998663902
61,1,1550529.8955849,13:17:58:019225,1.2162057999521494
62,1,1550529.8965979,13:17:58:020237,1.2172179999761283
63,1,1550529.8985839,13:17:58:022230,1.2191947000101209
64,1,1550529.9005631,13:17:58:024217,1.2211662998888642
65,1,1550529.9025629,13:17:58:026200,1.2232015999034047
66,1,1550529.9045829,13:17:58:028200,1.2252034998964518
67,1,1550529.9901416,13:17:58:113641,1.310726499883458
68,1,1550529.9910782,13:17:58:114703,1.3116788000334054
69,1,1550529.9922091,13:17:58:115841,1.3128295000642538
70,1,1550529.9932662,13:17:58:116893,1.3138782000169158
71,1,1550529.9943987,13:17:58:118007,1.3150191998574883
72,1,1550529.9954167,13:17:58:119063,1.3160329998936504
73,1,1550529.9965906,13:17:58:120231,1.3172104998957366
74,1,1550529.9975866,13:17:58:121237,1.3181936000473797
75,1,1550529.9994019,13:17:58:123055,1.320005999878049
76,1,1550530.0005839,13:17:58:124223,1.3212253998499364
77,1,1550530.0025794,13:17:58:126217,1.323201899882406
78,1,1550530.0906842,13:17:58:214173,1.4112692000344396
79,1,1550530.0926416,13:17:58:216281,1.4132637998554856
80,1,1550530.0946252,13:17:58:218281,1.4152275000233203
81,1,1550530.0966373,13:17:58:220277,1.4172573999967426
82,1,1550530.098629,13:17:58:222270,1.4192492999136448
83,1,1550530.1006251,13:17:58:224267,1.4212682999204844
84,1,1550530.1026043,13:17:58:226248,1.423222600016743
85,1,1550530.1045872,13:17:58:228242,1.425196100026369
86,1,1550530.1065766,13:17:58:230237,1.4271746999584138
87,1,1550530.1075817,13:17:58:231237,1.428188499994576
