,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1551024.5490443667,13:26:22:662908,2.879197066618744
1,1,1551024.5404503,13:26:12:667884,2.869765100069344
2,1,1551024.5415588,13:26:12:669883,2.8708912001457065
3,1,1551024.543556,13:26:12:671873,2.872886799974367
4,1,1551024.5455438,13:26:12:673864,2.8748873001895845
5,1,1551024.5475995,13:26:12:675869,2.876979800174013
6,1,1551024.5495291,13:26:12:677857,2.8788882000371814
7,1,1551024.5515198,13:26:12:679852,2.8808722000103444
8,1,1551024.5535377,13:26:12:681845,2.8829087000340223
9,1,1551024.5545252,13:26:12:682846,2.88387280004099
10,1,1551024.5564866,13:26:12:684836,2.885812600143254
11,1,1551024.5575155,13:26:12:685837,2.88684709998779
12,1,1551024.5832278,13:26:12:711497,2.912542400183156
13,1,1551024.584335,13:26:12:712657,2.9136632001027465
14,1,1551024.5853515,13:26:12:713671,2.9146797000430524
15,1,1551024.5873578,13:26:12:715652,2.9166932001244277
16,1,1551024.5893174,13:26:12:717645,2.918646299978718
17,1,1551024.5903516,13:26:12:718650,2.919692600145936
18,1,1551024.5924547,13:26:12:720802,2.9217907001730055
19,1,1551024.5935968,13:26:12:721948,2.9229250999633223
20,1,1551024.5954745,13:26:12:723826,2.9248031000606716
21,1,1551024.5966036,13:26:12:724956,2.925931500038132
22,1,1551024.5986645,13:26:12:726950,2.927993700141087
23,1,1551024.6724156,13:26:12:800587,3.0017301000189036
24,1,1551024.6734604,13:26:12:801746,3.002810399979353
25,1,1551024.6754191,13:26:12:803745,3.004757400136441
26,1,1551024.6774594,13:26:12:805787,3.00680850003846
27,1,1551024.6786457,13:26:12:806997,3.0079775999765843
28,1,1551024.6798319,13:26:12:808166,3.009182100184262
29,1,1551024.6818275,13:26:12:810162,3.0111773000098765
30,1,1551024.682839,13:26:12:811173,3.0121893000323325
31,1,1551024.6848083,13:26:12:813160,3.014137899968773
32,1,1551024.6867114,13:26:12:815019,3.0160904000513256
33,1,1551024.6878077,13:26:12:816139,3.0171392001211643
34,1,1551024.7736333,13:26:12:901233,3.10294790007174
35,1,1551024.7749454,13:26:12:903225,3.104303800035268
36,1,1551024.7770841,13:26:12:905387,3.1064339000731707
37,1,1551024.7780834,13:26:12:906439,3.1074112001806498
38,1,1551024.7793024,13:26:12:907639,3.10865189996548
39,1,1551024.7812884,13:26:12:909625,3.1106381001882255
40,1,1551024.7832682,13:26:12:911606,3.1126190000213683
41,1,1551024.7852862,13:26:12:913609,3.114639100152999
42,1,1551024.7870788,13:26:12:915419,3.11642950004898
43,1,1551024.7882415,13:26:12:916579,3.1175941000692546
44,1,1551024.7902476,13:26:12:918587,3.1195943001657724
45,1,1551024.8737682,13:26:13:001624,3.203082700027153
46,1,1551024.8743548,13:26:13:002651,3.203712400048971
47,1,1551024.875444,13:26:13:003762,3.2047723999712616
48,1,1551024.8774777,13:26:13:005769,3.2068276000209153
49,1,1551024.8784898,13:26:13:006835,3.2078189000021666
50,1,1551024.8796649,13:26:13:008003,3.209015700034797
51,1,1551024.881661,13:26:13:010000,3.211011999985203
52,1,1551024.8826876,13:26:13:011003,3.2120374999940395
53,1,1551024.8844656,13:26:13:012822,3.2137951999902725
54,1,1551024.8865028,13:26:13:014845,3.215850800042972
55,1,1551024.8876174,13:26:13:015975,3.2169447999913245
56,1,1551024.9738132,13:26:13:101557,3.303127699997276
57,1,1551024.9743988,13:26:13:102726,3.3037466001696885
58,1,1551024.9753747,13:26:13:103734,3.3047021001111716
59,1,1551024.9773744,13:26:13:105715,3.306724000023678
60,1,1551024.979381,13:26:13:107721,3.3087309000547975
61,1,1551024.9813876,13:26:13:109728,3.3107363001909107
62,1,1551024.9833874,13:26:13:111725,3.3127384001854807
63,1,1551024.9853583,13:26:13:113705,3.3147013999987394
64,1,1551024.9872476,13:26:13:115572,3.316623399965465
65,1,1551024.9883467,13:26:13:116686,3.3176973001100123
66,1,1551024.9903345,13:26:13:118681,3.319674000144005
67,1,1551025.0738983,13:26:13:201594,3.403212800156325
68,1,1551025.0742862,13:26:13:202622,3.403614800190553
69,1,1551025.076277,13:26:13:204615,3.4056141001638025
70,1,1551025.0784008,13:26:13:206703,3.4077663000207394
71,1,1551025.0794466,13:26:13:207807,3.4087765000294894
72,1,1551025.0806904,13:26:13:208989,3.4100633000489324
73,1,1551025.0826329,13:26:13:210976,3.4119826001115143
74,1,1551025.0846174,13:26:13:212973,3.413952700095251
