	onset	duration	trial_type	real_time
0	0.7618123998399824	10.000328399939463	preaudio_metronome	13:39:58:612355
1	4.324801200069487	0.0	Left-Min	13:40:02:176698
2	11.224934899946675	0.0	Left-Min	13:40:09:077313
3	14.224574899999425	0.0	Left-Min	13:40:12:076667
4	16.32508310000412	0.0	Left-Min	13:40:14:177995
5	18.616375599987805	0.0	Left-Min	13:40:16:468745
6	25.72064459999092	0.0	Left-Min	13:40:23:573647
7	31.924821000080556	0.0	Left-Min	13:40:29:777177
8	39.61634610011242	0.0	Left-Min	13:40:37:469555
9	42.01678880001418	0.0	Left-Min	13:40:39:869580
10	44.116279599955305	0.0	Left-Min	13:40:41:969457
11	46.625068499939516	0.0	Left-Min	13:40:44:478374
12	53.32049300009385	0.0	Left-Min	13:40:51:173950
13	60.22135200002231	0.0	Left-Min	13:40:58:074957
14	67.72378470003605	0.0	Left-Min	13:41:05:577462
15	70.02619059989229	0.0	Left-Min	13:41:07:879765
16	72.12548079993576	0.0	Left-Min	13:41:09:979476
17	74.92095090006478	0.0	Left-Min	13:41:12:774967
18	80.82586440001614	0.0	Left-Min	13:41:18:679532
19	88.12077999999747	0.0	Left-Min	13:41:25:974670
20	95.32365030003712	0.0	Left-Min	13:41:33:177819
21	98.11781569989398	0.0	Left-Min	13:41:35:972155
22	100.02631410001777	0.0	Left-Min	13:41:37:880345
23	102.82224919996224	0.0	Left-Min	13:41:40:676912
24	108.52162269991823	0.0	Left-Min	13:41:46:376198
25	115.32678030012175	0.0	Left-Min	13:41:53:181181
26	123.82171880011447	0.0	Left-Min	13:42:01:676230
27	126.22153609991074	0.0	Left-Min	13:42:04:076657
28	128.22656939993612	0.0	Left-Min	13:42:06:081062
29	130.62726609990932	0.0	Left-Min	13:42:08:481908
30	137.52690150006674	0.0	Left-Min	13:42:15:382193
31	142.9268529000692	0.0	Left-Min	13:42:20:781555
32	151.6270063999109	0.0	Left-Min	13:42:29:481969
33	154.32735979999416	0.0	Left-Min	13:42:32:182343
34	156.12696089991368	0.0	Left-Min	13:42:33:981959
35	158.5271517999936	0.0	Left-Min	13:42:36:382775
36	165.52224670001306	0.0	Left-Min	13:42:43:377652
37	172.1224527999293	0.0	Left-Min	13:42:49:978330
38	179.62192649999633	0.0	Left-Min	13:42:57:478041
39	182.22803219989873	0.0	Left-Min	13:43:00:084314
40	184.2226899000816	0.0	Left-Min	13:43:02:079000
41	186.6223538001068	0.0	Left-Min	13:43:04:478076
42	193.12738490011543	0.0	Left-Min	13:43:10:983503
43	200.0277950000018	0.0	Left-Min	13:43:17:884267
44	207.6222540999297	0.0	Left-Min	13:43:25:479070
45	210.1195845999755	0.0	Left-Min	13:43:27:976425
46	212.12307629990391	0.0	Left-Min	13:43:29:979791
47	214.7293036999181	0.0	Left-Min	13:43:32:586250
48	220.82236790005118	0.0	Left-Min	13:43:38:679453
49	227.82284509995952	0.0	Left-Min	13:43:45:679872
50	235.6199153000489	0.0	Left-Min	13:43:53:477075
51	238.21983520011418	0.0	Left-Min	13:43:56:077251
52	240.22016780008562	0.0	Left-Min	13:43:58:077160
53	242.81795709999278	0.0	Left-Min	13:44:00:674605
54	249.12845769990236	0.0	Left-Min	13:44:06:986233
55	256.22313959989697	0.0	Left-Min	13:44:14:080743
56	263.6290128000546	0.0	Left-Min	13:44:21:486528
57	266.02909060008824	0.0	Left-Min	13:44:23:886904
58	268.1230580001138	0.0	Left-Min	13:44:25:980926
59	270.8237870999146	0.0	Left-Min	13:44:28:681617
60	277.1230591000058	0.0	Left-Min	13:44:34:981116
61	284.12233010004275	0.0	Left-Min	13:44:41:980706
62	291.62349539995193	0.0	Left-Min	13:44:49:481845
63	294.22360719996504	0.0	Left-Min	13:44:52:081772
64	296.22333920001984	0.0	Left-Min	13:44:54:081768
65	299.0235133001115	0.0	Left-Min	13:44:56:881497
66	10.762140799779445	290.76174940005876	HauntedHouse_5min	13:40:08:612355
67	301.52329119993374	15.100091299973428	postaudio_metronome	13:44:59:382002
