	onset	duration	trial_type	real_time
0	0.7784070666568965	10.0003202999942	preaudio_metronome	13:11:07:073494
1	3.2086716999765486	0.0	Left-Min	13:11:09:512251
2	11.208690200001001	0.0	Left-Min	13:11:17:512551
3	14.308168699964881	0.0	Left-Min	13:11:20:611697
4	16.208753099897876	0.0	Left-Min	13:11:22:512659
5	18.607896300032735	0.0	Left-Min	13:11:24:912129
6	25.012208299944177	0.0	Left-Min	13:11:31:316616
7	31.70865839999169	0.0	Left-Min	13:11:38:012935
8	39.70962699991651	0.0	Left-Min	13:11:46:014248
9	42.30890020006336	0.0	Left-Min	13:11:48:613221
10	44.20940300007351	0.0	Left-Min	13:11:50:513473
11	46.90957779996097	0.0	Left-Min	13:11:53:213446
12	53.810018100077286	0.0	Left-Min	13:12:00:113919
13	59.80982599989511	0.0	Left-Min	13:12:06:114572
14	67.8096350999549	0.0	Left-Min	13:12:14:114549
15	70.40891080000438	0.0	Left-Min	13:12:16:713842
16	72.20982109988108	0.0	Left-Min	13:12:18:514547
17	74.61003470001742	0.0	Left-Min	13:12:20:914971
18	81.0097958999686	0.0	Left-Min	13:12:27:314625
19	87.510614000028	0.0	Left-Min	13:12:33:815740
20	95.6104790000245	0.0	Left-Min	13:12:41:915440
21	98.2102361000143	0.0	Left-Min	13:12:44:515409
22	100.10961419995874	0.0	Left-Min	13:12:46:414812
23	102.81039389991201	0.0	Left-Min	13:12:49:115570
24	110.11054000002332	0.0	Left-Min	13:12:56:415641
25	115.61059419997036	0.0	Left-Min	13:13:01:915890
26	123.61036919988692	0.0	Left-Min	13:13:09:915575
27	126.1116549000144	0.0	Left-Min	13:13:12:417065
28	128.10995780001394	0.0	Left-Min	13:13:14:415406
29	130.51082549989223	0.0	Left-Min	13:13:16:816201
30	136.0109343000222	0.0	Left-Min	13:13:22:316240
31	144.0102884999942	0.0	Left-Min	13:13:30:315894
32	151.61101330001839	0.0	Left-Min	13:13:37:916481
33	154.21082139993086	0.0	Left-Min	13:13:40:516502
34	156.21052649989724	0.0	Left-Min	13:13:42:515388
35	158.51185259991325	0.0	Left-Min	13:13:44:817533
36	165.21111329994164	0.0	Left-Min	13:13:51:516919
37	171.11130589991808	0.0	Left-Min	13:13:57:416876
38	179.61136860004626	0.0	Left-Min	13:14:05:917133
39	182.2119580998551	0.0	Left-Min	13:14:08:517853
40	184.31121159996837	0.0	Left-Min	13:14:10:616561
41	186.71161610004492	0.0	Left-Min	13:14:13:017401
42	193.4113406999968	0.0	Left-Min	13:14:19:717194
43	199.62344549992122	0.0	Left-Min	13:14:25:929524
44	207.71176339988597	0.0	Left-Min	13:14:34:017893
45	210.12288889987394	0.0	Left-Min	13:14:36:429027
46	212.21180819999427	0.0	Left-Min	13:14:38:517843
47	215.01180740003474	0.0	Left-Min	13:14:41:318002
48	221.32534280000255	0.0	Left-Min	13:14:47:631733
49	228.61127160000615	0.0	Left-Min	13:14:54:917641
50	235.72294889995828	0.0	Left-Min	13:15:02:029153
51	238.1245180000551	0.0	Left-Min	13:15:04:430868
52	240.112205500016	0.0	Left-Min	13:15:06:418467
53	242.52950840000995	0.0	Left-Min	13:15:08:835940
54	249.45612900005654	0.0	Left-Min	13:15:15:762381
55	256.0567757000681	0.0	Left-Min	13:15:22:363249
56	263.15617770003155	0.0	Left-Min	13:15:29:462698
57	266.0562052000314	0.0	Left-Min	13:15:32:362693
58	268.0565945999697	0.0	Left-Min	13:15:34:363153
59	270.457141000079	0.0	Left-Min	13:15:36:763524
60	276.7737393998541	0.0	Left-Min	13:15:43:079788
61	283.0736199999228	0.0	Left-Min	13:15:49:380313
62	291.4732850000728	0.0	Left-Min	13:15:57:779413
63	294.273919200059	0.0	Left-Min	13:16:00:580430
64	296.07323649991304	0.0	Left-Min	13:16:02:379712
65	298.774388599908	0.0	Left-Min	13:16:05:080930
66	10.778727366651097	290.1951275332831	PhoneCallHome_5	13:11:17:073494
67	300.9732607000042	14.999768000096083	postaudio_metronome	13:16:07:279998
