,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,966220.5682617,15:21:26:638258,2.8626492000417727
1,1,966220.569267,15:21:16:644238,2.862753299996257
2,1,966220.5701894,15:21:16:645241,2.8636885000159964
3,1,966220.5721829,15:21:16:647230,2.8656792000401765
4,1,966220.5741712,15:21:16:649226,2.8676780000096187
5,1,966220.5751703,15:21:16:650227,2.868674600031227
6,1,966220.5772088,15:21:16:652218,2.8707316999789327
7,1,966220.5791535,15:21:16:654212,2.8726626000134274
8,1,966220.5812553,15:21:16:656215,2.874836500035599
9,1,966220.5831493,15:21:16:658203,2.876657700049691
10,1,966220.5851461,15:21:16:660201,2.878655800013803
11,1,966220.5871568,15:21:16:662199,2.8806902000214905
12,1,966220.6172722,15:21:16:692111,2.910758599988185
13,1,966220.6180978,15:21:16:693139,2.911615899996832
14,1,966220.6200462,15:21:16:695105,2.9135441000107676
15,1,966220.6211038,15:21:16:696151,2.914606900070794
16,1,966220.623042,15:21:16:698095,2.91655449999962
17,1,966220.6250374,15:21:16:700090,2.918558800010942
18,1,966220.6261383,15:21:16:701120,2.9197135000722483
19,1,966220.6280415,15:21:16:703082,2.9215596000431105
20,1,966220.6290313,15:21:16:704084,2.9225537000456825
21,1,966220.6310309,15:21:16:706076,2.9245547000318766
22,1,966220.633013,15:21:16:708070,2.9265154000604525
23,1,966220.771298,15:21:16:846202,3.064784200047143
24,1,966220.7723558,15:21:16:847417,3.065876999986358
25,1,966220.7735372,15:21:16:848595,3.067058500018902
26,1,966220.7755365,15:21:16:850595,3.069036400062032
27,1,966220.7773889,15:21:16:852407,3.0708977000322193
28,1,966220.7785195,15:21:16:853576,3.0720426000189036
29,1,966220.7795114,15:21:16:854582,3.073024000041187
30,1,966220.780514,15:21:16:855588,3.074017000035383
31,1,966220.7825255,15:21:16:857603,3.076026000082493
32,1,966220.7844941,15:21:16:859569,3.077997100073844
33,1,966220.7863608,15:21:16:861432,3.079867299995385
34,1,966220.8741868,15:21:16:949048,3.167672900017351
35,1,966220.876071,15:21:16:951094,3.169590900070034
36,1,966220.8772275,15:21:16:952298,3.170726599986665
37,1,966220.8784077,15:21:16:953467,3.1719290000619367
38,1,966220.8804337,15:21:16:955474,3.173954700003378
39,1,966220.8813992,15:21:16:956478,3.1748981999699026
40,1,966220.8833908,15:21:16:958465,3.1768948000390083
41,1,966220.8853915,15:21:16:960449,3.1789278000360355
42,1,966220.8873674,15:21:16:962427,3.180888600065373
43,1,966220.8883707,15:21:16:963435,3.1818757000146434
44,1,966220.8893807,15:21:16:964440,3.1829014000250027
45,1,966220.9744933,15:21:17:049019,3.2679793999996036
46,1,966220.9751632,15:21:17:050234,3.268673100043088
47,1,966220.9763104,15:21:17:051390,3.26981990004424
48,1,966220.9783396,15:21:17:053397,3.271861399989575
49,1,966220.9793241,15:21:17:054404,3.2728231999790296
50,1,966220.981305,15:21:17:056384,3.2748046000488102
51,1,966220.9833077,15:21:17:058371,3.276820300030522
52,1,966220.9843213,15:21:17:059381,3.2778427000157535
53,1,966220.9853232,15:21:17:060390,3.2788457999704406
54,1,966220.9871357,15:21:17:062205,3.280648700078018
55,1,966220.9883104,15:21:17:063371,3.2818323000101373
56,1,966221.0736666,15:21:17:148350,3.3671527999686077
57,1,966221.0753202,15:21:17:150373,3.3688343000831082
58,1,966221.0773263,15:21:17:152371,3.3708269000053406
59,1,966221.0793229,15:21:17:154402,3.372828899999149
60,1,966221.0813506,15:21:17:156431,3.374849700019695
61,1,966221.0825516,15:21:17:157615,3.376072800019756
62,1,966221.0844986,15:21:17:159579,3.377997800009325
63,1,966221.0863866,15:21:17:161467,3.3798857000656426
64,1,966221.0875263,15:21:17:162586,3.381047800066881
65,1,966221.0895179,15:21:17:164582,3.3830324000446126
66,1,966221.0915198,15:21:17:166580,3.385040399967693
67,1,966221.1732557,15:21:17:248219,3.466741800075397
68,1,966221.1743756,15:21:17:249390,3.4678964000195265
69,1,966221.1763378,15:21:17:251417,3.469845800078474
70,1,966221.1773412,15:21:17:252418,3.470844399998896
71,1,966221.178525,15:21:17:253586,3.472046700073406
72,1,966221.1805469,15:21:17:255583,3.4740672999760136
73,1,966221.1825116,15:21:17:257588,3.4760155000258237
74,1,966221.184498,15:21:17:259574,3.4780014000134543
75,1,966221.1863749,15:21:17:261447,3.4798906000796705
76,1,966221.1874995,15:21:17:262559,3.4810224999673665
77,1,966221.1894889,15:21:17:264555,3.4830011000158265
78,1,966221.2738573,15:21:17:348346,3.5673434999771416
79,1,966221.2754116,15:21:17:350492,3.5689200999913737
80,1,966221.27646,15:21:17:351541,3.5699588999850675
81,1,966221.2775959,15:21:17:352663,3.5711088000098243
82,1,966221.2785882,15:21:17:353669,3.572087400010787
83,1,966221.2805841,15:21:17:355663,3.574086599983275
84,1,966221.282583,15:21:17:357664,3.5760818000417203
85,1,966221.2845596,15:21:17:359640,3.578059699968435
86,1,966221.2864361,15:21:17:361517,3.579947500023991
87,1,966221.2875713,15:21:17:362631,3.581094600027427
88,1,966221.2896021,15:21:17:364632,3.5831361999735236
89,1,966221.3738489,15:21:17:448770,3.667335100006312
90,1,966221.3747435,15:21:17:449770,3.6682682000100613
91,1,966221.3759094,15:21:17:450953,3.6694114999845624
92,1,966221.3779094,15:21:17:452973,3.6714303999906406
93,1,966221.3790811,15:21:17:454143,3.672602500068024
94,1,966221.3800859,15:21:17:455148,3.6736077000387013
95,1,966221.3810764,15:21:17:456150,3.6745833000168204
96,1,966221.3830697,15:21:17:458147,3.676574300043285
97,1,966221.385067,15:21:17:460142,3.6785718000028282
98,1,966221.38691,15:21:17:461985,3.680416400078684
99,1,966221.3880635,15:21:17:463124,3.6815870000282302
100,1,966221.4738304,15:21:17:548693,3.7673166000749916
101,1,966221.4747172,15:21:17:549729,3.768238399992697
102,1,966221.4757827,15:21:17:550837,3.7692840000381693
103,1,966221.476947,15:21:17:551838,3.770453999983147
