,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,966732.9917327,15:29:59:064010,2.8621815999736953
1,1,966732.9919707,15:29:49:068990,2.8615160000044852
2,1,966732.9926973,15:29:49:069993,2.862273299950175
3,1,966732.9946744,15:29:49:071978,2.8642384000122547
4,1,966732.9956721,15:29:49:072980,2.8652351000346243
5,1,966732.9976671,15:29:49:074975,2.8672269999515265
6,1,966732.9996626,15:29:49:076969,2.8692243000259623
7,1,966733.0016602,15:29:49:078963,2.8712287000380456
8,1,966733.0036571,15:29:49:080958,2.873220899957232
9,1,966733.0046684,15:29:49:081961,2.874244000064209
10,1,966733.0057104,15:29:49:082961,2.875325500033796
11,1,966733.0076269,15:29:49:084944,2.877195799956098
12,1,966733.030091,15:29:49:106796,2.899636000045575
13,1,966733.0305397,15:29:49:107830,2.900101099978201
14,1,966733.031764,15:29:49:109040,2.901330400025472
15,1,966733.0338654,15:29:49:111056,2.9034243000205606
16,1,966733.0348899,15:29:49:112056,2.9044486000202596
17,1,966733.0360876,15:29:49:113297,2.9056462000589818
18,1,966733.0369968,15:29:49:114297,2.9065567000070587
19,1,966733.0380388,15:29:49:115298,2.90762780001387
20,1,966733.0390361,15:29:49:116318,2.908607400022447
21,1,966733.0410345,15:29:49:118312,2.9106022999621928
22,1,966733.0430302,15:29:49:120309,2.912595700006932
23,1,966733.1840404,15:29:49:261144,3.053585199988447
24,1,966733.1850419,15:29:49:262310,3.0546156000345945
25,1,966733.1860249,15:29:49:263315,3.0555835999548435
26,1,966733.1878852,15:29:49:265166,3.0574640999548137
27,1,966733.1890305,15:29:49:266345,3.058606900041923
28,1,966733.1901817,15:29:49:267510,3.0597398000536487
29,1,966733.1921735,15:29:49:269502,3.061731299967505
30,1,966733.1931898,15:29:49:270502,3.0627677000593394
31,1,966733.1942046,15:29:49:271513,3.0637854000087827
32,1,966733.196251,15:29:49:273501,3.0658501000143588
33,1,966733.1982251,15:29:49:275538,3.067804399994202
34,1,966733.2984247,15:29:49:375604,3.1679697000654414
35,1,966733.2994472,15:29:49:376755,3.1690268999664113
36,1,966733.3004647,15:29:49:377766,3.1700298000359908
37,1,966733.3024342,15:29:49:379749,3.172005100059323
38,1,966733.3042939,15:29:49:381569,3.1738927999977022
39,1,966733.3052554,15:29:49:382570,3.1748313000425696
40,1,966733.3063249,15:29:49:383622,3.175915800035
41,1,966733.3084574,15:29:49:385771,3.178036700002849
42,1,966733.3096829,15:29:49:386993,3.179263300029561
43,1,966733.3108595,15:29:49:388168,3.180439900024794
44,1,966733.3128507,15:29:49:390160,3.1824313000543043
45,1,966733.3949375,15:29:49:471409,3.264482400030829
46,1,966733.395079,15:29:49:472409,3.2646341000217944
47,1,966733.3962829,15:29:49:473575,3.265865599969402
48,1,966733.3982959,15:29:49:475610,3.267875900026411
49,1,966733.3995091,15:29:49:476820,3.2690888000652194
50,1,966733.4006876,15:29:49:477997,3.2702683999668807
51,1,966733.4017051,15:29:49:479011,3.27130170003511
52,1,966733.4036584,15:29:49:480986,3.2732182999607176
53,1,966733.4056859,15:29:49:482978,3.275264900061302
54,1,966733.407477,15:29:49:484802,3.277041899971664
55,1,966733.4085627,15:29:49:485854,3.2781468000030145
56,1,966733.4949928,15:29:49:571444,3.364537699962966
57,1,966733.4962985,15:29:49:573607,3.3659030999988317
58,1,966733.4983247,15:29:49:575636,3.367902399972081
59,1,966733.4995211,15:29:49:576845,3.369084500009194
60,1,966733.5007114,15:29:49:578020,3.3702918000053614
61,1,966733.5025796,15:29:49:579892,3.37215940002352
62,1,966733.5036906,15:29:49:581019,3.373249200056307
63,1,966733.5057061,15:29:49:583013,3.3753045999910682
64,1,966733.5075608,15:29:49:584876,3.3771381999831647
65,1,966733.5095388,15:29:49:586868,3.3790966999949887
66,1,966733.5115372,15:29:49:588866,3.3811050000367686
67,1,966733.5952637,15:29:49:672569,3.464808600023389
68,1,966733.5964324,15:29:49:673737,3.46603759995196
