,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,967192.9488623667,15:37:39:020756,0.7791581666717917
1,1,967192.9441731,15:37:29:025206,0.7736606999533251
2,1,967192.9453389,15:37:29:027169,0.7748527999501675
3,1,967192.9463614,15:37:29:028199,0.7758758999407291
4,1,967192.9483726,15:37:29:030194,0.7778791999444366
5,1,967192.9493598,15:37:29:031208,0.778870000038296
6,1,967192.9513241,15:37:29:033152,0.7808264000341296
7,1,967192.9533099,15:37:29:035146,0.7828098000027239
8,1,967192.9553096,15:37:29:037143,0.7848190000513569
9,1,967192.9573011,15:37:29:039136,0.7868288999889046
10,1,967192.9593043,15:37:29:041131,0.788828199962154
11,1,967192.9612987,15:37:29:043125,0.7908961999928579
12,1,967192.9866734,15:37:29:067891,0.8161611000541598
13,1,967192.9884976,15:37:29:070347,0.8180475999834016
14,1,967192.9905128,15:37:29:072316,0.8201011000201106
15,1,967192.9925129,15:37:29:074323,0.8220461000455543
16,1,967192.9945127,15:37:29:076324,0.824034700053744
17,1,967192.9965187,15:37:29:078310,0.8260689999442548
18,1,967192.9975178,15:37:29:079345,0.8270238999975845
19,1,967192.9994889,15:37:29:081334,0.8290101999882609
20,1,967193.0014872,15:37:29:083323,0.8309833999956027
21,1,967193.0024917,15:37:29:084324,0.8319924999959767
22,1,967193.0044775,15:37:29:086314,0.833973899949342
23,1,967193.0864243,15:37:29:168051,0.9159117999952286
24,1,967193.0882124,15:37:29:170047,0.9177100999513641
25,1,967193.089236,15:37:29:171070,0.9187352999579161
26,1,967193.0903642,15:37:29:172197,0.9198803999461234
27,1,967193.0913691,15:37:29:173207,0.9208963999990374
28,1,967193.0933569,15:37:29:175200,0.9228817999828607
29,1,967193.0953495,15:37:29:177194,0.9248743000207469
30,1,967193.0973382,15:37:29:179185,0.9268312000203878
31,1,967193.0993772,15:37:29:181181,0.9288827000418678
32,1,967193.1013547,15:37:29:183175,0.9308699000393972
33,1,967193.1028034,15:37:29:184614,0.9323071000399068
34,1,967193.1917481,15:37:29:272653,1.0212356999982148
35,1,967193.1928247,15:37:29:274678,1.0223312999587506
36,1,967193.1948331,15:37:29:276641,1.0243364999769256
37,1,967193.1968229,15:37:29:278636,1.026333300047554
38,1,967193.1988082,15:37:29:280631,1.0283104999689385
39,1,967193.20077,15:37:29:282627,1.0302716000005603
40,1,967193.2027766,15:37:29:284620,1.0322788000339642
41,1,967193.2037903,15:37:29:285621,1.0332937999628484
42,1,967193.2058038,15:37:29:287612,1.035318800015375
43,1,967193.2077515,15:37:29:289608,1.0372523999540135
44,1,967193.2097503,15:37:29:291603,1.0392571999691427
45,1,967193.2914096,15:37:29:373079,1.1208972999593243
46,1,967193.2924133,15:37:29:374227,1.1219278000062332
47,1,967193.2943826,15:37:29:376226,1.1238874000264332
48,1,967193.2953921,15:37:29:377233,1.124918199959211
49,1,967193.2973603,15:37:29:379223,1.1268522000173107
50,1,967193.299389,15:37:29:381218,1.1288913999451324
51,1,967193.300388,15:37:29:382219,1.1299478999571875
52,1,967193.3023657,15:37:29:384213,1.13189419999253
53,1,967193.3043589,15:37:29:386207,1.1338832000037655
54,1,967193.305508,15:37:29:387367,1.135008499957621
55,1,967193.307515,15:37:29:389368,1.137021900038235
56,1,967193.3918424,15:37:29:473552,1.2213299999712035
57,1,967193.3927847,15:37:29:474586,1.2223321000346914
58,1,967193.3939057,15:37:29:475765,1.2234060999471694
59,1,967193.3950942,15:37:29:476936,1.2246175999753177
60,1,967193.39712,15:37:29:478945,1.2266521999845281
61,1,967193.3988994,15:37:29:480755,1.2284238999709487
62,1,967193.4000878,15:37:29:481928,1.2296123000560328
63,1,967193.4020686,15:37:29:483918,1.2315795000176877
64,1,967193.4040217,15:37:29:485863,1.2335615999763831
65,1,967193.4060506,15:37:29:487897,1.235576399951242
66,1,967193.4080329,15:37:29:489893,1.2375358999706805
67,1,967193.4922654,15:37:29:573997,1.3217530000256374
68,1,967193.4933545,15:37:29:575208,1.3228669000091031
69,1,967193.4945248,15:37:29:576387,1.3240250999806449
70,1,967193.4965151,15:37:29:578376,1.3260179000208154
71,1,967193.4983825,15:37:29:580245,1.3278828000184149
72,1,967193.5003327,15:37:29:582192,1.3298328999662772
73,1,967193.501524,15:37:29:583368,1.331046300008893
74,1,967193.5035463,15:37:29:585367,1.3330720999510959
75,1,967193.5054925,15:37:29:587340,1.335015199962072
76,1,967193.5075031,15:37:29:589351,1.3370186999673024
77,1,967193.50942,15:37:29:591168,1.3389458999736235
78,1,967193.5917306,15:37:29:672918,1.4212180000031367
79,1,967193.5931247,15:37:29:674969,1.4226287000346929
80,1,967193.5950766,15:37:29:676940,1.4245777999749407
81,1,967193.5960802,15:37:29:677944,1.4255815000506118
82,1,967193.5981071,15:37:29:679971,1.4276081999996677
83,1,967193.6002144,15:37:29:682072,1.4297168999910355
84,1,967193.6013859,15:37:29:683250,1.4308870000531897
85,1,967193.602533,15:37:29:684397,1.432034199940972
86,1,967193.6045272,15:37:29:686392,1.4340278999879956
87,1,967193.6065228,15:37:29:688387,1.436024200054817
88,1,967193.6075292,15:37:29:689389,1.4370303000323474
89,1,967193.691458,15:37:29:772867,1.5209456000011414
90,1,967193.6922262,15:37:29:774073,1.521748499944806
91,1,967193.6933745,15:37:29:775240,1.522875600028783
92,1,967193.6953945,15:37:29:777242,1.5249177999794483
93,1,967193.6972469,15:37:29:779094,1.5267706000013277
94,1,967193.6992841,15:37:29:781057,1.5288040000014007
95,1,967193.7003751,15:37:29:782226,1.5299030999885872
96,1,967193.7023663,15:37:29:784222,1.5318782000103965
97,1,967193.7041923,15:37:29:786044,1.5337104999925941
98,1,967193.7063615,15:37:29:788208,1.5358848000178114
99,1,967193.7081871,15:37:29:790034,1.537713099969551
100,1,967193.7923845,15:37:29:873864,1.6218720000470057
101,1,967193.7930531,15:37:29:874865,1.622560300049372
102,1,967193.7952105,15:37:29:877079,1.6247110000113025
103,1,967193.7963979,15:37:29:878259,1.6259085000492632
104,1,967193.7982071,15:37:29:880073,1.6277109000366181
105,1,967193.8003894,15:37:29:882236,1.6299147000536323
106,1,967193.8023998,15:37:29:884245,1.6319202999584377
107,1,967193.8043718,15:37:29:886223,1.63389559998177
108,1,967193.8063637,15:37:29:888218,1.635880299960263
109,1,967193.8073721,15:37:29:889219,1.6368971000192687
110,1,967193.8093626,15:37:29:891219,1.6388852000236511
111,1,967193.8914494,15:37:29:973185,1.7209372000070289
112,1,967193.8925433,15:37:29:974394,1.7220669999951497
113,1,967193.893733,15:37:29:975562,1.72325549996458
114,1,967193.8947096,15:37:29:976563,1.724226800026372
115,1,967193.895703,15:37:29:977573,1.72520370001439
116,1,967193.8977245,15:37:29:979559,1.7272579000564292
117,1,967193.89869,15:37:29:980559,1.728191199945286
118,1,967193.9006931,15:37:29:982543,1.7302158999955282
119,1,967193.9026964,15:37:29:984551,1.732219299999997
120,1,967193.9046668,15:37:29:986533,1.73417219996918
121,1,967193.9066651,15:37:29:988519,1.736185000045225
122,1,967193.9918066,15:37:30:073010,1.821294100023806
123,1,967193.9931616,15:37:30:075007,1.8226729000452906
124,1,967193.9951547,15:37:30:077002,1.8246630999492481
125,1,967193.9971653,15:37:30:079001,1.8266663999529555
126,1,967193.9991465,15:37:30:080964,1.8286499000387266
127,1,967194.0001541,15:37:30:081987,1.829655300010927
128,1,967194.0021313,15:37:30:083958,1.831632300047204
129,1,967194.0041319,15:37:30:086003,1.8336323000257835
130,1,967194.0051314,15:37:30:087003,1.8346317999530584
131,1,967194.0062935,15:37:30:088166,1.8357938999542966
132,1,967194.0082362,15:37:30:090108,1.837736599962227
133,1,967194.0919134,15:37:30:173663,1.9214008999988437
134,1,967194.0928881,15:37:30:174718,1.9224108000053093
135,1,967194.0940776,15:37:30:175933,1.9236000999808311
136,1,967194.0952493,15:37:30:177103,1.924772199941799
137,1,967194.0972212,15:37:30:179066,1.9267454999499023
138,1,967194.0992358,15:37:30:181090,1.928758200025186
139,1,967194.100233,15:37:30:182107,1.9297336000017822
140,1,967194.1022297,15:37:30:184084,1.9317520000040531
141,1,967194.1042042,15:37:30:186062,1.9337282000342384
142,1,967194.1062385,15:37:30:188077,1.9357872999971732
143,1,967194.108205,15:37:30:190061,1.937732300022617
144,1,967194.1914763,15:37:30:273193,2.0209639000240713
145,1,967194.1925435,15:37:30:274400,2.0220691999420524
146,1,967194.1937467,15:37:30:275573,2.023270200006664
147,1,967194.1957168,15:37:30:277574,2.025239699985832
148,1,967194.1977213,15:37:30:279557,2.027255399967544
149,1,967194.1986921,15:37:30:280567,2.0281935000093654
150,1,967194.2007567,15:37:30:282549,2.030321800033562
151,1,967194.2025661,15:37:30:284427,2.0320838999468833
152,1,967194.2045428,15:37:30:286418,2.0340526000363752
153,1,967194.2055439,15:37:30:287419,2.0350445000221953
154,1,967194.2075324,15:37:30:289362,2.037034900044091
155,1,967194.2917455,15:37:30:373401,2.1212331999558955
156,1,967194.2928214,15:37:30:374555,2.1223619000520557
157,1,967194.2947263,15:37:30:376602,2.124227999942377
158,1,967194.2959152,15:37:30:377770,2.1254385999636725
159,1,967194.2979476,15:37:30:379779,2.1274813000345603
160,1,967194.2999469,15:37:30:381809,2.1294689000351354
161,1,967194.3011456,15:37:30:383022,2.130647400044836
162,1,967194.3023308,15:37:30:384188,2.131854100036435
163,1,967194.3043255,15:37:30:386183,2.133847999968566
164,1,967194.3063148,15:37:30:388178,2.1358318000566214
165,1,967194.3082458,15:37:30:390081,2.1377894999459386
166,1,967194.3918155,15:37:30:473534,2.2213031999999657
167,1,967194.3927437,15:37:30:474578,2.2222784999758005
168,1,967194.3938834,15:37:30:475762,2.2233840000117198
169,1,967194.3950707,15:37:30:476930,2.2245938000269234
170,1,967194.397084,15:37:30:478926,2.226615999941714
171,1,967194.3988788,15:37:30:480754,2.22838840004988
172,1,967194.4000685,15:37:30:481926,2.229593300027773
173,1,967194.4020605,15:37:30:483909,2.231586299953051
174,1,967194.403048,15:37:30:484909,2.232548699947074
175,1,967194.4048599,15:37:30:486735,2.2343683999497443
176,1,967194.4060505,15:37:30:487910,2.2355736000463367
177,1,967194.4922101,15:37:30:573811,2.3216975999530405
178,1,967194.4931615,15:37:30:575025,2.3226843000156805
179,1,967194.4943163,15:37:30:576197,2.323816700023599
180,1,967194.4953394,15:37:30:577200,2.3248621999518946
181,1,967194.4973096,15:37:30:579189,2.326810500002466
182,1,967194.4991331,15:37:30:581012,2.3286377999465913
183,1,967194.5003209,15:37:30:582180,2.329845399945043
184,1,967194.5023114,15:37:30:584172,2.3318343999562785
185,1,967194.5033147,15:37:30:585174,2.332835700013675
186,1,967194.5052202,15:37:30:587027,2.334737899946049
187,1,967194.5062982,15:37:30:588159,2.33582140004728
188,1,967194.5920458,15:37:30:672951,2.4215334999607876
189,1,967194.5932866,15:37:30:675164,2.4227956000249833
190,1,967194.594446,15:37:30:676328,2.4239463000558317
191,1,967194.5964513,15:37:30:678325,2.4259633000474423
192,1,967194.5982794,15:37:30:680153,2.427780000027269
193,1,967194.600454,15:37:30:682316,2.429978400003165
194,1,967194.6024628,15:37:30:684327,2.431985800038092
195,1,967194.6044737,15:37:30:686303,2.434000700013712
196,1,967194.6064373,15:37:30:688300,2.4359814999625087
197,1,967194.6082635,15:37:30:690127,2.437791300006211
198,1,967194.6094037,15:37:30:691285,2.4389058999950066
199,1,967194.6915898,15:37:30:772919,2.521077499957755
200,1,967194.6921129,15:37:30:773987,2.521614999976009
201,1,967194.6931499,15:37:30:775032,2.5226613000268117
202,1,967194.6952764,15:37:30:777155,2.524784400011413
203,1,967194.6972699,15:37:30:779146,2.526781599968672
204,1,967194.6992458,15:37:30:780978,2.5287483000429347
205,1,967194.7010821,15:37:30:782966,2.53058320004493
206,1,967194.7031725,15:37:30:784965,2.532675900030881
207,1,967194.7050912,15:37:30:786959,2.534584900015034
208,1,967194.7070614,15:37:30:788950,2.5365537999896333
209,1,967194.7080781,15:37:30:789951,2.5376042999560013
210,1,967194.7916182,15:37:30:872902,2.6211059000343084
211,1,967194.7922353,15:37:30:874109,2.6217519999481738
212,1,967194.7934177,15:37:30:875286,2.62291809997987
213,1,967194.7953836,15:37:30:877268,2.624886399949901
214,1,967194.7973903,15:37:30:879269,2.626899200025946
215,1,967194.7993793,15:37:30:881265,2.628879699972458
216,1,967194.8013681,15:37:30:883252,2.63087260001339
217,1,967194.8032598,15:37:30:885143,2.632764699985273
218,1,967194.80438,15:37:30:886247,2.63390320003964
219,1,967194.806377,15:37:30:888239,2.6359109999611974
220,1,967194.8073879,15:37:30:889253,2.6369183999486268
221,1,967194.8913598,15:37:30:973112,2.7208474000217393
222,1,967194.8924516,15:37:30:974320,2.7219769000075758
223,1,967194.8936224,15:37:30:975490,2.723149099969305
224,1,967194.8956264,15:37:30:977496,2.725146400043741
225,1,967194.8976183,15:37:30:979473,2.727145600016229
226,1,967194.8986113,15:37:30:980481,2.728113800054416
227,1,967194.900613,15:37:30:982469,2.7301627000560984
228,1,967194.9016031,15:37:30:983471,2.7311269999481738
229,1,967194.9034559,15:37:30:985343,2.7329681999981403
230,1,967194.9046032,15:37:30:986460,2.7341524000512436
231,1,967194.9065713,15:37:30:988449,2.736082899966277
232,1,967194.9919237,15:37:31:073723,2.8214111999841407
233,1,967194.9928552,15:37:31:074724,2.8223763999994844
234,1,967194.9940014,15:37:31:075884,2.823503299965523
235,1,967194.9950023,15:37:31:076892,2.824503600015305
236,1,967194.9960074,15:37:31:077897,2.825507799978368
237,1,967194.9979154,15:37:31:079801,2.8274378000060096
238,1,967195.0000013,15:37:31:081872,2.8295246999477968
239,1,967195.0019976,15:37:31:083869,2.831521200016141
240,1,967195.0030293,15:37:31:084871,2.832551799947396
241,1,967195.004803,15:37:31:086691,2.8343064000364393
242,1,967195.0059862,15:37:31:087856,2.8355086999945343
243,1,967195.0915969,15:37:31:172890,2.9210845000343397
244,1,967195.0930464,15:37:31:174882,2.9225532000418752
245,1,967195.0950453,15:37:31:176927,2.9245472999755293
246,1,967195.0962078,15:37:31:178099,2.92570819996763
247,1,967195.0980303,15:37:31:179921,2.9275313999969512
248,1,967195.0990759,15:37:31:180965,2.9285792999435216
249,1,967195.1002929,15:37:31:182168,2.9298051999649033
250,1,967195.1014803,15:37:31:183333,2.9309921000385657
251,1,967195.1033745,15:37:31:185213,2.932905999943614
252,1,967195.1044607,15:37:31:186352,2.9339610999450088
253,1,967195.1056224,15:37:31:187514,2.9351227999432012
254,1,967195.1909628,15:37:31:272745,3.020450299954973
255,1,967195.1920446,15:37:31:273919,3.0215680999681354
256,1,967195.1940357,15:37:31:275923,3.02354219998233
257,1,967195.1960914,15:37:31:277916,3.0256313999416307
258,1,967195.1979528,15:37:31:279820,3.02747139998246
259,1,967195.2000497,15:37:31:281928,3.029572800034657
260,1,967195.2012464,15:37:31:283136,3.030752000049688
261,1,967195.202429,15:37:31:284303,3.031952099991031
262,1,967195.2044225,15:37:31:286297,3.0339453000342473
263,1,967195.206412,15:37:31:288292,3.0359296000096947
264,1,967195.2082393,15:37:31:290119,3.0377618999918923
265,1,967195.2923482,15:37:31:374052,3.121835600002669
266,1,967195.2933167,15:37:31:375211,3.1228173000272363
267,1,967195.2952595,15:37:31:377154,3.124759800033644
268,1,967195.2963343,15:37:31:378209,3.1258574000094086
269,1,967195.2973398,15:37:31:379210,3.1268632999854162
270,1,967195.2991426,15:37:31:381036,3.128646699944511
271,1,967195.3003279,15:37:31:382201,3.129852000041865
272,1,967195.3023245,15:37:31:384201,3.1318466999800876
273,1,967195.3033404,15:37:31:385202,3.1328633000375703
274,1,967195.3051386,15:37:31:387020,3.1346583999693394
275,1,967195.3063092,15:37:31:388184,3.135831999941729
276,1,967195.391489,15:37:31:473263,3.220976599957794
277,1,967195.3925316,15:37:31:474406,3.222069700015709
278,1,967195.3935673,15:37:31:475438,3.223073499975726
279,1,967195.3955557,15:37:31:477435,3.2250749999657273
280,1,967195.3975413,15:37:31:479418,3.2270621999632567
281,1,967195.3985739,15:37:31:480426,3.2281240000156686
282,1,967195.4005661,15:37:31:482448,3.2300887999590486
283,1,967195.4017625,15:37:31:483658,3.2312643999466673
284,1,967195.4029572,15:37:31:484835,3.2324801000067964
285,1,967195.4047722,15:37:31:486668,3.2342747000511736
286,1,967195.4059457,15:37:31:487821,3.235467900056392
287,1,967195.4917783,15:37:31:573586,3.321265700040385
288,1,967195.4927059,15:37:31:574586,3.3222289000405
289,1,967195.4938815,15:37:31:575760,3.3234045000281185
290,1,967195.4948828,15:37:31:576762,3.3244051999645308
291,1,967195.4968577,15:37:31:578744,3.326370000024326
292,1,967195.4987332,15:37:31:580620,3.328262499999255
293,1,967195.4998578,15:37:31:581735,3.329382300027646
294,1,967195.5008426,15:37:31:582741,3.3303436000132933
295,1,967195.5028522,15:37:31:584732,3.3323727999813855
296,1,967195.5047168,15:37:31:586614,3.3342302000382915
297,1,967195.5058399,15:37:31:587719,3.33536260004621
298,1,967195.591937,15:37:31:673725,3.421424499945715
299,1,967195.5928414,15:37:31:674725,3.4223638999974355
300,1,967195.5939947,15:37:31:675894,3.4234950999962166
301,1,967195.5959807,15:37:31:677881,3.4254810999846086
302,1,967195.5979116,15:37:31:679810,3.427430000039749
303,1,967195.6000284,15:37:31:681878,3.4295506000053138
304,1,967195.6010047,15:37:31:682886,3.43052529997658
305,1,967195.6028409,15:37:31:684698,3.432354500051588
306,1,967195.6048388,15:37:31:686737,3.4343411000445485
307,1,967195.6067881,15:37:31:688688,3.436289199977182
308,1,967195.6079355,15:37:31:689835,3.4374471999472007
309,1,967195.6916522,15:37:31:773459,3.5211405999725685
310,1,967195.6926313,15:37:31:774512,3.5221702000126243
311,1,967195.6938187,15:37:31:775626,3.523372899973765
312,1,967195.6956146,15:37:31:777503,3.5251315999776125
313,1,967195.6975947,15:37:31:779496,3.527106699999422
314,1,967195.6995881,15:37:31:781490,3.5291008000494912
315,1,967195.7015648,15:37:31:783466,3.5310737000545487
316,1,967195.7035546,15:37:31:785456,3.5330561000155285
317,1,967195.7057112,15:37:31:787593,3.535233899950981
318,1,967195.7077292,15:37:31:789588,3.537248900043778
319,1,967195.7095153,15:37:31:791414,3.539021100034006
320,1,967195.7915519,15:37:31:873362,3.6210394999943674
321,1,967195.7925322,15:37:31:874414,3.6220794999971986
322,1,967195.7936449,15:37:31:875530,3.623168100020848
323,1,967195.7946468,15:37:31:876540,3.6241571999853477
324,1,967195.7956441,15:37:31:877541,3.6251510999863967
325,1,967195.7976611,15:37:31:879527,3.6271966999629512
326,1,967195.7986565,15:37:31:880529,3.628178399987519
327,1,967195.8006428,15:37:31:882508,3.630184100009501
328,1,967195.802616,15:37:31:884502,3.6321392999961972
329,1,967195.8046177,15:37:31:886499,3.6341595000121742
330,1,967195.8065861,15:37:31:888485,3.636094499961473
331,1,967195.8918306,15:37:31:973627,3.7213180999970064
332,1,967195.8927383,15:37:31:974627,3.7222612999612466
333,1,967195.8938985,15:37:31:975788,3.72342860000208
334,1,967195.8949154,15:37:31:976802,3.724437900003977
335,1,967195.8968809,15:37:31:978782,3.726386999944225
336,1,967195.8988015,15:37:31:980698,3.728313499945216
337,1,967195.9000169,15:37:31:981905,3.729539299965836
338,1,967195.9011855,15:37:31:983071,3.7307083000196144
339,1,967195.9021952,15:37:31:984081,3.73171820002608
340,1,967195.9041718,15:37:31:986071,3.7336796999443322
341,1,967195.9061721,15:37:31:988062,3.73569060000591
342,1,967195.9916838,15:37:32:073468,3.821171300020069
343,1,967195.9926372,15:37:32:074522,3.822184400050901
344,1,967195.9937656,15:37:32:075647,3.823272699955851
345,1,967195.9957435,15:37:32:077632,3.825265599996783
346,1,967195.9967246,15:37:32:078632,3.8262251999694854
347,1,967195.9977308,15:37:32:079637,3.827243800042197
348,1,967195.9996364,15:37:32:081527,3.8291519000194967
349,1,967196.0008379,15:37:32:082731,3.8303602000232786
350,1,967196.002005,15:37:32:083901,3.8315157999750227
351,1,967196.0039943,15:37:32:085886,3.8335175999673083
352,1,967196.0059927,15:37:32:087889,3.8355058999732137
353,1,967196.092116,15:37:32:173767,3.921603500028141
354,1,967196.0928705,15:37:32:174767,3.922382100019604
355,1,967196.0940306,15:37:32:175924,3.923534099943936
356,1,967196.0950247,15:37:32:176929,3.9245343999937177
357,1,967196.0970308,15:37:32:178937,3.926536599989049
358,1,967196.0988822,15:37:32:180791,3.9283824999583885
359,1,967196.1000272,15:37:32:181916,3.929551800014451
360,1,967196.1010126,15:37:32:182922,3.930512999999337
361,1,967196.1020184,15:37:32:183924,3.9315231000073254
362,1,967196.1040257,15:37:32:185915,3.933548799948767
363,1,967196.105986,15:37:32:187891,3.9354926999658346
364,1,967196.1915829,15:37:32:273371,4.021070400020108
365,1,967196.1926204,15:37:32:274511,4.022158200037666
366,1,967196.193642,15:37:32:275547,4.023148200009018
367,1,967196.1956491,15:37:32:277540,4.02517220005393
368,1,967196.1976597,15:37:32:279537,4.027193299960345
369,1,967196.1986262,15:37:32:280537,4.02812749997247
370,1,967196.2006622,15:37:32:282558,4.030184300034307
371,1,967196.2018672,15:37:32:283762,4.031386199989356
372,1,967196.2030599,15:37:32:284931,4.032582500018179
373,1,967196.2048627,15:37:32:286764,4.034381699981168
374,1,967196.2060328,15:37:32:287924,4.035554999951273
375,1,967196.2915371,15:37:32:373347,4.121024599997327
376,1,967196.2926014,15:37:32:374492,4.122140499996021
377,1,967196.2936422,15:37:32:375516,4.1231605999637395
378,1,967196.2946124,15:37:32:376525,4.124112899997272
379,1,967196.2966077,15:37:32:378506,4.12612250004895
380,1,967196.2986166,15:37:32:380518,4.128129999968223
381,1,967196.3006449,15:37:32:382543,4.130166699993424
382,1,967196.3018442,15:37:32:383747,4.131356099969707
383,1,967196.3030235,15:37:32:384917,4.1325458999490365
