,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,967635.0127218667,15:45:01:091868,0.7787629666893423
1,1,967635.008616,15:44:51:095852,0.7738641999894753
2,1,967635.0099312,15:44:51:097847,0.7751929999794811
3,1,967635.0119369,15:44:51:099842,0.7772028000326827
4,1,967635.0139449,15:44:51:101851,0.7792076000478119
5,1,967635.0150035,15:44:51:102874,0.7802750000264496
6,1,967635.016928,15:44:51:104829,0.7821976999985054
7,1,967635.0189155,15:44:51:106823,0.7841795000713319
8,1,967635.0209384,15:44:51:108823,0.7862034999998286
9,1,967635.0229286,15:44:51:110836,0.78819360001944
10,1,967635.0249044,15:44:51:112806,0.7901770999887958
11,1,967635.0269429,15:44:51:114806,0.7922788000432774
12,1,967635.0539362,15:44:51:141271,0.8191846000263467
13,1,967635.0553788,15:44:51:143266,0.8206614999799058
14,1,967635.0563651,15:44:51:144269,0.8216696999734268
15,1,967635.058425,15:44:51:146262,0.8238112999824807
16,1,967635.0603242,15:44:51:148252,0.8256120000733063
17,1,967635.0623588,15:44:51:150247,0.8276406000368297
18,1,967635.0643775,15:44:51:152275,0.8296572000253946
19,1,967635.0663188,15:44:51:154238,0.8316101999953389
20,1,967635.0673449,15:44:51:155264,0.8326224000193179
21,1,967635.0692967,15:44:51:157230,0.8345664000371471
22,1,967635.0703446,15:44:51:158260,0.8356273000827059
23,1,967635.1438084,15:44:51:231466,0.9090566000668332
24,1,967635.1445585,15:44:51:232467,0.9098304000217468
25,1,967635.1465652,15:44:51:234499,0.9118269999744371
26,1,967635.1475887,15:44:51:235530,0.912850100081414
27,1,967635.1496502,15:44:51:237590,0.9149124000687152
28,1,967635.1508821,15:44:51:238810,0.9161650000605732
29,1,967635.1520566,15:44:51:239979,0.9173410000512376
30,1,967635.1530575,15:44:51:240980,0.9183398999739438
31,1,967635.1540591,15:44:51:241991,0.919329300057143
32,1,967635.1559318,15:44:51:243834,0.9212368000298738
33,1,967635.1570419,15:44:51:244965,0.9223259000573307
34,1,967635.2464585,15:44:51:334221,1.0117067999672145
35,1,967635.2475051,15:44:51:335380,1.0127872000448406
36,1,967635.2484865,15:44:51:336380,1.0137527000624686
37,1,967635.2503251,15:44:51:338213,1.01559389999602
38,1,967635.251495,15:44:51:339411,1.016777600045316
