	onset	duration	trial_type	real_time
0	2.8615459000226053	10.000334799988195	preaudio_metronome	15:29:49:064010
1	5.165184500045143	0.0	Right-Max	15:29:51:372266
2	8.86518750002142	0.0	Left-Min	15:29:55:072670
3	10.4651510999538	0.0	Right-Max	15:29:56:672363
4	11.465477299992926	0.0	Left-Min	15:29:57:672934
5	12.465351599967107	0.0	Right-Max	15:29:58:672786
6	13.465201999992132	0.0	Left-Min	15:29:59:672702
7	14.765618599951267	0.0	Right-Max	15:30:00:973076
8	15.865130200050771	0.0	Left-Min	15:30:02:072639
9	18.865314100054093	0.0	Right-Max	15:30:05:072563
10	22.865561899961904	0.0	Left-Min	15:30:09:073064
11	26.76548219996039	0.0	Right-Max	15:30:12:973160
12	29.26575410005171	0.0	Left-Min	15:30:15:473482
13	34.065015500062145	0.0	Right-Max	15:30:20:272673
14	37.16574209998362	0.0	Left-Min	15:30:23:373165
15	38.675984899979085	0.0	Right-Max	15:30:24:883475
16	39.8649710000027	0.0	Left-Min	15:30:26:072766
17	40.56570759997703	0.0	Right-Max	15:30:26:773298
18	41.4657162000658	0.0	Left-Min	15:30:27:673003
19	42.764839399955235	0.0	Right-Max	15:30:28:972752
20	44.065666000009514	0.0	Left-Min	15:30:30:273274
21	46.67676639999263	0.0	Right-Max	15:30:32:884175
22	51.1658000999596	0.0	Left-Min	15:30:37:373372
23	54.87736290006433	0.0	Right-Max	15:30:41:084645
24	57.27687669999432	0.0	Left-Min	15:30:43:484015
25	62.17745479999576	0.0	Right-Max	15:30:48:385443
26	65.37701269995887	0.0	Left-Min	15:30:51:584837
27	66.4662726999959	0.0	Right-Max	15:30:52:673493
28	67.66594950004946	0.0	Left-Min	15:30:53:873634
29	68.57724620006047	0.0	Right-Max	15:30:54:784851
30	69.66606409999076	0.0	Left-Min	15:30:55:873799
31	70.77638819999993	0.0	Right-Max	15:30:56:984136
32	72.17680789995939	0.0	Left-Min	15:30:58:384443
33	75.16638710000552	0.0	Right-Max	15:31:01:373497
34	79.1765198999783	0.0	Left-Min	15:31:05:384296
35	82.66616050002631	0.0	Right-Max	15:31:08:874110
36	86.07727410004009	0.0	Left-Min	15:31:12:284922
37	89.7666506000096	0.0	Right-Max	15:31:15:973839
38	92.97769420000259	0.0	Left-Min	15:31:19:185557
39	94.47731300001033	0.0	Right-Max	15:31:20:684711
40	95.57708359998651	0.0	Left-Min	15:31:21:784806
41	96.6780644999817	0.0	Right-Max	15:31:22:886014
42	97.57762500003446	0.0	Left-Min	15:31:23:785625
43	98.67765450000297	0.0	Right-Max	15:31:24:885453
44	100.57804940000642	0.0	Left-Min	15:31:26:786146
45	102.96699129999615	0.0	Right-Max	15:31:29:175076
46	106.27639759995509	0.0	Left-Min	15:31:32:484152
47	110.77756820002105	0.0	Right-Max	15:31:36:985151
48	113.47806550003588	0.0	Left-Min	15:31:39:685948
49	117.97818249999546	0.0	Right-Max	15:31:44:186185
50	120.97775259998161	0.0	Left-Min	15:31:47:185056
51	122.37827710004058	0.0	Right-Max	15:31:48:586205
52	123.47787119995337	0.0	Left-Min	15:31:49:685146
53	124.37812989996746	0.0	Right-Max	15:31:50:586220
54	125.57775489997584	0.0	Left-Min	15:31:51:785108
55	126.67852519999724	0.0	Right-Max	15:31:52:885848
56	128.2781215000432	0.0	Left-Min	15:31:54:486039
57	131.27746130002197	0.0	Right-Max	15:31:57:484866
58	134.4779831999913	0.0	Left-Min	15:32:00:686140
59	138.47829680005088	0.0	Right-Max	15:32:04:686166
60	141.37837990000844	0.0	Left-Min	15:32:07:586109
61	146.07801020005718	0.0	Right-Max	15:32:12:285885
62	149.07836439996026	0.0	Left-Min	15:32:15:286104
63	150.47798379999585	0.0	Right-Max	15:32:16:685741
64	151.67792080005165	0.0	Left-Min	15:32:17:885900
65	152.5784105999628	0.0	Right-Max	15:32:18:785951
66	153.67807969998103	0.0	Left-Min	15:32:19:885655
67	154.67771770001855	0.0	Right-Max	15:32:20:885150
68	156.87765100004617	0.0	Left-Min	15:32:23:085803
69	159.17823740001768	0.0	Right-Max	15:32:25:386402
70	162.5783276000293	0.0	Left-Min	15:32:28:786296
71	166.77703700005077	0.0	Right-Max	15:32:32:985242
72	169.57799859996885	0.0	Left-Min	15:32:35:785433
73	174.07835650001653	0.0	Right-Max	15:32:40:286665
74	177.07786049996503	0.0	Left-Min	15:32:43:285905
75	178.3780368999578	0.0	Right-Max	15:32:44:585466
76	179.67815289995633	0.0	Left-Min	15:32:45:886424
77	180.57819779997226	0.0	Right-Max	15:32:46:786481
78	181.27943280001637	0.0	Left-Min	15:32:47:487696
79	182.57796709996182	0.0	Right-Max	15:32:48:786037
80	183.8782373999711	0.0	Left-Min	15:32:50:086333
81	186.37774320004974	0.0	Right-Max	15:32:52:585826
82	190.37817359995097	0.0	Left-Min	15:32:56:585634
83	194.6786715000635	0.0	Right-Max	15:33:00:886831
84	196.87826749996748	0.0	Left-Min	15:33:03:086447
85	201.97828060004395	0.0	Right-Max	15:33:08:186396
86	205.17766359995585	0.0	Left-Min	15:33:11:385719
87	206.37784850003663	0.0	Right-Max	15:33:12:586059
88	207.67833530006465	0.0	Left-Min	15:33:13:885875
89	208.57822480006143	0.0	Right-Max	15:33:14:786658
90	209.47848050005268	0.0	Left-Min	15:33:15:686624
91	210.58006810001098	0.0	Right-Max	15:33:16:788446
92	212.27812080003787	0.0	Left-Min	15:33:18:486522
93	214.7780581000261	0.0	Right-Max	15:33:20:986297
94	218.37845570000354	0.0	Left-Min	15:33:24:586600
95	222.5782747999765	0.0	Right-Max	15:33:28:786399
96	225.47840959997848	0.0	Left-Min	15:33:31:686868
97	230.07826770003885	0.0	Right-Max	15:33:36:286605
98	233.07833279995248	0.0	Left-Min	15:33:39:286563
99	234.37774060002994	0.0	Right-Max	15:33:40:585416
100	235.57904079998843	0.0	Left-Min	15:33:41:787395
101	236.67837920004968	0.0	Right-Max	15:33:42:886606
102	237.5777878999943	0.0	Left-Min	15:33:43:786019
103	238.87841430003755	0.0	Right-Max	15:33:45:086869
104	240.07825350004714	0.0	Left-Min	15:33:46:285923
105	242.67754840000998	0.0	Right-Max	15:33:48:885814
106	246.97793050005566	0.0	Left-Min	15:33:53:186480
107	250.47753110004123	0.0	Right-Max	15:33:56:685681
108	253.17775180004537	0.0	Left-Min	15:33:59:386225
109	258.17767500004265	0.0	Right-Max	15:34:04:385386
110	261.1777325000148	0.0	Left-Min	15:34:07:385518
111	262.37792710005306	0.0	Right-Max	15:34:08:585833
112	263.6776383999968	0.0	Left-Min	15:34:09:885710
113	264.67782970005646	0.0	Right-Max	15:34:10:885678
114	265.477857699967	0.0	Left-Min	15:34:11:685734
115	266.57791560003534	0.0	Right-Max	15:34:12:785800
116	267.77791069995146	0.0	Left-Min	15:34:13:986415
117	270.87816750002094	0.0	Right-Max	15:34:17:086666
118	274.4779563000193	0.0	Left-Min	15:34:20:686814
119	278.67818799999077	0.0	Right-Max	15:34:24:887142
120	281.678677399992	0.0	Left-Min	15:34:27:887453
121	285.97815850004554	0.0	Right-Max	15:34:32:186819
122	289.0777976999525	0.0	Left-Min	15:34:35:286100
123	290.27784720005	0.0	Right-Max	15:34:36:486258
124	291.37831729999743	0.0	Left-Min	15:34:37:587276
125	292.5776328999782	0.0	Right-Max	15:34:38:786389
126	293.3782550999895	0.0	Left-Min	15:34:39:587196
127	294.477551799966	0.0	Right-Max	15:34:40:686317
128	296.27897079999093	0.0	Left-Min	15:34:42:488187
129	298.67848530004267	0.0	Right-Max	15:34:44:887499
130	302.47885810001753	0.0	Left-Min	15:34:48:687608
131	12.8618807000108	290.2162397999782	PhoneCallHome_5	15:29:59:064010
132	303.07751740003005	22.99988849996589	postaudio_metronome	15:34:49:286541
