	onset	duration	trial_type	real_time
0	0.7782080666550115	10.000291100004688	preaudio_metronome	15:44:51:091171
1	3.4120809000451118	0.0	Right-Max	15:44:53:734713
2	6.9117481000721455	0.0	Left-Min	15:44:57:234144
3	8.512480600038543	0.0	Right-Max	15:44:58:834837
4	9.311675900011323	0.0	Left-Min	15:44:59:634212
5	10.511667900020257	0.0	Right-Max	15:45:00:834315
6	11.311906500020996	0.0	Left-Min	15:45:01:634354
7	12.512158500030637	0.0	Right-Max	15:45:02:834293
8	13.712139000068419	0.0	Left-Min	15:45:04:034533
9	15.61194410000462	0.0	Right-Max	15:45:05:934432
10	20.212286800029688	0.0	Left-Min	15:45:10:534826
11	24.512417800026014	0.0	Right-Max	15:45:14:834534
12	27.012348300078884	0.0	Left-Min	15:45:17:334956
13	31.91235790005885	0.0	Right-Max	15:45:22:235019
14	34.91251419996843	0.0	Left-Min	15:45:25:234725
15	36.112605900038034	0.0	Right-Max	15:45:26:434857
16	37.41268110007513	0.0	Left-Min	15:45:27:735298
17	38.41243140003644	0.0	Right-Max	15:45:28:735007
18	39.41219740000088	0.0	Left-Min	15:45:29:735077
19	40.51256930001546	0.0	Right-Max	15:45:30:834629
20	42.01221970003098	0.0	Left-Min	15:45:32:334652
21	44.51287279999815	0.0	Right-Max	15:45:34:835853
22	48.512140000006184	0.0	Left-Min	15:45:38:834939
23	52.61278480000328	0.0	Right-Max	15:45:42:935001
24	55.212808900047094	0.0	Left-Min	15:45:45:535606
25	59.712761000031605	0.0	Right-Max	15:45:50:035609
26	63.01292570005171	0.0	Left-Min	15:45:53:335676
27	64.11278490000404	0.0	Right-Max	15:45:54:435723
28	65.71260049997363	0.0	Left-Min	15:45:56:035485
29	66.51288469997235	0.0	Right-Max	15:45:56:836116
30	67.4125755999703	0.0	Left-Min	15:45:57:735526
31	68.61284549999982	0.0	Right-Max	15:45:58:935413
32	69.81315250007901	0.0	Left-Min	15:46:00:136337
