,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,15630.810075966667,16:14:02:971131,0.7785739666671958
1,1,15630.8042285,16:13:37:976109,0.7726679000006698
2,1,15630.8050438,16:13:37:977116,0.7735162000008131
3,1,15630.807099,16:13:37:979101,0.7755629000002955
4,1,15630.8090246,16:13:37:981095,0.7774750000007771
5,1,15630.8110195,16:13:37:983090,0.7794741000016074
6,1,15630.8130129,16:13:37:985085,0.7814650000000256
7,1,15630.8140163,16:13:37:986091,0.7824721000015415
8,1,15630.8161671,16:13:37:988232,0.7846404000010807
9,1,15630.8180537,16:13:37:990110,0.7865414000007149
10,1,15630.8200018,16:13:37:992068,0.788467700000183
11,1,15630.8210274,16:13:37:993092,0.7894862000011926
12,1,15630.8479129,16:13:38:018893,0.816352600000755
13,1,15630.8501885,16:13:38:022206,0.8189055000002554
14,1,15630.8511808,16:13:38:023207,0.8196949000011955
15,1,15630.8531468,16:13:38:025196,0.8216491000002861
16,1,15630.8551465,16:13:38:027190,0.8236285000002681
17,1,15630.8571191,16:13:38:029185,0.825612300001012
18,1,15630.8591085,16:13:38:031180,0.8275953000011214
19,1,15630.8611379,16:13:38:033175,0.8296171000001777
20,1,15630.863159,16:13:38:035169,0.8316365999999107
21,1,15630.8641451,16:13:38:036203,0.8326109000008728
22,1,15630.866116,16:13:38:038162,0.8345782000014879
23,1,15630.9394824,16:13:38:110831,0.9079216999998607
24,1,15630.9409623,16:13:38:113001,0.9094312000015634
25,1,15630.9429121,16:13:38:115003,0.9113653000003978
26,1,15630.9448944,16:13:38:116984,0.9133510000010574
27,1,15630.9468896,16:13:38:118977,0.9153504000005341
28,1,15630.9478973,16:13:38:119984,0.9163576000009925
29,1,15630.9489217,16:13:38:120993,0.9174209000011615
30,1,15630.9507862,16:13:38:122850,0.9192589000012958
31,1,15630.9518943,16:13:38:123967,0.9203688000015973
32,1,15630.9538899,16:13:38:125963,0.9223646999998891
33,1,15630.9558864,16:13:38:127958,0.924362800000381
34,1,15631.0415393,16:13:38:213013,1.0099786999999196
