,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1722454.583626,15:22:00:953793,2.8614549999125245
1,1,1722454.5828758,15:21:45:957790,2.8606018000282347
2,1,1722454.5842146,15:21:45:959774,2.8619560000952333
3,1,1722454.5861659,15:21:45:961768,2.863904000027105
4,1,1722454.5882065,15:21:45:963763,2.865948700113222
5,1,1722454.5902036,15:21:45:965758,2.8679556001443416
6,1,1722454.5921849,15:21:45:967753,2.8699338000733405
7,1,1722454.593285,15:21:45:968754,2.8710227999836206
8,1,1722454.5952748,15:21:45:970749,2.873012100113556
9,1,1722454.5971368,15:21:45:972740,2.8748822000343353
10,1,1722454.5982811,15:21:45:973741,2.876018099952489
11,1,1722454.6002756,15:21:45:975908,2.8780126001220196
12,1,1722454.6239423,15:21:45:999159,2.9016688000410795
13,1,1722454.6245738,15:21:46:000183,2.902316299965605
14,1,1722454.6265732,15:21:46:002177,2.9043191000819206
15,1,1722454.6275767,15:21:46:003181,2.9053215000312775
16,1,1722454.6295745,15:21:46:005143,2.9073260999284685
17,1,1722454.6315819,15:21:46:007137,2.9093379001133144
18,1,1722454.6335972,15:21:46:009164,2.9113555001094937
19,1,1722454.6355675,15:21:46:011155,2.9133055999409407
20,1,1722454.6375342,15:21:46:013140,2.915272300131619
21,1,1722454.6396185,15:21:46:015114,2.917415700154379
22,1,1722454.6405647,15:21:46:016144,2.9183054000604898
23,1,1722454.7102127,15:21:46:085597,2.987938400125131
24,1,1722454.7110209,15:21:46:086647,2.9887602000962943
25,1,1722454.7122059,15:21:46:087823,2.9899431001394987
26,1,1722454.7142008,15:21:46:089808,2.9919477000366896
27,1,1722454.7161953,15:21:46:091807,2.993941599968821
28,1,1722454.7171817,15:21:46:092814,2.9949189000763
29,1,1722454.7191963,15:21:46:094808,2.996941300109029
30,1,1722454.7212248,15:21:46:096791,2.998985900077969
31,1,1722454.7230758,15:21:46:098648,3.000818599946797
32,1,1722454.7241467,15:21:46:099777,3.001884200144559
33,1,1722454.7256305,15:21:46:101264,3.003367500146851
34,1,1722454.8101756,15:21:46:185183,3.087901399936527
35,1,1722454.8117868,15:21:46:187403,3.089529799995944
36,1,1722454.813777,15:21:46:189399,3.0915280000772327
37,1,1722454.8149549,15:21:46:190567,3.0927004001569003
38,1,1722454.8159397,15:21:46:191572,3.093676600139588
39,1,1722454.8169654,15:21:46:192582,3.094703800044954
40,1,1722454.8189397,15:21:46:194572,3.096676900051534
41,1,1722454.8207554,15:21:46:196380,3.0984924000222236
42,1,1722454.8228275,15:21:46:198426,3.100574100157246
43,1,1722454.8239612,15:21:46:199545,3.1017152001149952
44,1,1722454.8259011,15:21:46:201533,3.1036382999736816
45,1,1722454.9099286,15:21:46:285386,3.1876547001302242
46,1,1722454.9109716,15:21:46:286512,3.188725900137797
47,1,1722454.9119703,15:21:46:287600,3.1897074999287724
48,1,1722454.9131867,15:21:46:288770,3.190939800115302
49,1,1722454.9151866,15:21:46:290772,3.192940999986604
50,1,1722454.9171894,15:21:46:292775,3.1949440999887884
51,1,1722454.9191672,15:21:46:294759,3.1969177999999374
52,1,1722454.9209723,15:21:46:296579,3.1987179999705404
53,1,1722454.9230074,15:21:46:298587,3.200768999988213
54,1,1722454.9251537,15:21:46:300737,3.2029077000916004
55,1,1722454.9261576,15:21:46:301740,3.2039117999374866
56,1,1722455.010064,15:21:46:385508,3.28778970008716
57,1,1722455.0110043,15:21:46:386548,3.288759100018069
58,1,1722455.0120884,15:21:46:387718,3.289825899992138
59,1,1722455.0142677,15:21:46:389899,3.2920053999405354
60,1,1722455.0161211,15:21:46:391710,3.293872599955648
61,1,1722455.0171603,15:21:46:392756,3.2949087999295443
62,1,1722455.0191162,15:21:46:394748,3.2968536999542266
63,1,1722455.0211101,15:21:46:396742,3.2988474001176655
64,1,1722455.0231141,15:21:46:398692,3.300860800081864
65,1,1722455.0252733,15:21:46:400856,3.3030272000469267
66,1,1722455.0272787,15:21:46:402842,3.3050335999578238
67,1,1722455.1101832,15:21:46:485678,3.387911499943584
68,1,1722455.1111295,15:21:46:486725,3.3888807999901474
69,1,1722455.1122774,15:21:46:487908,3.390014900127426
70,1,1722455.1142887,15:21:46:489904,3.392032800009474
71,1,1722455.1162735,15:21:46:491893,3.3940175001043826
72,1,1722455.1182666,15:21:46:493885,3.3960104000288993
73,1,1722455.1192591,15:21:46:494891,3.3969960000831634
74,1,1722455.1202719,15:21:46:495892,3.3980140001513064
75,1,1722455.1222357,15:21:46:497860,3.3999761000741273
76,1,1722455.1242839,15:21:46:499865,3.402039699954912
77,1,1722455.1262313,15:21:46:501852,3.4039754001423717
78,1,1722455.2096803,15:21:46:585075,3.4874060000292957
79,1,1722455.2106689,15:21:46:586296,3.488407999975607
80,1,1722455.2117054,15:21:46:587334,3.4894433000590652
81,1,1722455.2137074,15:21:46:589339,3.491444299928844
82,1,1722455.2149106,15:21:46:590471,3.4926645001396537
83,1,1722455.2168818,15:21:46:592460,3.4946415999438614
84,1,1722455.2188131,15:21:46:594443,3.4965506000444293
85,1,1722455.2198404,15:21:46:595466,3.4975787999574095
86,1,1722455.2216439,15:21:46:597269,3.4993843000847846
87,1,1722455.222854,15:21:46:598407,3.5006065000779927
88,1,1722455.2238504,15:21:46:599432,3.501606500009075
89,1,1722455.3093813,15:21:46:684851,3.587106900056824
90,1,1722455.3104759,15:21:46:686062,3.5882298999931663
91,1,1722455.3116093,15:21:46:687239,3.5893469001166523
92,1,1722455.3126093,15:21:46:688241,3.590351700084284
93,1,1722455.3146298,15:21:46:690237,3.592369900085032
94,1,1722455.3165952,15:21:46:692215,3.5943359001539648
95,1,1722455.3176273,15:21:46:693219,3.595376400044188
96,1,1722455.3186143,15:21:46:694231,3.596355600049719
97,1,1722455.3205478,15:21:46:696178,3.598285200074315
98,1,1722455.3224992,15:21:46:698099,3.60023929993622
99,1,1722455.323578,15:21:46:699193,3.601321800146252
100,1,1722455.4096272,15:21:46:785114,3.687352899927646
101,1,1722455.4107457,15:21:46:786275,3.6885031999554485
102,1,1722455.4116998,15:21:46:787329,3.689437200082466
103,1,1722455.4129247,15:21:46:788508,3.6906785001046956
104,1,1722455.4149222,15:21:46:790506,3.692676099948585
105,1,1722455.4168951,15:21:46:792501,3.694640100002289
106,1,1722455.4188823,15:21:46:794496,3.6966248999815434
107,1,1722455.4207466,15:21:46:796359,3.6984876000788063
108,1,1722455.421881,15:21:46:797465,3.6996293999254704
109,1,1722455.4237462,15:21:46:799302,3.7015072000212967
110,1,1722455.4246987,15:21:46:800325,3.7024366999976337
111,1,1722455.5099617,15:21:46:885463,3.7876875000074506
112,1,1722455.5109384,15:21:46:886499,3.7886874999385327
113,1,1722455.5120444,15:21:46:887676,3.789781300118193
114,1,1722455.5132343,15:21:46:888851,3.7909783001523465
115,1,1722455.5152193,15:21:46:890851,3.7929561999626458
116,1,1722455.5172274,15:21:46:892849,3.7949695999268442
117,1,1722455.5191792,15:21:46:894801,3.7969239000231028
118,1,1722455.5202254,15:21:46:895826,3.797967999940738
119,1,1722455.5212006,15:21:46:896833,3.798937600106001
120,1,1722455.5230658,15:21:46:898680,3.8008034001104534
121,1,1722455.524193,15:21:46:899810,3.80193810001947
122,1,1722455.6095737,15:21:46:984977,3.887299499940127
123,1,1722455.6104026,15:21:46:986000,3.888141500065103
124,1,1722455.6123956,15:21:46:987996,3.8901331000961363
125,1,1722455.6134022,15:21:46:989000,3.891139999963343
126,1,1722455.6153978,15:21:46:990996,3.8931353001389652
127,1,1722455.6173885,15:21:46:992988,3.8951254000421613
128,1,1722455.6193778,15:21:46:994978,3.8971154000610113
129,1,1722455.6213902,15:21:46:996982,3.899127700133249
130,1,1722455.6234928,15:21:46:999088,3.9012305000796914
131,1,1722455.6254936,15:21:47:001124,3.9032310999464244
132,1,1722455.6266524,15:21:47:002284,3.904389000032097
133,1,1722455.7092114,15:21:47:084650,3.9869371000677347
134,1,1722455.7102779,15:21:47:085863,3.988031500019133
135,1,1722455.711233,15:21:47:086863,3.9889704999513924
136,1,1722455.712452,15:21:47:088035,3.990206199930981
137,1,1722455.7143977,15:21:47:089961,3.99215120007284
138,1,1722455.7154856,15:21:47:091024,3.993237999966368
139,1,1722455.7174325,15:21:47:093017,3.995187000138685
140,1,1722455.7184366,15:21:47:094021,3.9961900000926107
141,1,1722455.7193905,15:21:47:095022,3.9971277001313865
142,1,1722455.7213904,15:21:47:097012,3.999131000135094
143,1,1722455.7232196,15:21:47:098831,4.000965200131759
144,1,1722455.8099247,15:21:47:185278,4.087650400120765
145,1,1722455.8117113,15:21:47:187313,4.089459300041199
146,1,1722455.813663,15:21:47:189294,4.091400200035423
147,1,1722455.815652,15:21:47:191282,4.09339000005275
148,1,1722455.8176617,15:21:47:193283,4.095402600010857
149,1,1722455.8196507,15:21:47:195282,4.097387799993157
150,1,1722455.8216559,15:21:47:197280,4.099396400153637
151,1,1722455.8236256,15:21:47:199257,4.101362700108439
152,1,1722455.8256257,15:21:47:201249,4.103378700092435
153,1,1722455.8266425,15:21:47:202258,4.104386399965733
154,1,1722455.8286365,15:21:47:204249,4.106380700133741
155,1,1722455.9099906,15:21:47:285450,4.187716300133616
156,1,1722455.9109606,15:21:47:286516,4.1887153999414295
157,1,1722455.9119855,15:21:47:287615,4.189722700044513
158,1,1722455.9130068,15:21:47:288619,4.190749099943787
159,1,1722455.9140034,15:21:47:289621,4.191743900068104
160,1,1722455.915013,15:21:47:290627,4.192755199968815
