,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1722827.9751716666,15:28:14:338103,2.8784694664335504
1,1,1722827.9662364,15:27:59:342489,2.869430399965495
2,1,1722827.9680972,15:27:59:344483,2.8713078999426216
3,1,1722827.9701083,15:27:59:346478,2.8733155000954866
4,1,1722827.9720894,15:27:59:348475,2.8752977000549436
5,1,1722827.9731002,15:27:59:349479,2.8763143999967724
6,1,1722827.9742042,15:27:59:350484,2.877448699902743
7,1,1722827.9761162,15:27:59:352466,2.8793305999133736
8,1,1722827.9780874,15:27:59:354457,2.8812981001101434
9,1,1722827.9800546,15:27:59:356452,2.8832620000466704
10,1,1722827.9820702,15:27:59:358447,2.885280800051987
11,1,1722827.983184,15:27:59:359608,2.886390500003472
12,1,1722828.0071518,15:27:59:382757,2.9103461001068354
13,1,1722828.0083759,15:27:59:384751,2.9115889000240713
14,1,1722828.0106248,15:27:59:386997,2.913838899927214
15,1,1722828.0127373,15:27:59:388988,2.9159444000106305
16,1,1722828.0147276,15:27:59:390995,2.917933899909258
17,1,1722828.0167317,15:27:59:392986,2.919937399914488
18,1,1722828.0187262,15:27:59:395152,2.9219321000855416
19,1,1722828.019976,15:27:59:396329,2.923198699951172
20,1,1722828.0217737,15:27:59:398147,2.925000000046566
21,1,1722828.0228009,15:27:59:399193,2.926018599886447
22,1,1722828.0247947,15:27:59:401189,2.928013199940324
23,1,1722828.0970679,15:27:59:473247,3.0002617998979986
24,1,1722828.0980823,15:27:59:474413,3.0013045999221504
25,1,1722828.1000363,15:27:59:476459,3.0032440000213683
26,1,1722828.1012589,15:27:59:477640,3.004481599899009
27,1,1722828.1032501,15:27:59:479631,3.0064719000365585
28,1,1722828.1052277,15:27:59:481623,3.008445299929008
29,1,1722828.1071218,15:27:59:483492,3.0103537999093533
30,1,1722828.1082273,15:27:59:484608,3.0114498999901116
31,1,1722828.1102006,15:27:59:486596,3.0134083998855203
32,1,1722828.1122062,15:27:59:488599,3.015422600088641
33,1,1722828.1132214,15:27:59:489600,3.016443399945274
34,1,1722828.1969955,15:27:59:573242,3.100189399905503
35,1,1722828.1980689,15:27:59:574453,3.1012911999132484
36,1,1722828.1992266,15:27:59:575609,3.102447699988261
37,1,1722828.2012561,15:27:59:577640,3.1044783000834286
38,1,1722828.2032141,15:27:59:579615,3.1064303000457585
39,1,1722828.2041896,15:27:59:580620,3.10739569994621
40,1,1722828.2061942,15:27:59:582609,3.109411499928683
41,1,1722828.2082182,15:27:59:584598,3.111440399894491
42,1,1722828.2101504,15:27:59:586577,3.113357099937275
43,1,1722828.2121523,15:27:59:588581,3.1153585999272764
44,1,1722828.2141997,15:27:59:590584,3.117421800037846
45,1,1722828.297196,15:27:59:672828,3.2003901000134647
46,1,1722828.2973892,15:27:59:673828,3.200591600034386
47,1,1722828.2984445,15:27:59:674878,3.201650199946016
48,1,1722828.3004656,15:27:59:676886,3.2036731999833137
49,1,1722828.3024024,15:27:59:678817,3.2056142000947148
50,1,1722828.3034287,15:27:59:679848,3.206635700073093
51,1,1722828.3044294,15:27:59:680851,3.2076361998915672
52,1,1722828.3064154,15:27:59:682835,3.209621800109744
53,1,1722828.3083916,15:27:59:684824,3.211597800021991
54,1,1722828.3103917,15:27:59:686825,3.2135976999998093
55,1,1722828.3113928,15:27:59:687825,3.2145988000556827
56,1,1722828.3968026,15:27:59:773074,3.299996600020677
57,1,1722828.3979016,15:27:59:774233,3.3011229999829084
58,1,1722828.3988516,15:27:59:775286,3.3020579998847097
59,1,1722828.4000744,15:27:59:776463,3.3032964000012726
60,1,1722828.4020671,15:27:59:778457,3.3052882000338286
61,1,1722828.4038434,15:27:59:780276,3.307050900068134
62,1,1722828.405034,15:27:59:781448,3.30824530008249
63,1,1722828.4060958,15:27:59:782450,3.309320200001821
64,1,1722828.4080697,15:27:59:784434,3.3112908999901265
65,1,1722828.4100369,15:27:59:786423,3.3132543999236077
66,1,1722828.4119888,15:27:59:788422,3.3151956000365317
67,1,1722828.4971696,15:27:59:873466,3.4003634999971837
68,1,1722828.4982848,15:27:59:874678,3.401506799971685
69,1,1722828.4994663,15:27:59:875857,3.402688599890098
70,1,1722828.501462,15:27:59:877855,3.4046835999470204
71,1,1722828.5033885,15:27:59:879825,3.4065946000628173
72,1,1722828.505424,15:27:59:881838,3.4086428000591695
73,1,1722828.5072617,15:27:59:883658,3.4104818999767303
74,1,1722828.5084332,15:27:59:884823,3.4116549000609666
75,1,1722828.5103782,15:27:59:886813,3.413585399976
76,1,1722828.5123677,15:27:59:888805,3.415573799982667
77,1,1722828.5134176,15:27:59:889808,3.4166391000617296
78,1,1722828.5966259,15:27:59:972661,3.499819800024852
79,1,1722828.5974784,15:27:59:973873,3.5007003000937402
80,1,1722828.5986132,15:27:59:975055,3.5018188001122326
81,1,1722828.6006087,15:27:59:977047,3.5038175999652594
82,1,1722828.6026006,15:27:59:979038,3.5058093001134694
83,1,1722828.6046321,15:27:59:981040,3.5078515000641346
84,1,1722828.6064224,15:27:59:982853,3.509633499896154
85,1,1722828.6076264,15:27:59:984018,3.5108479999471456
86,1,1722828.6085889,15:27:59:985030,3.511794599937275
87,1,1722828.6104376,15:27:59:986870,3.5136599000543356
88,1,1722828.6114886,15:27:59:987890,3.5147108999080956
89,1,1722828.6972107,15:28:00:073511,3.600404700031504
90,1,1722828.6983252,15:28:00:074723,3.6015471999999136
91,1,1722828.6994982,15:28:00:075891,3.60272020008415
92,1,1722828.7015,15:28:00:077875,3.60472230007872
93,1,1722828.7034585,15:28:00:079888,3.6066688999999315
94,1,1722828.7054481,15:28:00:081886,3.608656099997461
95,1,1722828.7072975,15:28:00:083703,3.610516400076449
96,1,1722828.7084723,15:28:00:084867,3.61169459996745
97,1,1722828.7104361,15:28:00:086855,3.613643700024113
98,1,1722828.7124237,15:28:00:088852,3.6156349000521004
99,1,1722828.7134584,15:28:00:089853,3.616680799983442
100,1,1722828.7971998,15:28:00:172778,3.700393999926746
101,1,1722828.7974043,15:28:00:173807,3.7006125999614596
102,1,1722828.7984073,15:28:00:174809,3.701614399906248
103,1,1722828.8003638,15:28:00:176806,3.7035707000177354
104,1,1722828.8023481,15:28:00:178761,3.7055548999924213
105,1,1722828.803404,15:28:00:179775,3.7066105001140386
106,1,1722828.8043795,15:28:00:180789,3.7075865999795496
107,1,1722828.8063519,15:28:00:182751,3.709559200098738
108,1,1722828.8073749,15:28:00:183781,3.710581799969077
109,1,1722828.8093745,15:28:00:185776,3.712583800079301
110,1,1722828.811363,15:28:00:187769,3.714570000069216
111,1,1722828.8968573,15:28:00:272406,3.800059499917552
112,1,1722828.898159,15:28:00:274570,3.801380299963057
113,1,1722828.8991305,15:28:00:275580,3.8023363000247627
114,1,1722828.9011316,15:28:00:277573,3.804339800029993
115,1,1722828.9031268,15:28:00:279567,3.8063348999712616
116,1,1722828.9051298,15:28:00:281557,3.8083379000891
