,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1106418.9292860667,13:06:34:670907,0.7781527666995913
1,1,1106418.9239349,13:06:19:675309,0.7726991001982242
2,1,1106418.9257133,13:06:19:677313,0.774503500200808
3,1,1106418.9276711,13:06:19:679297,0.7764489001128823
4,1,1106418.9296949,13:06:19:681292,0.7784732000436634
5,1,1106418.9316868,13:06:19:683286,0.7804645001888275
6,1,1106418.9336972,13:06:19:685318,0.7824744000099599
7,1,1106418.9356754,13:06:19:687302,0.7844532001763582
8,1,1106418.937648,13:06:19:689270,0.7864290000870824
9,1,1106418.9386921,13:06:19:690298,0.7874818001873791
10,1,1106418.9406646,13:06:19:692270,0.789450200041756
11,1,1106418.9428754,13:06:19:694292,0.791731100063771
12,1,1106418.9713111,13:06:19:722222,0.8200761000625789
13,1,1106418.9725982,13:06:19:724209,0.821377000072971
14,1,1106418.9745781,13:06:19:726201,0.8233539001084864
15,1,1106418.976579,13:06:19:728198,0.8253549002110958
16,1,1106418.9785376,13:06:19:730162,0.8273242001887411
17,1,1106418.9806032,13:06:19:732190,0.8293909002095461
18,1,1106418.9817074,13:06:19:733200,0.8305028001777828
19,1,1106418.9837846,13:06:19:735178,0.8326614000834525
20,1,1106418.9855727,13:06:19:737144,0.8343891000840813
21,1,1106418.9865659,13:06:19:738171,0.8353570001199841
22,1,1106418.9885487,13:06:19:740169,0.8373281999956816
23,1,1106419.0647732,13:06:19:816254,0.9135373001918197
24,1,1106419.0657744,13:06:19:817410,0.9145519000012428
25,1,1106419.0668942,13:06:19:818487,0.9156785001978278
26,1,1106419.0689417,13:06:19:820604,0.917717200005427
27,1,1106419.0701043,13:06:19:821766,0.9188801001291722
28,1,1106419.0720958,13:06:19:823758,0.9208711001556367
29,1,1106419.073099,13:06:19:824761,0.9218745999969542
30,1,1106419.0750932,13:06:19:826750,0.9238692000508308
31,1,1106419.0770831,13:06:19:828745,0.925858500180766
32,1,1106419.0780871,13:06:19:829750,0.9268628000281751
33,1,1106419.0800738,13:06:19:831736,0.9288495001383126
34,1,1106419.1661486,13:06:19:917574,1.0149127000477165
35,1,1106419.1670266,13:06:19:918634,1.0158190000802279
36,1,1106419.1680864,13:06:19:919748,1.0168620001059026
37,1,1106419.1701267,13:06:19:921746,1.0189145000185817
38,1,1106419.1721435,13:06:19:923747,1.0209345000330359
39,1,1106419.1740541,13:06:19:925716,1.0228300001472235
40,1,1106419.1751042,13:06:19:926726,1.0239062001928687
41,1,1106419.1760777,13:06:19:927727,1.0248569000978023
42,1,1106419.1779352,13:06:19:929595,1.0267119000200182
43,1,1106419.1800999,13:06:19:931713,1.0288924002088606
44,1,1106419.1820329,13:06:19:933695,1.0308091000188142
45,1,1106419.2666596,13:06:20:018147,1.1154238001909107
46,1,1106419.267579,13:06:20:019200,1.116369100054726
47,1,1106419.2687106,13:06:20:020375,1.117486400064081
48,1,1106419.2707114,13:06:20:022362,1.1194951001089066
49,1,1106419.2727255,13:06:20:024370,1.1215095000807196
50,1,1106419.2747366,13:06:20:026366,1.1235253000631928
51,1,1106419.2767083,13:06:20:028350,1.1254854002036154
52,1,1106419.2786196,13:06:20:030173,1.1274185001384467
53,1,1106419.280725,13:06:20:032340,1.129517100052908
54,1,1106419.2826994,13:06:20:034317,1.1314926000777632
55,1,1106419.2836585,13:06:20:035322,1.1324349001515657
56,1,1106419.3661079,13:06:20:117621,1.2148720000404865
57,1,1106419.3670864,13:06:20:118653,1.2158796000294387
58,1,1106419.3681569,13:06:20:119820,1.2169329000171274
59,1,1106419.3693726,13:06:20:120988,1.2181658002082258
60,1,1106419.3713197,13:06:20:122898,1.2201213000807911
61,1,1106419.3723551,13:06:20:123983,1.2211421001702547
62,1,1106419.3733494,13:06:20:124993,1.2221291000023484
63,1,1106419.3743427,13:06:20:125999,1.2231199000962079
64,1,1106419.3763307,13:06:20:127982,1.2251093999948353
65,1,1106419.3781343,13:06:20:129796,1.226911400211975
66,1,1106419.3792228,13:06:20:130868,1.2280070001725107
67,1,1106419.4667432,13:06:20:218228,1.3155074000824243
68,1,1106419.4676435,13:06:20:219280,1.3164288001134992
69,1,1106419.468782,13:06:20:220448,1.3175577002111822
70,1,1106419.4707879,13:06:20:222450,1.319565000012517
71,1,1106419.4727993,13:06:20:224452,1.3215818000026047
72,1,1106419.4747815,13:06:20:226435,1.323563100071624
73,1,1106419.476788,13:06:20:228446,1.325567200081423
74,1,1106419.4787956,13:06:20:230367,1.3275862000882626
75,1,1106419.480773,13:06:20:232408,1.3295597000978887
76,1,1106419.4827242,13:06:20:234382,1.3315041000023484
77,1,1106419.4847343,13:06:20:236392,1.3335140000563115
78,1,1106419.5666291,13:06:20:318098,1.4154056999832392
79,1,1106419.5676597,13:06:20:319318,1.4164380000438541
80,1,1106419.5688226,13:06:20:320490,1.4175985001493245
81,1,1106419.5708945,13:06:20:322484,1.4196998002007604
82,1,1106419.5728332,13:06:20:324487,1.4216152001172304
83,1,1106419.5748215,13:06:20:326473,1.423604200128466
84,1,1106419.5758068,13:06:20:327475,1.4245824001263827
85,1,1106419.5768351,13:06:20:328481,1.4256167002022266
86,1,1106419.5787267,13:06:20:330369,1.4275047001428902
87,1,1106419.5797824,13:06:20:331450,1.4285580001305789
88,1,1106419.5817984,13:06:20:333448,1.4305832001846284
89,1,1106419.6662409,13:06:20:417672,1.5150050001684576
90,1,1106419.6671972,13:06:20:418855,1.515974000096321
91,1,1106419.6683467,13:06:20:420015,1.5171225999947637
92,1,1106419.6703792,13:06:20:422021,1.5191630001645535
93,1,1106419.6713601,13:06:20:423028,1.520135800121352
94,1,1106419.6733508,13:06:20:425019,1.5221266001462936
95,1,1106419.6752398,13:06:20:426899,1.5240184001158923
96,1,1106419.6763362,13:06:20:427999,1.525113700190559
97,1,1106419.6773423,13:06:20:429010,1.5261180000379682
98,1,1106419.6791619,13:06:20:430826,1.5279401000589132
99,1,1106419.6803229,13:06:20:431991,1.529098500031978
100,1,1106419.768544,13:06:20:519416,1.6173084999900311
101,1,1106419.7699574,13:06:20:521579,1.6187498001381755
102,1,1106419.7720464,13:06:20:523580,1.6208432000130415
103,1,1106419.7739221,13:06:20:525572,1.6227043000981212
104,1,1106419.7749075,13:06:20:526577,1.6236831999849528
105,1,1106419.7759124,13:06:20:527579,1.6246892001945525
106,1,1106419.7778881,13:06:20:529552,1.6266654001083225
107,1,1106419.7799283,13:06:20:531559,1.6287158001214266
108,1,1106419.7818701,13:06:20:533539,1.630646200152114
109,1,1106419.7839217,13:06:20:535543,1.6327138000633568
110,1,1106419.7859076,13:06:20:537530,1.6347004000563174
111,1,1106419.865487,13:06:20:616983,1.7142512002028525
112,1,1106419.866569,13:06:20:618191,1.7153652000706643
113,1,1106419.8677367,13:06:20:619359,1.7165287001989782
114,1,1106419.8687396,13:06:20:620361,1.717531600035727
115,1,1106419.8696969,13:06:20:621368,1.7184725999832153
116,1,1106419.8717039,13:06:20:623361,1.7204823000356555
117,1,1106419.8736976,13:06:20:625356,1.7224762002006173
118,1,1106419.8755684,13:06:20:627170,1.7243588999845088
119,1,1106419.8767354,13:06:20:628339,1.725525600137189
120,1,1106419.8786592,13:06:20:630325,1.7274503000080585
121,1,1106419.8797041,13:06:20:631327,1.7284968001767993
122,1,1106419.965647,13:06:20:716870,1.814411100000143
123,1,1106419.9662627,13:06:20:717899,1.8150387001223862
124,1,1106419.9682511,13:06:20:719891,1.8170270000118762
125,1,1106419.9702484,13:06:20:721913,1.8190242000855505
126,1,1106419.971275,13:06:20:722946,1.820053700124845
127,1,1106419.9722845,13:06:20:723956,1.821060199989006
128,1,1106419.9742588,13:06:20:725930,1.8230349000077695
129,1,1106419.9762516,13:06:20:727923,1.8250275000464171
130,1,1106419.9772659,13:06:20:728930,1.8260415000841022
131,1,1106419.9783316,13:06:20:729955,1.8271236000582576
132,1,1106419.9803951,13:06:20:732049,1.82917769998312
133,1,1106420.0655141,13:06:20:816991,1.9142781000118703
134,1,1106420.0665727,13:06:20:818147,1.9153660000301898
135,1,1106420.0675519,13:06:20:819206,1.9163298001512885
136,1,1106420.0687585,13:06:20:820405,1.9175419001840055
137,1,1106420.0707116,13:06:20:822381,1.9194881001021713
138,1,1106420.0727408,13:06:20:824381,1.9215264001395553
139,1,1106420.0747252,13:06:20:826371,1.9235068000853062
140,1,1106420.0766848,13:06:20:828350,1.925462600076571
141,1,1106420.0777224,13:06:20:829389,1.9265006000641733
142,1,1106420.0788198,13:06:20:830446,1.9276135000400245
143,1,1106420.0799277,13:06:20:831553,1.9287205000873655
