,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,178566.34708796666,11:23:13:731232,0.7781429666540731
1,1,178566.3411754,11:22:58:735247,0.7721283999853767
2,1,178566.3425827,11:22:58:737208,0.7735530999780167
3,1,178566.3445391,11:22:58:739228,0.7755092000006698
4,1,178566.3465408,11:22:58:741197,0.7775180999888107
5,1,178566.3476021,11:22:58:742234,0.778577499993844
6,1,178566.3486772,11:22:58:743342,0.7796414999756962
7,1,178566.3505461,11:22:58:745187,0.7815283999952953
8,1,178566.3515174,11:22:58:746191,0.7824871999910101
9,1,178566.3534953,11:22:58:748179,0.7844621999829542
10,1,178566.3555613,11:22:58:750178,0.7865488999814261
11,1,178566.3575788,11:22:58:752172,0.7885588999779429
12,1,178566.3818142,11:22:58:776326,0.812767299998086
13,1,178566.3836893,11:22:58:778319,0.8146723999816459
14,1,178566.3856721,11:22:58:780314,0.8166503999964334
15,1,178566.3877034,11:22:58:782340,0.8186780999822076
16,1,178566.3896984,11:22:58:784304,0.8206734999839682
17,1,178566.3906644,11:22:58:785333,0.8216304999950808
18,1,178566.3926715,11:22:58:787330,0.823636399989482
19,1,178566.3947048,11:22:58:789323,0.8256949999777135
20,1,178566.3966578,11:22:58:791317,0.8276259999838658
21,1,178566.3986215,11:22:58:793277,0.8295963999989908
22,1,178566.4006181,11:22:58:795273,0.8315892999817152
23,1,178566.4755108,11:22:58:869964,0.9064635999966413
24,1,178566.4765175,11:22:58:871177,0.9074985999905039
25,1,178566.4776778,11:22:58:872364,0.9086432999756653
26,1,178566.4796653,11:22:58:874361,0.9106333999952767
27,1,178566.4814925,11:22:58:876167,0.9124661999812815
28,1,178566.482587,11:22:58:877257,0.9135551999788731
29,1,178566.4846799,11:22:58:879337,0.9156613999803085
30,1,178566.4866259,11:22:58:881327,0.9175915999803692
31,1,178566.4878406,11:22:58:882543,0.9188068999792449
32,1,178566.4890107,11:22:58:883716,0.9199750999978278
33,1,178566.4910198,11:22:58:885716,0.9219870999804698
34,1,178566.5850386,11:22:58:979581,1.015991499996744
35,1,178566.5860938,11:22:58:980752,1.0170741999754682
36,1,178566.5870454,11:22:58:981752,1.018010299972957
37,1,178566.5880549,11:22:58:982759,1.0190208999847528
38,1,178566.5900561,11:22:58:984762,1.0210209999931976
39,1,178566.5920793,11:22:58:986744,1.0230595999746583
40,1,178566.5940322,11:22:58:988738,1.0250097999814898
41,1,178566.5960377,11:22:58:990730,1.027006699994672
42,1,178566.5979859,11:22:58:992635,1.0289704999886453
43,1,178566.5990945,11:22:58:993712,1.030077799980063
44,1,178566.6010003,11:22:58:995693,1.0319713999924716
45,1,178566.6866022,11:22:59:081141,1.1175550999760162
46,1,178566.6875296,11:22:59:082202,1.118505799997365
47,1,178566.6886599,11:22:59:083368,1.1196246999897994
48,1,178566.6906848,11:22:59:085366,1.1216599999752361
49,1,178566.6926642,11:22:59:087355,1.1236379999900237
50,1,178566.6946755,11:22:59:089356,1.1256482999888249
51,1,178566.6966939,11:22:59:091353,1.1276742999907583
52,1,178566.6987074,11:22:59:093303,1.12968999997247
53,1,178566.7006303,11:22:59:095318,1.1316017999779433
54,1,178566.7016717,11:22:59:096342,1.1326473999943119
55,1,178566.7036561,11:22:59:098324,1.1346350999956485
56,1,178566.7747747,11:22:59:169315,1.2057277999992948
57,1,178566.7758612,11:22:59:170472,1.2068413999804761
58,1,178566.777824,11:22:59:172524,1.2087917999888305
59,1,178566.7790293,11:22:59:173691,1.2100104999844916
60,1,178566.7800307,11:22:59:174691,1.2110115999821573
61,1,178566.7809876,11:22:59:175697,1.211952099984046
62,1,178566.7828714,11:22:59:177562,1.213843799981987
63,1,178566.7850172,11:22:59:179677,1.215998200001195
64,1,178566.786021,11:22:59:180677,1.2170027999964077
65,1,178566.7879725,11:22:59:182676,1.2189387999824248
66,1,178566.7899845,11:22:59:184670,1.220960799983004
67,1,178566.8861125,11:22:59:280660,1.3170655999856535
68,1,178566.8872136,11:22:59:281822,1.318201299989596
69,1,178566.8881658,11:22:59:282864,1.319131299998844
70,1,178566.8893717,11:22:59:284034,1.320352599985199
71,1,178566.8903736,11:22:59:285035,1.321354199986672
72,1,178566.8913314,11:22:59:286040,1.322296499973163
73,1,178566.8933421,11:22:59:288036,1.324310299998615
74,1,178566.8953735,11:22:59:290035,1.326354499993613
75,1,178566.8973766,11:22:59:292020,1.3283553999790456
76,1,178566.8991941,11:22:59:293887,1.330169399996521
77,1,178566.9004045,11:22:59:295003,1.331399299990153
78,1,178566.9858188,11:22:59:380372,1.4167718999960925
79,1,178566.9868845,11:22:59:381590,1.4178512999787927
80,1,178566.98807,11:22:59:382765,1.4190341999928933
81,1,178566.9900624,11:22:59:384772,1.4210277999809477
82,1,178566.9920486,11:22:59:386759,1.4230136999976821
83,1,178566.9940401,11:22:59:388749,1.425005400000373
