,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,191433.69771366665,14:57:41:242518,0.7779934666507557
1,1,191433.6924974,14:57:26:246916,0.7726766999985557
2,1,191433.694285,14:57:26:248912,0.7744888000015635
3,1,191433.6962717,14:57:26:250936,0.776468299998669
4,1,191433.6982696,14:57:26:252931,0.7784616999852005
5,1,191433.7002437,14:57:26:254896,0.7804466999950819
6,1,191433.7022982,14:57:26:256890,0.7825091000122484
7,1,191433.7032337,14:57:26:257891,0.7834264999837615
8,1,191433.7052139,14:57:26:259928,0.7854055000061635
9,1,191433.7062194,14:57:26:260935,0.7864106000051834
10,1,191433.7073503,14:57:26:262065,0.7875413000001572
11,1,191433.7092403,14:57:26:263949,0.7894340000057127
12,1,191433.7315789,14:57:26:286319,0.8117581999977119
13,1,191433.7338154,14:57:26:288449,0.8140215000021271
14,1,191433.7359873,14:57:26:290604,0.816193899983773
15,1,191433.7379461,14:57:26:292591,0.8181411999976262
16,1,191433.7399191,14:57:26:294587,0.8201098999998067
17,1,191433.741146,14:57:26:295764,0.8213515999959782
18,1,191433.7429867,14:57:26:297610,0.8231952000060119
19,1,191433.7449428,14:57:26:299601,0.8251453000120819
20,1,191433.7469407,14:57:26:301624,0.8271458999952301
21,1,191433.7479594,14:57:26:302624,0.8281570000108331
22,1,191433.7490793,14:57:26:303770,0.8292703999904916
23,1,191433.8254119,14:57:26:380140,0.9055912999901921
24,1,191433.8266376,14:57:26:381260,0.9068502000009175
25,1,191433.827612,14:57:26:382319,0.9078052999975625
26,1,191433.8288215,14:57:26:383470,0.9090267999854404
27,1,191433.8298234,14:57:26:384498,0.9100288999907207
28,1,191433.8317715,14:57:26:386487,0.911962099984521
29,1,191433.8338247,14:57:26:388491,0.9140251000062563
30,1,191433.8357796,14:57:26:390468,0.915980399993714
31,1,191433.8367625,14:57:26:391479,0.9169536999834236
32,1,191433.8387638,14:57:26:393479,0.9189558000070974
33,1,191433.8407713,14:57:26:395458,0.9209708999842405
34,1,191433.9281844,14:57:26:482672,1.0083637000061572
35,1,191433.9291776,14:57:26:483846,1.0093847000098322
36,1,191433.9311122,14:57:26:485828,1.0113039999851026
37,1,191433.9321256,14:57:26:486839,1.0123287999886088
38,1,191433.9340556,14:57:26:488753,1.0142466000106651
39,1,191433.935141,14:57:26:489825,1.0153408999904059
40,1,191433.9361606,14:57:26:490831,1.0163678000099026
41,1,191433.9381055,14:57:26:492820,1.0182982000114862
42,1,191433.9391828,14:57:26:493832,1.0193888999929186
43,1,191433.9409916,14:57:26:495696,1.0211871000065003
44,1,191433.9429436,14:57:26:497634,1.0231452999869362
45,1,191434.0287556,14:57:26:583300,1.1089347999950405
46,1,191434.0297184,14:57:26:584336,1.1099238999886438
47,1,191434.0307812,14:57:26:585499,1.1109719999949448
48,1,191434.0320218,14:57:26:586672,1.1122269000043161
49,1,191434.0339934,14:57:26:588665,1.1141992000048049
50,1,191434.0349957,14:57:26:589667,1.1152023999893572
51,1,191434.0368245,14:57:26:591541,1.1170164000068326
52,1,191434.037973,14:57:26:592653,1.118175399984466
53,1,191434.0389577,14:57:26:593662,1.119151899998542
