,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,2352107.6653855,15:09:15:213482,2.861406200006627
1,1,2352107.6659288,15:09:00:218466,2.8617799999192357
2,1,2352107.6673143,15:09:00:220485,2.863189899828285
3,1,2352107.6682809,15:09:00:221493,2.864153599832207
4,1,2352107.670489,15:09:00:223476,2.8664192999713123
5,1,2352107.6712992,15:09:00:224478,2.867175600025803
6,1,2352107.6722792,15:09:00:225483,2.8681426998227835
7,1,2352107.6742517,15:09:00:227470,2.870114400051534
8,1,2352107.6762219,15:09:00:229434,2.872086999937892
9,1,2352107.6772443,15:09:00:230462,2.8731068996712565
10,1,2352107.6792659,15:09:00:232459,2.8751403000205755
11,1,2352107.6812885,15:09:00:234471,2.877161799930036
12,1,2352107.7036105,15:09:00:256362,2.8994609997607768
13,1,2352107.7041778,15:09:00:257390,2.9000438996590674
14,1,2352107.7061987,15:09:00:259386,2.902062699664384
15,1,2352107.707212,15:09:00:260393,2.9030748000368476
16,1,2352107.7091926,15:09:00:262375,2.9050553999841213
17,1,2352107.7101986,15:09:00:263380,2.906060999725014
18,1,2352107.7122292,15:09:00:265373,2.90810119966045
19,1,2352107.7143179,15:09:00:267372,2.9102337998338044
20,1,2352107.71616,15:09:00:269358,2.912029800005257
21,1,2352107.7181695,15:09:00:271355,2.914032599888742
22,1,2352107.7201708,15:09:00:273352,2.9160333001054823
23,1,2352107.7898242,15:09:00:342282,2.985674799885601
24,1,2352107.7910895,15:09:00:344309,2.9869523998349905
25,1,2352107.7930849,15:09:00:346304,2.9889485999010503
26,1,2352107.7950815,15:09:00:348296,2.9909463999792933
27,1,2352107.7970835,15:09:00:350293,2.9929525000043213
28,1,2352107.7990702,15:09:00:352285,2.9949461999349296
29,1,2352107.8010617,15:09:00:354281,2.996925000101328
30,1,2352107.8020619,15:09:00:355283,2.997924499679357
31,1,2352107.8040637,15:09:00:357285,2.9999261000193655
32,1,2352107.8060459,15:09:00:359267,3.0019084000959992
33,1,2352107.8080417,15:09:00:361262,3.0039043999277055
34,1,2352107.8973132,15:09:00:450090,3.0931636998429894
35,1,2352107.8978992,15:09:00:451118,3.0937629998661578
36,1,2352107.8999228,15:09:00:453139,3.0957855000160635
37,1,2352107.9018858,15:09:00:455107,3.09774830006063
38,1,2352107.9028857,15:09:00:456108,3.098748399876058
39,1,2352107.903888,15:09:00:457110,3.0997504997067153
40,1,2352107.9058928,15:09:00:459065,3.1017561997286975
41,1,2352107.9068833,15:09:00:460097,3.102750899735838
42,1,2352107.9088903,15:09:00:462096,3.104758699890226
43,1,2352107.9108732,15:09:00:464085,3.106736300047487
44,1,2352107.9118646,15:09:00:465087,3.1077270000241697
45,1,2352107.9975914,15:09:00:550823,3.19344209972769
46,1,2352107.9986281,15:09:00:551848,3.194491599686444
47,1,2352107.9996253,15:09:00:552848,3.195487800054252
48,1,2352108.0006287,15:09:00:553852,3.196491099894047
49,1,2352108.0026152,15:09:00:555838,3.1984775997698307
50,1,2352108.0046422,15:09:00:557802,3.200507099740207
51,1,2352108.0066096,15:09:00:559832,3.2024721996858716
52,1,2352108.0086069,15:09:00:561830,3.2044692998752
53,1,2352108.0105962,15:09:00:563818,3.206458800006658
54,1,2352108.0125925,15:09:00:565816,3.2084550000727177
55,1,2352108.0145827,15:09:00:567805,3.210445299744606
56,1,2352108.0973037,15:09:00:649613,3.293154099956155
57,1,2352108.099432,15:09:00:652603,3.295295199844986
58,1,2352108.100424,15:09:00:653632,3.2962893997319043
59,1,2352108.1024118,15:09:00:655627,3.298279599752277
60,1,2352108.1044017,15:09:00:657626,3.300264199730009
61,1,2352108.1054029,15:09:00:658626,3.3012652997858822
62,1,2352108.1074049,15:09:00:660582,3.3032673997804523
63,1,2352108.1083982,15:09:00:661622,3.3042607996612787
64,1,2352108.1103862,15:09:00:663608,3.3062487998977304
65,1,2352108.1113897,15:09:00:664613,3.3072544997557998
66,1,2352108.1133746,15:09:00:666598,3.3092368999496102
67,1,2352108.197848,15:09:00:750345,3.3936987998895347
68,1,2352108.199192,15:09:00:752379,3.395055199973285
69,1,2352108.2011432,15:09:00:754366,3.3970067999325693
70,1,2352108.2031369,15:09:00:756361,3.3989997999742627
71,1,2352108.2051302,15:09:00:758355,3.4009928996674716
72,1,2352108.2061369,15:09:00:759361,3.4020003001205623
73,1,2352108.208122,15:09:00:761347,3.4039847999811172
74,1,2352108.2101127,15:09:00:763308,3.405975599773228
75,1,2352108.2121141,15:09:00:765303,3.4079791996628046
76,1,2352108.213112,15:09:00:766335,3.4089754996821284
77,1,2352108.2151079,15:09:00:768329,3.4109709998592734
78,1,2352108.2975242,15:09:00:850079,3.493374699726701
79,1,2352108.297886,15:09:00:851107,3.4937497000209987
80,1,2352108.299886,15:09:00:853069,3.4957504998892546
81,1,2352108.3018756,15:09:00:855102,3.4977380000054836
82,1,2352108.3038643,15:09:00:857088,3.4997274996712804
83,1,2352108.3048652,15:09:00:858092,3.5007277000695467
84,1,2352108.3068631,15:09:00:860082,3.5027308999560773
85,1,2352108.3088797,15:09:00:862093,3.504748099949211
86,1,2352108.3108155,15:09:00:864044,3.5066780000925064
87,1,2352108.3118448,15:09:00:865073,3.507707600016147
88,1,2352108.313851,15:09:00:867070,3.509721700102091
89,1,2352108.3976924,15:09:00:950680,3.5935430000536144
90,1,2352108.3994978,15:09:00:952705,3.595365900080651
91,1,2352108.4004822,15:09:00:953708,3.596344799734652
92,1,2352108.4014827,15:09:00:954708,3.597345999907702
93,1,2352108.4034696,15:09:00:956697,3.5993320997804403
94,1,2352108.4045212,15:09:00:957704,3.600383900105953
95,1,2352108.4064782,15:09:00:959691,3.6023520999588072
96,1,2352108.4084568,15:09:00:961684,3.6043193000368774
97,1,2352108.4104627,15:09:00:963687,3.606325199827552
98,1,2352108.4124548,15:09:00:965670,3.608323599677533
99,1,2352108.4134507,15:09:00:966677,3.609314499888569
100,1,2352108.4975319,15:09:01:050415,3.6933825998567045
101,1,2352108.4992205,15:09:01:052408,3.695086299907416
102,1,2352108.5002121,15:09:01:053434,3.696075899992138
103,1,2352108.5012097,15:09:01:054437,3.697072499897331
104,1,2352108.5032042,15:09:01:056432,3.6990670999512076
105,1,2352108.5052001,15:09:01:058392,3.701062799897045
106,1,2352108.5062108,15:09:01:059423,3.7020753999240696
107,1,2352108.5081906,15:09:01:061384,3.704054699745029
108,1,2352108.5091878,15:09:01:062415,3.70505109988153
109,1,2352108.5102196,15:09:01:063440,3.706088100094348
110,1,2352108.5121793,15:09:01:065407,3.7080419999547303
111,1,2352108.5982072,15:09:01:151269,3.7940576998516917
112,1,2352108.5990764,15:09:01:152298,3.7949409000575542
113,1,2352108.6010398,15:09:01:154262,3.796907200012356
114,1,2352108.6020766,15:09:01:155294,3.7979403999634087
115,1,2352108.6040701,15:09:01:157300,3.7999327001161873
116,1,2352108.6060497,15:09:01:159279,3.801912599708885
117,1,2352108.6080515,15:09:01:161242,3.8039147998206317
118,1,2352108.6090415,15:09:01:162271,3.804903999902308
119,1,2352108.6100423,15:09:01:163272,3.8059048000723124
120,1,2352108.6120409,15:09:01:165231,3.80790330003947
121,1,2352108.6130301,15:09:01:166260,3.808892599772662
122,1,2352108.6972931,15:09:01:250007,3.893143800087273
123,1,2352108.697811,15:09:01:251030,3.8936769999563694
124,1,2352108.6988016,15:09:01:252031,3.894664699677378
125,1,2352108.6998088,15:09:01:253038,3.8956717997789383
126,1,2352108.7017993,15:09:01:255028,3.897663099691272
127,1,2352108.7037917,15:09:01:257021,3.8996546999551356
128,1,2352108.704805,15:09:01:258035,3.900668299756944
129,1,2352108.7068058,15:09:01:259981,3.902670099865645
130,1,2352108.7087764,15:09:01:261975,3.9046392999589443
131,1,2352108.7107723,15:09:01:263970,3.9066352997906506
132,1,2352108.7127915,15:09:01:265965,3.9086694996804
133,1,2352108.7983092,15:09:01:350738,3.994159999769181
134,1,2352108.7995486,15:09:01:352773,3.995412699878216
135,1,2352108.8015475,15:09:01:354778,3.9974102997221053
136,1,2352108.803532,15:09:01:356763,3.9994072997942567
137,1,2352108.8055207,15:09:01:358717,4.001384799834341
138,1,2352108.8075133,15:09:01:360712,4.003376899752766
139,1,2352108.8095074,15:09:01:362707,4.005370500031859
140,1,2352108.8115033,15:09:01:364702,4.0073667000979185
141,1,2352108.813496,15:09:01:366696,4.009358999785036
142,1,2352108.8154976,15:09:01:368691,4.011360399890691
143,1,2352108.8174965,15:09:01:370726,4.0133596998639405
144,1,2352108.8977456,15:09:01:450473,4.093596099875867
145,1,2352108.8982728,15:09:01:451503,4.094135799910873
146,1,2352108.9002648,15:09:01:453497,4.096127399709076
147,1,2352108.902268,15:09:01:455458,4.0981318997219205
148,1,2352108.9032599,15:09:01:456491,4.099123399704695
149,1,2352108.9052516,15:09:01:458482,4.10111409984529
150,1,2352108.906251,15:09:01:459484,4.102113400120288
151,1,2352108.9082423,15:09:01:461475,4.104104599915445
152,1,2352108.9102514,15:09:01:463437,4.106113899964839
153,1,2352108.9112339,15:09:01:464466,4.107096699997783
154,1,2352108.9132312,15:09:01:466464,4.109093599952757
155,1,2352108.997575,15:09:01:550207,4.193425599951297
156,1,2352108.9979969,15:09:01:551229,4.193859899882227
157,1,2352108.9990052,15:09:01:552239,4.194868099875748
158,1,2352109.0009931,15:09:01:554227,4.196855700109154
159,1,2352109.0029956,15:09:01:556189,4.198859000112861
160,1,2352109.0049839,15:09:01:558215,4.200846499763429
161,1,2352109.0059856,15:09:01:559217,4.201848200056702
162,1,2352109.0079739,15:09:01:561208,4.203836499713361
163,1,2352109.0090024,15:09:01:562228,4.2048704996705055
164,1,2352109.0109715,15:09:01:564204,4.206834400072694
165,1,2352109.0129674,15:09:01:566194,4.20883179968223
166,1,2352109.0974631,15:09:01:649941,4.293313799891621
167,1,2352109.0987458,15:09:01:651967,4.294609799981117
168,1,2352109.0997368,15:09:01:652972,4.2955992999486625
169,1,2352109.1017331,15:09:01:654968,4.297595699783415
170,1,2352109.1037225,15:09:01:656958,4.299584900029004
171,1,2352109.1057173,15:09:01:658952,4.301579900085926
172,1,2352109.1077113,15:09:01:660944,4.303574599791318
173,1,2352109.1097074,15:09:01:662941,4.305570499971509
174,1,2352109.111697,15:09:01:664932,4.307559399865568
175,1,2352109.1126972,15:09:01:665932,4.308561000041664
176,1,2352109.1146912,15:09:01:667926,4.310554000083357
177,1,2352109.1972864,15:09:01:749676,4.393136899918318
178,1,2352109.1984837,15:09:01:751668,4.394349399954081
179,1,2352109.1994644,15:09:01:752699,4.3953273999504745
180,1,2352109.2014965,15:09:01:754700,4.397359800059348
181,1,2352109.2034532,15:09:01:756655,4.399317099712789
182,1,2352109.2044435,15:09:01:757678,4.400306900031865
183,1,2352109.206454,15:09:01:759679,4.402317099738866
184,1,2352109.2084362,15:09:01:761672,4.404298699926585
185,1,2352109.2094451,15:09:01:762676,4.405307800043374
186,1,2352109.2114366,15:09:01:764666,4.407299799844623
187,1,2352109.2124427,15:09:01:765678,4.408305199816823
188,1,2352109.2975234,15:09:01:850441,4.493373999837786
189,1,2352109.2992036,15:09:01:852437,4.495066799689084
190,1,2352109.3011887,15:09:01:854426,4.497051199898124
191,1,2352109.3032154,15:09:01:856452,4.499078199733049
192,1,2352109.305181,15:09:01:858417,4.501043899916112
193,1,2352109.3061859,15:09:01:859422,4.502048700116575
194,1,2352109.3081698,15:09:01:861407,4.504032199736685
195,1,2352109.309194,15:09:01:862431,4.505056399852037
196,1,2352109.3111917,15:09:01:864409,4.507056199945509
197,1,2352109.3131621,15:09:01:866396,4.509026299696416
198,1,2352109.3141688,15:09:01:867406,4.51003129966557
199,1,2352109.3980336,15:09:01:951150,4.593884199857712
200,1,2352109.3989407,15:09:01:952175,4.594808700028807
201,1,2352109.4009502,15:09:01:954163,4.596813699696213
202,1,2352109.4029161,15:09:01:956154,4.598778800107539
203,1,2352109.4049156,15:09:01:958151,4.600780699867755
204,1,2352109.406906,15:09:01:960144,4.60276859998703
205,1,2352109.4089322,15:09:01:962163,4.604794499929994
206,1,2352109.4109028,15:09:01:964141,4.606771700084209
207,1,2352109.4119233,15:09:01:965154,4.607785899657756
208,1,2352109.4138887,15:09:01:967127,4.609751699957997
209,1,2352109.4158941,15:09:01:969128,4.61175710009411
210,1,2352109.4971527,15:09:02:049875,4.693003399763256
211,1,2352109.4986786,15:09:02:051910,4.6945436000823975
212,1,2352109.5006709,15:09:02:053905,4.696534799877554
213,1,2352109.5026511,15:09:02:055890,4.698513799812645
214,1,2352109.5036515,15:09:02:056890,4.699513900093734
215,1,2352109.5056474,15:09:02:058884,4.701509799808264
216,1,2352109.5076399,15:09:02:060879,4.703502499964088
217,1,2352109.5096322,15:09:02:062872,4.70549469999969
218,1,2352109.5115943,15:09:02:064835,4.707456899806857
219,1,2352109.5126226,15:09:02:065862,4.708485399838537
220,1,2352109.5136282,15:09:02:066867,4.709490699693561
221,1,2352109.5973587,15:09:02:150608,4.793209199793637
222,1,2352109.5994103,15:09:02:152643,4.795274899806827
223,1,2352109.6013877,15:09:02:154627,4.797250600066036
224,1,2352109.6033798,15:09:02:156620,4.799242099747062
225,1,2352109.6053777,15:09:02:158618,4.8012402998283505
226,1,2352109.6073725,15:09:02:160613,4.803234899882227
227,1,2352109.6093731,15:09:02:162614,4.805235899984837
228,1,2352109.6113722,15:09:02:164571,4.807236399967223
229,1,2352109.6123603,15:09:02:165601,4.808222699910402
230,1,2352109.6143529,15:09:02:167593,4.810215499717742
231,1,2352109.6163472,15:09:02:169588,4.812209600117058
232,1,2352109.6972089,15:09:02:250350,4.893059399910271
233,1,2352109.698131,15:09:02:251368,4.893995099700987
234,1,2352109.7001299,15:09:02:253365,4.895993199665099
235,1,2352109.702124,15:09:02:255365,4.897986500058323
236,1,2352109.7041348,15:09:02:257321,4.899998999666423
237,1,2352109.705114,15:09:02:258352,4.900982399936765
238,1,2352109.7071028,15:09:02:260313,4.902965699788183
239,1,2352109.7091098,15:09:02:262342,4.9049780000932515
240,1,2352109.711096,15:09:02:264337,4.906958899926394
241,1,2352109.7130895,15:09:02:266331,4.9089520000852644
242,1,2352109.7150834,15:09:02:268323,4.910945899784565
243,1,2352109.7981282,15:09:02:351252,4.993978699669242
244,1,2352109.7990216,15:09:02:352260,4.99490540008992
245,1,2352109.801004,15:09:02:354243,4.996872599702328
246,1,2352109.8030176,15:09:02:356243,4.99888060009107
247,1,2352109.8050305,15:09:02:358238,5.000893699936569
248,1,2352109.8069864,15:09:02:360229,5.002848899923265
249,1,2352109.8079885,15:09:02:361230,5.003851499874145
250,1,2352109.8100089,15:09:02:363243,5.005876999814063
251,1,2352109.811976,15:09:02:365215,5.007838800083846
252,1,2352109.81397,15:09:02:367212,5.009832699783146
253,1,2352109.815962,15:09:02:369205,5.011824499815702
254,1,2352109.8975245,15:09:02:449960,5.093374999705702
255,1,2352109.8987415,15:09:02:451982,5.094605499878526
256,1,2352109.8997548,15:09:02:452990,5.0956228999421
257,1,2352109.9017307,15:09:02:454974,5.097593300044537
258,1,2352109.9037531,15:09:02:456960,5.099617099855095
259,1,2352109.9047248,15:09:02:457968,5.1005877000279725
260,1,2352109.9057291,15:09:02:458972,5.101592000108212
261,1,2352109.9067455,15:09:02:459980,5.102613599970937
262,1,2352109.9087159,15:09:02:461959,5.104578400030732
