,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,2428326.3221122096,12:19:34:658110,2.909453909238806
1,1,2428326.2722512,12:19:19:662048,2.8594758003018796
2,1,2428326.2736006,12:19:19:664073,2.8608364001847804
3,1,2428326.2755552,12:19:19:666037,2.8627923000603914
4,1,2428326.2777262,12:19:19:668032,2.8650495000183582
5,1,2428326.2785799,12:19:19:669038,2.865825400222093
6,1,2428326.280657,12:19:19:671028,2.867904100101441
7,1,2428326.2826267,12:19:19:673018,2.8699155999347568
8,1,2428326.2845546,12:19:19:675013,2.871805400121957
9,1,2428326.2867384,12:19:19:677174,2.874025700148195
10,1,2428326.2878269,12:19:19:678189,2.875071700196713
11,1,2428326.2897218,12:19:19:680178,2.8769864002242684
12,1,2428326.3132124,12:19:19:703585,2.900436700321734
13,1,2428326.314264,12:19:19:704732,2.901500199921429
14,1,2428326.3161319,12:19:19:706586,2.903372500091791
15,1,2428326.3171617,12:19:19:707611,2.9043988999910653
16,1,2428326.3191609,12:19:19:709591,2.9064135001972318
17,1,2428326.3202431,12:19:19:710592,2.907479800283909
18,1,2428326.3222621,12:19:19:712588,2.909499400295317
19,1,2428326.3231733,12:19:19:713623,2.910410000011325
20,1,2428326.3252555,12:19:19:715749,2.912492400035262
21,1,2428326.3264037,12:19:19:716912,2.9136395999230444
22,1,2428326.3284558,12:19:19:718913,2.9157080999575555
23,1,2428326.3992558,12:19:19:789790,2.9864805000834167
24,1,2428326.4004861,12:19:19:790951,2.9877365003339946
25,1,2428326.401627,12:19:19:792136,2.9888633000664413
26,1,2428326.4036163,12:19:19:794123,2.990852599963546
27,1,2428326.4046145,12:19:19:795124,2.9918504003435373
28,1,2428326.4066089,12:19:19:797118,2.993844900280237
29,1,2428326.408608,12:19:19:799112,2.995846699923277
30,1,2428326.4106171,12:19:19:801110,2.9978596000000834
31,1,2428326.411633,12:19:19:802115,2.9988714000210166
32,1,2428326.4134651,12:19:19:803965,3.0007044998928905
33,1,2428326.4146953,12:19:19:805090,3.00196549994871
34,1,2428326.5016821,12:19:19:892026,3.0889065000228584
35,1,2428326.502773,12:19:19:893236,3.090026000048965
36,1,2428326.5039466,12:19:19:894408,3.0911985002458096
37,1,2428326.5049095,12:19:19:895420,3.092145500238985
38,1,2428326.5068592,12:19:19:897357,3.094123000279069
39,1,2428326.5087465,12:19:19:899223,3.0959948003292084
40,1,2428326.5099259,12:19:19:900387,3.0971790002658963
41,1,2428326.5118896,12:19:19:902397,3.0991259003058076
42,1,2428326.513826,12:19:19:904302,3.1010762001387775
43,1,2428326.5149466,12:19:19:905377,3.1022017002105713
44,1,2428326.5168856,12:19:19:907363,3.104127500206232
45,1,2428326.6025339,12:19:19:992201,3.1897583003155887
46,1,2428326.6039383,12:19:19:994419,3.191185399889946
47,1,2428326.6050668,12:19:19:995579,3.192302600014955
48,1,2428326.6070899,12:19:19:997578,3.1943291001953185
49,1,2428326.6080848,12:19:19:998595,3.1953215999528766
50,1,2428326.610084,12:19:20:000588,3.1973240999504924
51,1,2428326.6120784,12:19:20:002584,3.1993174999952316
52,1,2428326.6139881,12:19:20:004455,3.2012330000288785
53,1,2428326.6159772,12:19:20:006415,3.20323590002954
54,1,2428326.6180941,12:19:20:008556,3.20534719992429
55,1,2428326.6200265,12:19:20:010538,3.2072625001892447
56,1,2428326.7021549,12:19:20:092518,3.289379300083965
57,1,2428326.7031526,12:19:20:093553,3.290405800100416
58,1,2428326.705228,12:19:20:095733,3.292465700302273
59,1,2428326.7064467,12:19:20:096911,3.2936991001479328
60,1,2428326.7083214,12:19:20:098780,3.295575500000268
61,1,2428326.7094295,12:19:20:099893,3.2966817002743483
62,1,2428326.7103879,12:19:20:100901,3.2976243002340198
63,1,2428326.7124065,12:19:20:102897,3.2996434001252055
64,1,2428326.7143482,12:19:20:104832,3.3016109000891447
65,1,2428326.7163744,12:19:20:106867,3.3036195002496243
66,1,2428326.7183764,12:19:20:108869,3.3056193999946117
67,1,2428326.8034258,12:19:20:193759,3.3906502001918852
68,1,2428326.8043797,12:19:20:194850,3.391632799990475
69,1,2428326.8055153,12:19:20:196025,3.392752999905497
70,1,2428326.8075676,12:19:20:198032,3.394820600282401
71,1,2428326.8095402,12:19:20:200009,3.396792800165713
72,1,2428326.8115651,12:19:20:202012,3.3988149003125727
73,1,2428326.8134951,12:19:20:204009,3.40073150023818
74,1,2428326.8153472,12:19:20:205824,3.4025981002487242
75,1,2428326.8165283,12:19:20:206993,3.4037808999419212
76,1,2428326.8175521,12:19:20:207995,3.4048043000511825
77,1,2428326.8194584,12:19:20:209973,3.406694300007075
78,1,2428326.9028427,12:19:20:293173,3.49006720026955
79,1,2428326.9038896,12:19:20:294392,3.4911301000975072
80,1,2428326.9050484,12:19:20:295565,3.492284200154245
81,1,2428326.9070738,12:19:20:297570,3.4943178999237716
82,1,2428326.9089289,12:19:20:299431,3.4961704001761973
83,1,2428326.9100624,12:19:20:300562,3.4973055999726057
84,1,2428326.9120421,12:19:20:302557,3.499278500210494
85,1,2428326.9140681,12:19:20:304547,3.5013395003043115
86,1,2428326.9160365,12:19:20:306524,3.5032839002087712
87,1,2428326.9180161,12:19:20:308523,3.5052543003112078
88,1,2428326.9191074,12:19:20:309551,3.5063618002459407
89,1,2428327.0024332,12:19:20:392558,3.5896577001549304
90,1,2428327.0030682,12:19:20:393571,3.5903175002895296
91,1,2428327.005179,12:19:20:395694,3.5924169002100825
92,1,2428327.0063159,12:19:20:396831,3.5935527998954058
93,1,2428327.0083092,12:19:20:398825,3.5955461002886295
94,1,2428327.0101658,12:19:20:400683,3.5974020999856293
95,1,2428327.0113079,12:19:20:401825,3.5985441002994776
96,1,2428327.0123134,12:19:20:402825,3.5995491999201477
97,1,2428327.0133977,12:19:20:403844,3.600649300031364
98,1,2428327.0152283,12:19:20:405670,3.602485000155866
99,1,2428327.0164532,12:19:20:406835,3.60373459989205
100,1,2428327.1020245,12:19:20:492369,3.6892488999292254
101,1,2428327.1030099,12:19:20:493414,3.6902620000764728
102,1,2428327.1040624,12:19:20:494580,3.6912988000549376
103,1,2428327.1053113,12:19:20:495758,3.6925638001412153
104,1,2428327.1072823,12:19:20:497756,3.6945349001325667
105,1,2428327.1091478,12:19:20:499620,3.6964008999057114
106,1,2428327.1110928,12:19:20:501565,3.698345399927348
107,1,2428327.1122674,12:19:20:502736,3.6995194000191987
108,1,2428327.1140841,12:19:20:504556,3.7013369002379477
109,1,2428327.1162479,12:19:20:506717,3.70350020006299
110,1,2428327.1182105,12:19:20:508707,3.7054465003311634
111,1,2428327.2032567,12:19:20:593503,3.7904882999137044
112,1,2428327.2050269,12:19:20:595525,3.792264200281352
113,1,2428327.2060929,12:19:20:596612,3.7933292002417147
114,1,2428327.2072374,12:19:20:597757,3.7944736001081765
115,1,2428327.2092309,12:19:20:599751,3.796467199921608
116,1,2428327.21123,12:19:20:601750,3.798466400243342
117,1,2428327.2132333,12:19:20:603754,3.8004692001268268
118,1,2428327.2142342,12:19:20:604755,3.8014702000655234
119,1,2428327.2161265,12:19:20:606645,3.8033636999316514
120,1,2428327.2172255,12:19:20:607746,3.804461299907416
121,1,2428327.2182269,12:19:20:608748,3.805462600197643
122,1,2428327.3023202,12:19:20:692012,3.8895447002723813
123,1,2428327.3024839,12:19:20:693012,3.8897176003083587
124,1,2428327.3035354,12:19:20:694057,3.8907713000662625
125,1,2428327.3055302,12:19:20:696052,3.892766000237316
126,1,2428327.3075587,12:19:20:698045,3.8947974001057446
127,1,2428327.3095251,12:19:20:700044,3.896761900279671
128,1,2428327.3116433,12:19:20:702161,3.898881200235337
129,1,2428327.312669,12:19:20:703168,3.8999049002304673
130,1,2428327.3146245,12:19:20:705143,3.9018610999919474
131,1,2428327.3166122,12:19:20:707135,3.9038480003364384
132,1,2428327.3176361,12:19:20:708141,3.904878899920732
133,1,2428327.4035286,12:19:20:793864,3.990753000136465
134,1,2428327.4046011,12:19:20:795078,3.991853700019419
135,1,2428327.4057726,12:19:20:796247,3.9930249000899494
136,1,2428327.4077741,12:19:20:798250,3.9950263001956046
137,1,2428327.4097603,12:19:20:800247,3.997012000065297
138,1,2428327.4117122,12:19:20:802233,3.9989491999149323
139,1,2428327.4137512,12:19:20:804234,4.001000199932605
140,1,2428327.4155721,12:19:20:806052,4.002824800089002
141,1,2428327.4167418,12:19:20:807215,4.003994400147349
142,1,2428327.4177647,12:19:20:808215,4.005017200019211
143,1,2428327.4196768,12:19:20:810200,4.006913000252098
144,1,2428327.5026662,12:19:20:893025,4.089890600182116
145,1,2428327.50377,12:19:20:894248,4.091021600179374
146,1,2428327.5049439,12:19:20:895420,4.092196200042963
147,1,2428327.5069069,12:19:20:897356,4.094158899970353
148,1,2428327.507946,12:19:20:898397,4.095208500046283
149,1,2428327.5089221,12:19:20:899420,4.09616809990257
150,1,2428327.5107846,12:19:20:901287,4.098024300299585
151,1,2428327.5118945,12:19:20:902411,4.099133200012147
152,1,2428327.5137064,12:19:20:904225,4.1009450000710785
153,1,2428327.5148595,12:19:20:905384,4.102096000220627
154,1,2428327.5159165,12:19:20:906388,4.103171499911696
155,1,2428327.6021489,12:19:20:992510,4.189373299945146
156,1,2428327.6030678,12:19:20:993564,4.190314800012857
157,1,2428327.6042112,12:19:20:994737,4.191447400022298
158,1,2428327.6062003,12:19:20:996722,4.193437600042671
159,1,2428327.60821,12:19:20:998720,4.195451499894261
160,1,2428327.6102016,12:19:21:000712,4.1974440002813935
161,1,2428327.6111975,12:19:21:001724,4.198433300014585
162,1,2428327.6132154,12:19:21:003716,4.200454399921
163,1,2428327.6150209,12:19:21:005546,4.202256900258362
164,1,2428327.616176,12:19:21:006691,4.203421200159937
165,1,2428327.618012,12:19:21:008526,4.205251600127667
166,1,2428327.702132,12:19:21:092490,4.289356400258839
167,1,2428327.703047,12:19:21:093490,4.290298200212419
168,1,2428327.7041792,12:19:21:094696,4.291415700223297
169,1,2428327.7053706,12:19:21:095897,4.292607900220901
170,1,2428327.7065686,12:19:21:097066,4.293816199991852
171,1,2428327.7085374,12:19:21:098923,4.2958089001476765
172,1,2428327.7104569,12:19:21:100933,4.297712900210172
173,1,2428327.7123943,12:19:21:102918,4.299632099922746
174,1,2428327.7143494,12:19:21:104876,4.301586300134659
175,1,2428327.7153858,12:19:21:105912,4.302622700110078
176,1,2428327.7173959,12:19:21:107912,4.304632900282741
177,1,2428327.8026502,12:19:21:192322,4.389874600339681
178,1,2428327.8038438,12:19:21:194316,4.391081900335848
179,1,2428327.8058573,12:19:21:196342,4.3930939002893865
180,1,2428327.8078357,12:19:21:198305,4.395085100084543
181,1,2428327.809839,12:19:21:200312,4.397077600006014
182,1,2428327.8120046,12:19:21:202507,4.399252099916339
183,1,2428327.81317,12:19:21:203671,4.400416700169444
184,1,2428327.8150217,12:19:21:205506,4.40228349994868
185,1,2428327.816069,12:19:21:206550,4.403323899954557
186,1,2428327.8171848,12:19:21:207665,4.4044369999319315
187,1,2428327.8191314,12:19:21:209660,4.406367300078273
188,1,2428327.902129,12:19:21:291894,4.4893534001894295
189,1,2428327.9035862,12:19:21:294056,4.490833499934524
190,1,2428327.9047348,12:19:21:295217,4.491971100214869
191,1,2428327.9067283,12:19:21:297251,4.493967300280929
192,1,2428327.9079512,12:19:21:298438,4.49520910019055
193,1,2428327.9099303,12:19:21:300412,4.4971827999688685
194,1,2428327.9118921,12:19:21:302420,4.499128800351173
195,1,2428327.9138262,12:19:21:304310,4.501084899995476
196,1,2428327.914866,12:19:21:305392,4.50210290029645
197,1,2428327.9158787,12:19:21:306392,4.503121000248939
198,1,2428327.9178929,12:19:21:308396,4.505138200242072
199,1,2428328.0022018,12:19:21:392338,4.589426300022751
200,1,2428328.0039835,12:19:21:394465,4.591235500294715
201,1,2428328.0059605,12:19:21:396442,4.5932129002176225
202,1,2428328.0069919,12:19:21:397454,4.594243099913001
203,1,2428328.0089014,12:19:21:399433,4.596137600019574
204,1,2428328.0099514,12:19:21:400440,4.597199900075793
205,1,2428328.0119118,12:19:21:402441,4.59914859989658
206,1,2428328.0139129,12:19:21:404420,4.601156000047922
207,1,2428328.0159806,12:19:21:406423,4.6032716003246605
208,1,2428328.0179566,12:19:21:408415,4.605208199936897
209,1,2428328.0199197,12:19:21:410403,4.607171900104731
210,1,2428328.1016014,12:19:21:491962,4.688825800083578
211,1,2428328.102698,12:19:21:493179,4.689974000211805
212,1,2428328.1038658,12:19:21:494348,4.691118400078267
213,1,2428328.1048715,12:19:21:495361,4.692128600087017
214,1,2428328.106813,12:19:21:497345,4.69404900027439
215,1,2428328.1089272,12:19:21:499317,4.696206700056791
216,1,2428328.1107536,12:19:21:501215,4.69803459988907
