,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1378016.5949863666,15:03:43:424861,0.7784215666508771
1,1,1378016.5893409,15:03:28:428842,0.7726541000884026
2,1,1378016.5905073,15:03:28:430886,0.7738334001041949
3,1,1378016.5925394,15:03:28:432882,0.7758794999681413
4,1,1378016.593653,15:03:28:434004,0.7769810000900179
5,1,1378016.5956287,15:03:28:435999,0.7789576998911798
6,1,1378016.5966169,15:03:28:437000,0.7799412999302149
7,1,1378016.5985733,15:03:28:438950,0.7819024999625981
8,1,1378016.5996232,15:03:28:439991,0.7829527000430971
9,1,1378016.6014849,15:03:28:441848,0.784815999912098
10,1,1378016.6035571,15:03:28:443854,0.7868908999953419
11,1,1378016.6054491,15:03:28:445797,0.788781899958849
12,1,1378016.6266627,15:03:28:466892,0.8099758001044393
13,1,1378016.6277381,15:03:28:468053,0.8110795998945832
14,1,1378016.6296697,15:03:28:470053,0.8129944000393152
15,1,1378016.6315604,15:03:28:471881,0.8149029000196606
16,1,1378016.6327138,15:03:28:473048,0.8160554999485612
17,1,1378016.6337559,15:03:28:474059,0.8170974000822753
18,1,1378016.6356933,15:03:28:475874,0.8190391999669373
19,1,1378016.6365614,15:03:28:476897,0.8199082999490201
20,1,1378016.6386969,15:03:28:479032,0.8220383999869227
21,1,1378016.6397007,15:03:28:480035,0.82304219994694
22,1,1378016.6416341,15:03:28:482017,0.8249582999851555
23,1,1378016.7149843,15:03:28:555190,0.8982975000981241
24,1,1378016.7160615,15:03:28:556373,0.8994022000115365
25,1,1378016.717822,15:03:28:558186,0.9011498999316245
26,1,1378016.7200159,15:03:28:560350,0.9033570000901818
27,1,1378016.7220165,15:03:28:562350,0.9053595999721438
28,1,1378016.7239996,15:03:28:564359,0.907324600033462
29,1,1378016.7258689,15:03:28:566240,0.9092113000806421
30,1,1378016.726978,15:03:28:567336,0.9103111000731587
31,1,1378016.7289743,15:03:28:569319,0.9123007000889629
32,1,1378016.7309319,15:03:28:571313,0.9142569999676198
33,1,1378016.7319801,15:03:28:572315,0.9153217999264598
34,1,1378016.8221393,15:03:28:661834,1.0054524999577552
35,1,1378016.8236238,15:03:28:663944,1.0069530999753624
36,1,1378016.8247681,15:03:28:665152,1.0080925000365824
37,1,1378016.8258535,15:03:28:666204,1.0091866001021117
38,1,1378016.8269539,15:03:28:667330,1.0102818999439478
