,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1377094.9805272,14:48:21:810989,2.8615047998260934
1,1,1377094.9787794,14:48:06:814974,2.8596469999756664
2,1,1377094.9801616,14:48:06:816968,2.8610407998785377
3,1,1377094.982155,14:48:06:818963,2.8630452998913825
4,1,1377094.984254,14:48:06:820976,2.8651415000203997
5,1,1377094.9852892,14:48:06:822110,2.8661620998755097
6,1,1377094.9863401,14:48:06:823117,2.8672511000186205
7,1,1377094.9883161,14:48:06:825110,2.8692228000145406
8,1,1377094.9902921,14:48:06:827113,2.8711707999464124
9,1,1377094.9923148,14:48:06:829099,2.873222499853
10,1,1377094.9943018,14:48:06:831094,2.875206300057471
11,1,1377094.9962979,14:48:06:833089,2.8772048000246286
12,1,1377095.0190192,14:48:06:855692,2.8998865999747068
13,1,1377095.0200414,14:48:06:856842,2.900918500032276
14,1,1377095.0218611,14:48:06:858687,2.902742200065404
15,1,1377095.0230151,14:48:06:859840,2.9038869999349117
16,1,1377095.0240639,14:48:06:860850,2.9049704000353813
17,1,1377095.0251726,14:48:06:862015,2.9060515998862684
18,1,1377095.0261791,14:48:06:863022,2.907057899981737
19,1,1377095.0281525,14:48:06:864995,2.9090313999913633
20,1,1377095.0291928,14:48:06:866000,2.910078299930319
21,1,1377095.0311642,14:48:06:867987,2.912050300044939
22,1,1377095.0330738,14:48:06:869853,2.9139671998564154
23,1,1377095.115275,14:48:06:951371,2.9961426998488605
24,1,1377095.115533,14:48:06:952379,2.9964218998793513
25,1,1377095.1167454,14:48:06:953538,2.99764069984667
26,1,1377095.1177014,14:48:06:954544,2.9985807999037206
27,1,1377095.1196925,14:48:06:956534,3.000571900047362
28,1,1377095.1206935,14:48:06:957536,3.001572599867359
29,1,1377095.122743,14:48:06:959534,3.0036301999352872
30,1,1377095.1247206,14:48:06:961525,3.005612500011921
31,1,1377095.1267179,14:48:06:963498,3.0076152998954058
32,1,1377095.1277079,14:48:06:964507,3.0085998999420553
33,1,1377095.1286708,14:48:06:965514,3.009549899958074
34,1,1377095.2181028,14:48:07:054776,3.098970300052315
35,1,1377095.2191538,14:48:07:055946,3.1000481999944896
36,1,1377095.220984,14:48:07:057821,3.1018644999712706
37,1,1377095.222249,14:48:07:059012,3.103144400054589
38,1,1377095.2242288,14:48:07:061027,3.105124199995771
39,1,1377095.2253675,14:48:07:062204,3.1062481000553817
40,1,1377095.2273992,14:48:07:064197,3.1082945000380278
41,1,1377095.2283588,14:48:07:065201,3.109237799886614
42,1,1377095.2303563,14:48:07:067195,3.111237599980086
43,1,1377095.2322187,14:48:07:069010,3.113118699984625
44,1,1377095.2342087,14:48:07:071004,3.1151037998497486
45,1,1377095.3191695,14:48:07:155834,3.2000370000023395
46,1,1377095.3200925,14:48:07:156887,3.200987899908796
47,1,1377095.3211634,14:48:07:158006,3.2020425000227988
48,1,1377095.3222059,14:48:07:159007,3.2030976000241935
49,1,1377095.3241672,14:48:07:160998,3.2050497999880463
50,1,1377095.3261953,14:48:07:163000,3.2070863000117242
51,1,1377095.3281494,14:48:07:164990,3.209028699900955
52,1,1377095.3301444,14:48:07:166986,3.2110234000720084
53,1,1377095.3320413,14:48:07:168838,3.2129305000416934
54,1,1377095.3332666,14:48:07:169968,3.2141650000121444
55,1,1377095.3351586,14:48:07:171955,3.216055099852383
56,1,1377095.4187336,14:48:07:254723,3.2996010999195278
57,1,1377095.4199085,14:48:07:256717,3.300788599997759
58,1,1377095.4219218,14:48:07:258760,3.3028016998432577
59,1,1377095.4239176,14:48:07:260759,3.304796499898657
60,1,1377095.425909,14:48:07:262751,3.3067878000438213
61,1,1377095.4278897,14:48:07:264732,3.308768699876964
62,1,1377095.4298848,14:48:07:266727,3.3107636000495404
63,1,1377095.4318563,14:48:07:268689,3.3127353999298066
64,1,1377095.4328721,14:48:07:269715,3.313750899862498
65,1,1377095.4348646,14:48:07:271707,3.3157434000167996
66,1,1377095.436883,14:48:07:273720,3.3177624999079853
67,1,1377095.518495,14:48:07:355154,3.399362599942833
68,1,1377095.5195286,14:48:07:356323,3.4004240999929607
69,1,1377095.5205008,14:48:07:357325,3.401383599964902
70,1,1377095.5214847,14:48:07:358327,3.4023643999826163
71,1,1377095.5224849,14:48:07:359329,3.4033637999091297
72,1,1377095.5244201,14:48:07:361217,3.4053036998957396
73,1,1377095.5254812,14:48:07:362308,3.406365100061521
74,1,1377095.5264826,14:48:07:363313,3.407367199892178
75,1,1377095.527486,14:48:07:364317,3.4083698999602348
76,1,1377095.5294793,14:48:07:366311,3.4103620999958366
77,1,1377095.5314822,14:48:07:368290,3.412369800033048
78,1,1377095.6188279,14:48:07:455380,3.4996954000089318
79,1,1377095.6198534,14:48:07:456547,3.5007482999935746
80,1,1377095.6217563,14:48:07:458600,3.5026356999296695
81,1,1377095.6228896,14:48:07:459657,3.503783999942243
82,1,1377095.6239789,14:48:07:460774,3.504873599857092
83,1,1377095.6249503,14:48:07:461778,3.505834300071001
84,1,1377095.6267583,14:48:07:463591,3.507650600047782
85,1,1377095.6280019,14:48:07:464758,3.50890320003964
86,1,1377095.6299255,14:48:07:466769,3.510804599849507
87,1,1377095.6317562,14:48:07:468577,3.5126461999025196
88,1,1377095.6329527,14:48:07:469745,3.5138501999899745
89,1,1377095.7188934,14:48:07:555521,3.5997609000187367
90,1,1377095.7200093,14:48:07:556636,3.600913899950683
91,1,1377095.7218976,14:48:07:558730,3.6027798999566585
92,1,1377095.7231005,14:48:07:559896,3.6039960000198334
93,1,1377095.7251209,14:48:07:561918,3.606015000026673
94,1,1377095.7268812,14:48:07:563719,3.6077622999437153
95,1,1377095.727944,14:48:07:564755,3.6088366999756545
96,1,1377095.7290872,14:48:07:565882,3.6099819999653846
97,1,1377095.7309758,14:48:07:567779,3.611870399909094
98,1,1377095.7330608,14:48:07:569870,3.6139523000456393
99,1,1377095.7340752,14:48:07:570872,3.6149621000513434
100,1,1377095.8197423,14:48:07:656420,3.700609900057316
101,1,1377095.820801,14:48:07:657596,3.7016956999432296
102,1,1377095.8227413,14:48:07:659587,3.7036206000484526
103,1,1377095.8247941,14:48:07:661593,3.7056873000692576
104,1,1377095.8266734,14:48:07:663496,3.7075745000038296
105,1,1377095.8277733,14:48:07:664572,3.70866660005413
106,1,1377095.8287332,14:48:07:665577,3.7096132999286056
107,1,1377095.8306012,14:48:07:667445,3.711481099948287
108,1,1377095.8327635,14:48:07:669558,3.713657299987972
109,1,1377095.8345891,14:48:07:671431,3.71546890004538
110,1,1377095.8357499,14:48:07:672545,3.716644899919629
111,1,1377095.9191606,14:48:07:755296,3.800028200028464
112,1,1377095.9196451,14:48:07:756466,3.800533599918708
113,1,1377095.9206275,14:48:07:757474,3.8015063998755068
114,1,1377095.9216423,14:48:07:758489,3.8025209999177605
115,1,1377095.9236294,14:48:07:760463,3.804514299845323
116,1,1377095.9256273,14:48:07:762474,3.806506099877879
117,1,1377095.927617,14:48:07:764461,3.808495899895206
118,1,1377095.9296243,14:48:07:766452,3.810503700049594
119,1,1377095.931433,14:48:07:768264,3.8123272999655455
120,1,1377095.9324562,14:48:07:769301,3.8133354999590665
121,1,1377095.9336378,14:48:07:770434,3.8145330999977887
