,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,1377504.2444023,14:55:11:078055,2.8615998999681302
1,1,1377504.2443584,14:54:56:082039,2.86145449988544
2,1,1377504.2456564,14:54:56:084084,2.8627657999750227
3,1,1377504.2476552,14:54:56:086061,2.864778700051829
4,1,1377504.2496704,14:54:56:088025,2.8668052998837084
5,1,1377504.2516235,14:54:56:090019,2.8687597999814898
6,1,1377504.253726,14:54:56:092018,2.870842600008473
7,1,1377504.2556404,14:54:56:094011,2.8727824999950826
8,1,1377504.2568105,14:54:56:095182,2.8739328999072313
9,1,1377504.2587715,14:54:56:097161,2.87589480006136
10,1,1377504.2597766,14:54:56:098169,2.876899299910292
11,1,1377504.2607807,14:54:56:099199,2.8778923000209033
12,1,1377504.2810504,14:54:56:119254,2.8981462998781353
13,1,1377504.2820229,14:54:56:120382,2.89913919987157
14,1,1377504.2840253,14:54:56:122232,2.901143099879846
15,1,1377504.2848746,14:54:56:123242,2.901992900064215
16,1,1377504.2868467,14:54:56:125213,2.9039614000357687
17,1,1377504.2879441,14:54:56:126214,2.90505150007084
18,1,1377504.2899393,14:54:56:128221,2.907046699896455
19,1,1377504.2919443,14:54:56:130240,2.909052100032568
20,1,1377504.29308,14:54:56:131415,2.910203899955377
21,1,1377504.2949894,14:54:56:133375,2.912096899934113
22,1,1377504.297049,14:54:56:135373,2.914168099872768
23,1,1377504.3728923,14:54:56:211165,2.9899881999008358
24,1,1377504.3740054,14:54:56:212335,2.991128500085324
25,1,1377504.3759049,14:54:56:214343,2.9930126999970526
26,1,1377504.3779436,14:54:56:216335,2.9950671000406146
27,1,1377504.3799105,14:54:56:218314,2.997028100071475
28,1,1377504.3809238,14:54:56:219314,2.998048299923539
29,1,1377504.3818989,14:54:56:220325,2.9990095000248402
30,1,1377504.3837947,14:54:56:222163,3.000951800029725
31,1,1377504.384914,14:54:56:223304,3.002038599923253
32,1,1377504.3868504,14:54:56:225289,3.003958199871704
33,1,1377504.3889093,14:54:56:227299,3.0060336999595165
34,1,1377504.4716265,14:54:56:309921,3.0887225000187755
35,1,1377504.4726625,14:54:56:311095,3.0897713000886142
36,1,1377504.4736575,14:54:56:312097,3.0907646000850946
37,1,1377504.4756755,14:54:56:314094,3.092784099979326
38,1,1377504.4776625,14:54:56:316096,3.094771899981424
39,1,1377504.479647,14:54:56:318087,3.096754099940881
40,1,1377504.4816402,14:54:56:320078,3.0987475998699665
41,1,1377504.4834876,14:54:56:321918,3.100594900082797
42,1,1377504.4846712,14:54:56:323062,3.101794800022617
43,1,1377504.4866103,14:54:56:325050,3.1037175999954343
44,1,1377504.4886763,14:54:56:327066,3.1057998000178486
45,1,1377504.5717629,14:54:56:410068,3.1888588001020253
46,1,1377504.5728558,14:54:56:411246,3.1899798000231385
47,1,1377504.5738273,14:54:56:412251,3.190939199877903
48,1,1377504.5758363,14:54:56:414244,3.1929458000231534
49,1,1377504.5777801,14:54:56:416218,3.1948877000249922
50,1,1377504.5798189,14:54:56:418237,3.196938300039619
51,1,1377504.5817832,14:54:56:420223,3.198890799889341
52,1,1377504.583718,14:54:56:422096,3.20084649999626
53,1,1377504.5848114,14:54:56:423203,3.2019346999004483
54,1,1377504.5867507,14:54:56:425191,3.203858699882403
55,1,1377504.5888031,14:54:56:427193,3.205926900031045
56,1,1377504.6715572,14:54:56:509750,3.2886534000281245
57,1,1377504.6724727,14:54:56:510910,3.289581499993801
58,1,1377504.673616,14:54:56:512053,3.2907243999652565
59,1,1377504.6756105,14:54:56:514050,3.2927184998989105
60,1,1377504.6766128,14:54:56:515052,3.2937205999623984
61,1,1377504.6786039,14:54:56:517043,3.295711699873209
62,1,1377504.6806127,14:54:56:519054,3.297719999914989
63,1,1377504.6826049,14:54:56:521045,3.2997224999126047
64,1,1377504.6846518,14:54:56:523049,3.301772400038317
65,1,1377504.686596,14:54:56:525037,3.3037032999563962
66,1,1377504.6885905,14:54:56:527031,3.3056981000117958
67,1,1377504.7722026,14:54:56:610452,3.3892987000290304
68,1,1377504.773226,14:54:56:611618,3.3903496998827904
69,1,1377504.7741795,14:54:56:612620,3.391287100035697
70,1,1377504.7761899,14:54:56:614572,3.393309999955818
71,1,1377504.7782135,14:54:56:616605,3.395336899906397
72,1,1377504.7791726,14:54:56:617609,3.3962816998828202
73,1,1377504.7811858,14:54:56:619614,3.3982967000920326
74,1,1377504.7830642,14:54:56:621425,3.400195899885148
75,1,1377504.7840582,14:54:56:622457,3.40118100005202
76,1,1377504.7851971,14:54:56:623587,3.4023211000021547
77,1,1377504.7862218,14:54:56:624612,3.403345299884677
78,1,1377504.8720469,14:54:56:710324,3.489142900099978
79,1,1377504.8730989,14:54:56:711490,3.490221800049767
80,1,1377504.874052,14:54:56:712493,3.4911646000109613
81,1,1377504.8750573,14:54:56:713498,3.4921645999420434
82,1,1377504.8770585,14:54:56:715490,3.4941686999518424
83,1,1377504.8789114,14:54:56:717307,3.496034299954772
84,1,1377504.8800404,14:54:56:718481,3.4971477000508457
85,1,1377504.8820859,14:54:56:720478,3.4992092000320554
86,1,1377504.8839881,14:54:56:722343,3.501143400091678
87,1,1377504.8858967,14:54:56:724289,3.503020399948582
88,1,1377504.8870641,14:54:56:725454,3.504189800005406
89,1,1377504.9718469,14:54:56:810099,3.5889429000671953
90,1,1377504.9728774,14:54:56:811270,3.5900012000929564
91,1,1377504.9738288,14:54:56:812270,3.590936499880627
92,1,1377504.9758663,14:54:56:814260,3.5929892000276595
93,1,1377504.9769342,14:54:56:815264,3.5940580000169575
94,1,1377504.9786767,14:54:56:817112,3.5957855999004096
95,1,1377504.9798774,14:54:56:818270,3.5970016000792384
96,1,1377504.9818234,14:54:56:820201,3.598939999938011
97,1,1377504.9828231,14:54:56:821238,3.599936499958858
98,1,1377504.9848451,14:54:56:823238,3.6019691999536008
99,1,1377504.9867809,14:54:56:825223,3.6038883000146598
100,1,1377505.0720675,14:54:56:910288,3.6891634999774396
101,1,1377505.0730618,14:54:56:911455,3.6901857999619097
102,1,1377505.0740143,14:54:56:912456,3.6911219998728484
103,1,1377505.0750231,14:54:56:913465,3.692130299983546
104,1,1377505.0770515,14:54:56:915457,3.6941700000315905
105,1,1377505.0788483,14:54:56:917271,3.6959605999290943
106,1,1377505.081043,14:54:56:919434,3.698166999965906
107,1,1377505.082052,14:54:56:920445,3.699175500078127
108,1,1377505.0839346,14:54:56:922295,3.7010709000751376
109,1,1377505.0850769,14:54:56:923429,3.7022228999994695
110,1,1377505.086041,14:54:56:924434,3.7031648999545723
111,1,1377505.1714948,14:54:57:009801,3.7885908000171185
112,1,1377505.1725057,14:54:57:010945,3.7896137998905033
113,1,1377505.174498,14:54:57:012939,3.791605999926105
114,1,1377505.1765661,14:54:57:014960,3.7936895000748336
115,1,1377505.1775264,14:54:57:015969,3.7946335999295115
116,1,1377505.1793922,14:54:57:017782,3.7965019000694156
117,1,1377505.1805305,14:54:57:018954,3.7976378998719156
118,1,1377505.1825602,14:54:57:020952,3.799691000021994
119,1,1377505.1845473,14:54:57:022941,3.8016721999738365
120,1,1377505.186483,14:54:57:024925,3.803590399911627
121,1,1377505.1884771,14:54:57:026918,3.8055851000826806
122,1,1377505.2717393,14:54:57:110114,3.888835299992934
123,1,1377505.272764,14:54:57:111139,3.8898763000033796
124,1,1377505.2737395,14:54:57:112140,3.89084680005908
125,1,1377505.2757183,14:54:57:114131,3.892825699876994
126,1,1377505.2767348,14:54:57:115168,3.8938426000531763
127,1,1377505.2777333,14:54:57:116168,3.8948409999720752
128,1,1377505.2787612,14:54:57:117170,3.8958691998850554
129,1,1377505.2797544,14:54:57:118195,3.89686209987849
130,1,1377505.2817507,14:54:57:120192,3.8988584000617266
131,1,1377505.282753,14:54:57:121193,3.899873899994418
132,1,1377505.2847402,14:54:57:123179,3.901849400019273
133,1,1377505.3725195,14:54:57:210802,3.989615600090474
134,1,1377505.3735365,14:54:57:211978,3.990644400008023
135,1,1377505.3746795,14:54:57:213121,3.9917870999779552
136,1,1377505.37569,14:54:57:214133,3.9927973998710513
137,1,1377505.3776886,14:54:57:216132,3.9947961000725627
138,1,1377505.3797275,14:54:57:218125,3.9968508000019938
139,1,1377505.380704,14:54:57:219147,3.997811600100249
140,1,1377505.382542,14:54:57:220956,3.9996517999097705
141,1,1377505.3836341,14:54:57:222002,4.000773099949583
142,1,1377505.3847234,14:54:57:223117,4.001846499973908
143,1,1377505.3866624,14:54:57:225105,4.003769699949771
144,1,1377505.4721394,14:54:57:310437,4.08923549996689
145,1,1377505.4732097,14:54:57:311603,4.090332699939609
146,1,1377505.4751651,14:54:57:313608,4.092273100046441
147,1,1377505.477162,14:54:57:315598,4.094271299894899
148,1,1377505.478206,14:54:57:316600,4.095329999923706
149,1,1377505.47916,14:54:57:317601,4.0962682999670506
150,1,1377505.4811076,14:54:57:319546,4.098215899895877
151,1,1377505.4823699,14:54:57:320766,4.099493100075051
152,1,1377505.4834113,14:54:57:321791,4.100542699918151
153,1,1377505.4845408,14:54:57:322935,4.101663900073618
154,1,1377505.4864776,14:54:57:324921,4.103584900032729
155,1,1377505.5716574,14:54:57:409947,4.188753499882296
156,1,1377505.572741,14:54:57:411115,4.189864800078794
157,1,1377505.5736873,14:54:57:412121,4.1907981999684125
158,1,1377505.5756783,14:54:57:414114,4.192788099870086
159,1,1377505.5777055,14:54:57:416116,4.194821999873966
160,1,1377505.5796482,14:54:57:418089,4.1967561999335885
161,1,1377505.5806571,14:54:57:419101,4.197764500044286
162,1,1377505.582545,14:54:57:420920,4.199686199892312
163,1,1377505.5835772,14:54:57:421951,4.200710899895057
164,1,1377505.5846904,14:54:57:423084,4.201814299914986
165,1,1377505.586657,14:54:57:425070,4.20376450009644
166,1,1377505.6717086,14:54:57:509888,4.288804699899629
167,1,1377505.6734804,14:54:57:511883,4.29058920009993
168,1,1377505.6744873,14:54:57:512925,4.291595299961045
169,1,1377505.6756323,14:54:57:514075,4.292740700067952
170,1,1377505.6767878,14:54:57:515215,4.2938961000181735
171,1,1377505.6786257,14:54:57:517069,4.295733599923551
172,1,1377505.6797671,14:54:57:518210,4.296874899882823
173,1,1377505.681762,14:54:57:520204,4.298871899954975
174,1,1377505.6836483,14:54:57:522091,4.300756300101057
175,1,1377505.6847678,14:54:57:523212,4.301874999888241
176,1,1377505.6866036,14:54:57:525048,4.303710900014266
177,1,1377505.7748223,14:54:57:613117,4.391918400069699
178,1,1377505.7758292,14:54:57:614272,4.3929373999126256
179,1,1377505.7768283,14:54:57:615272,4.393936299951747
180,1,1377505.7779689,14:54:57:616412,4.3950769999064505
181,1,1377505.7799636,14:54:57:618407,4.397071500075981
182,1,1377505.7820525,14:54:57:620426,4.399175700033084
183,1,1377505.783937,14:54:57:622309,4.4010653998702765
184,1,1377505.7858316,14:54:57:624248,4.402960600098595
185,1,1377505.7868359,14:54:57:625279,4.40394390001893
186,1,1377505.7888284,14:54:57:627272,4.405936100054532
187,1,1377505.7909094,14:54:57:629354,4.408016700064763
188,1,1377505.8719305,14:54:57:710173,4.489026499912143
189,1,1377505.8728258,14:54:57:711199,4.489934500074014
