	onset	duration	trial_type	real_time
0	2.8615060000680366	15.000028399983421	preaudio_metronome	14:54:56:078055
1	4.389146300032735	0.0	Left-Min	14:54:57:610119
2	5.789183299988508	0.0	Trigger_received	14:54:59:010247
3	7.788925200002268	0.0	Right-Max	14:55:01:010155
4	8.58946799999103	0.0	Trigger_received	14:55:01:810543
5	10.08971960004419	0.0	Left-Min	14:55:03:310773
6	11.489716100040823	0.0	Trigger_received	14:55:04:710746
7	13.989551099948585	0.0	Right-Max	14:55:07:210606
8	14.389420999912545	0.0	Trigger_received	14:55:07:610546
9	17.189791599987075	0.0	Trigger_received	14:55:10:410894
10	18.38966239988804	0.0	Left-Min	14:55:11:610915
11	19.690001900075004	0.0	Right-Max	14:55:12:911088
12	20.089761900017038	0.0	Trigger_received	14:55:13:310853
13	20.989519299939275	0.0	Left-Min	14:55:14:210639
14	21.889905999880284	0.0	Right-Max	14:55:15:111011
15	22.88987850002013	0.0	Left-Min	14:55:16:110927
16	22.892532899975777	0.0	Trigger_received	14:55:16:113921
17	23.689708000048995	0.0	Right-Max	14:55:16:910805
18	25.489990500034764	0.0	Left-Min	14:55:18:711102
19	25.790092600043863	0.0	Trigger_received	14:55:19:011128
20	27.289626100100577	0.0	Right-Max	14:55:20:510748
21	28.689722700044513	0.0	Trigger_received	14:55:21:910382
22	31.49043340003118	0.0	Trigger_received	14:55:24:711598
23	31.58970190002583	0.0	Left-Min	14:55:24:810688
24	34.39025490009226	0.0	Trigger_received	14:55:27:611584
25	35.08995439996943	0.0	Right-Max	14:55:28:311145
26	37.190113899996504	0.0	Trigger_received	14:55:30:411319
27	38.190210700035095	0.0	Left-Min	14:55:31:411359
28	40.090201100101694	0.0	Trigger_received	14:55:33:311510
29	42.59026010008529	0.0	Right-Max	14:55:35:811640
30	42.990221000043675	0.0	Trigger_received	14:55:36:211519
31	45.790237799985334	0.0	Trigger_received	14:55:39:011477
32	46.0903241999913	0.0	Left-Min	14:55:39:311517
33	47.49037389992736	0.0	Right-Max	14:55:40:711598
34	48.69039359991439	0.0	Trigger_received	14:55:41:911652
35	48.890247100032866	0.0	Left-Min	14:55:42:111530
36	49.88986080000177	0.0	Right-Max	14:55:43:111050
37	50.89068019995466	0.0	Left-Min	14:55:44:111918
38	51.490181300090626	0.0	Trigger_received	14:55:44:711011
39	51.8904359000735	0.0	Right-Max	14:55:45:111639
40	53.2904070999939	0.0	Left-Min	14:55:46:511645
41	54.390154799912125	0.0	Trigger_received	14:55:47:611065
42	55.590423699934036	0.0	Right-Max	14:55:48:811731
43	57.29059109999798	0.0	Trigger_received	14:55:50:511927
44	59.6905888998881	0.0	Left-Min	14:55:52:912038
45	60.09061839990318	0.0	Trigger_received	14:55:53:311912
46	62.99052589992061	0.0	Trigger_received	14:55:56:211808
47	64.09085859986953	0.0	Right-Max	14:55:57:312119
48	65.790717799915	0.0	Left-Min	14:55:59:011990
49	65.79347430006601	0.0	Trigger_received	14:55:59:014983
50	68.6903878999874	0.0	Trigger_received	14:56:01:911703
51	70.29051609989256	0.0	Right-Max	14:56:03:511858
52	71.59083119989373	0.0	Trigger_received	14:56:04:812260
53	74.39040659996681	0.0	Trigger_received	14:56:07:611787
54	74.49076589988545	0.0	Left-Min	14:56:07:712124
55	75.39049530006014	0.0	Right-Max	14:56:08:611988
56	76.89084589993581	0.0	Left-Min	14:56:10:112154
57	77.29129979992285	0.0	Trigger_received	14:56:10:512638
58	77.79059419990517	0.0	Right-Max	14:56:11:012109
59	78.79114299989305	0.0	Left-Min	14:56:12:012462
60	79.79086229996756	0.0	Right-Max	14:56:13:012169
61	80.09080110001378	0.0	Trigger_received	14:56:13:312209
62	81.29028220009059	0.0	Left-Min	14:56:14:511704
