,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,2141753.0423783665,14:57:04:513858,0.7781961663315826
1,1,2141753.0442311,14:56:49:519101,0.779882799834013
2,1,2141753.0449861,14:56:49:520131,0.7806485998444259
3,1,2141753.046953,14:56:49:522093,0.7826207997277379
4,1,2141753.0491569,14:56:49:524253,0.7848650999367237
5,1,2141753.0511033,14:56:49:526233,0.7867676001042128
6,1,2141753.0529241,14:56:49:528102,0.7885813000611961
7,1,2141753.0549413,14:56:49:530071,0.7906364998780191
8,1,2141753.0569321,14:56:49:532070,0.7926031998358667
9,1,2141753.0589426,14:56:49:534077,0.7946417997591197
10,1,2141753.0598887,14:56:49:535081,0.7955470997840166
11,1,2141753.0619327,14:56:49:537078,0.7976219998672605
12,1,2141753.0825803,14:56:49:557591,0.8182318001054227
13,1,2141753.0834997,14:56:49:558602,0.8191840997897089
14,1,2141753.0854986,14:56:49:560594,0.8211773000657558
15,1,2141753.0874538,14:56:49:562590,0.8231333997100592
16,1,2141753.0894598,14:56:49:564580,0.825125599745661
17,1,2141753.0914705,14:56:49:566578,0.8271630997769535
18,1,2141753.0934366,14:56:49:568572,0.8291301997378469
19,1,2141753.0954232,14:56:49:570567,0.8311151000671089
20,1,2141753.0974257,14:56:49:572562,0.8331190999597311
21,1,2141753.0994108,14:56:49:574556,0.8351019001565874
22,1,2141753.1014519,14:56:49:576551,0.8371351999230683
23,1,2141753.179999,14:56:49:654941,0.9156503998674452
24,1,2141753.1809879,14:56:49:656157,0.9166600001044571
25,1,2141753.1821578,14:56:49:657304,0.917829199694097
26,1,2141753.1831754,14:56:49:658327,0.9188521998003125
27,1,2141753.1841741,14:56:49:659342,0.9198421998880804
28,1,2141753.1861835,14:56:49:661327,0.9218609998933971
29,1,2141753.188138,14:56:49:663324,0.923802400007844
30,1,2141753.1901378,14:56:49:665321,0.925802499987185
31,1,2141753.1919959,14:56:49:667163,0.9276662999764085
32,1,2141753.1931121,14:56:49:668304,0.9287752001546323
33,1,2141753.1951182,14:56:49:670302,0.9307830999605358
34,1,2141753.2888388,14:56:49:763782,1.0244900998659432
35,1,2141753.289855,14:56:49:764939,1.0255339001305401
36,1,2141753.2908164,14:56:49:766007,1.026479700114578
37,1,2141753.2919005,14:56:49:767072,1.0275805001147091
38,1,2141753.2930258,14:56:49:768177,1.028702000156045
39,1,2141753.2940132,14:56:49:769187,1.029680300038308
40,1,2141753.2959938,14:56:49:771169,1.031660699751228
41,1,2141753.2980241,14:56:49:773178,1.0336973001249135
42,1,2141753.2999479,14:56:49:775074,1.0356251001358032
43,1,2141753.3010077,14:56:49:776156,1.0366831999272108
44,1,2141753.3029443,14:56:49:778118,1.0386176998727024
45,1,2141753.3899318,14:56:49:864962,1.1255831997841597
46,1,2141753.3910409,14:56:49:866119,1.1267204997129738
47,1,2141753.3929938,14:56:49:868117,1.1286681997589767
48,1,2141753.3939892,14:56:49:869169,1.1296544997021556
49,1,2141753.395196,14:56:49:870338,1.1308753998018801
50,1,2141753.3970689,14:56:49:872213,1.1327486000955105
51,1,2141753.3981814,14:56:49:873343,1.1338566998019814
52,1,2141753.4001554,14:56:49:875340,1.1358198998495936
53,1,2141753.4021717,14:56:49:877329,1.1378679000772536
54,1,2141753.4041331,14:56:49:879306,1.139803399797529
55,1,2141753.4061399,14:56:49:881311,1.1418098998256028
56,1,2141753.4897575,14:56:49:964782,1.225408900063485
57,1,2141753.4908531,14:56:49:965960,1.2265443000942469
58,1,2141753.4919828,14:56:49:967143,1.2276628999970853
59,1,2141753.49317,14:56:49:968312,1.228849499952048
60,1,2141753.4941739,14:56:49:969316,1.2298546000383794
61,1,2141753.4960903,14:56:49:971263,1.2317538000643253
62,1,2141753.4971607,14:56:49:972305,1.2328376998193562
63,1,2141753.4981325,14:56:49:973312,1.2337977001443505
64,1,2141753.5001344,14:56:49:975308,1.235801599919796
65,1,2141753.5019601,14:56:49:977119,1.237631999887526
66,1,2141753.5029829,14:56:49:978171,1.2386467000469565
67,1,2141753.589163,14:56:50:064116,1.3248143997043371
