,audio_status,audio_status_time,audio_status_realtime,audio_status_globaltime
0,1,2142122.5708438666,15:03:14:043013,0.7782518664064497
1,1,2142122.5723489,15:02:59:047032,0.7796547999605536
2,1,2142122.5744552,15:02:59:049993,0.7817914998158813
3,1,2142122.5764709,15:02:59:052005,0.7837967001833022
4,1,2142122.5774852,15:02:59:053014,0.7848062999546528
5,1,2142122.5794548,15:02:59:055007,0.786799100227654
6,1,2142122.5814399,15:02:59:057001,0.7887826999649405
7,1,2142122.583495,15:02:59:058996,0.7908197999931872
8,1,2142122.5854331,15:02:59:060991,0.7927782000042498
9,1,2142122.5874074,15:02:59:062986,0.7947376002557576
10,1,2142122.5894182,15:02:59:064978,0.79674920020625
11,1,2142122.5914586,15:02:59:066976,0.7988158999942243
12,1,2142122.6125756,15:02:59:088016,0.8198811998590827
13,1,2142122.6136011,15:02:59:089166,0.8209154000505805
14,1,2142122.6154278,15:02:59:091011,0.8227391000837088
15,1,2142122.616573,15:02:59:092165,0.8238834999501705
16,1,2142122.6176185,15:02:59:093175,0.8249634001404047
17,1,2142122.6196107,15:02:59:095167,0.826957100071013
18,1,2142122.6215752,15:02:59:097164,0.8288989001885056
19,1,2142122.6235716,15:02:59:099153,0.8309296001680195
20,1,2142122.6246008,15:02:59:100155,0.8319461001083255
21,1,2142122.6265881,15:02:59:102149,0.8339323000982404
22,1,2142122.6286422,15:02:59:104143,0.8359638000838459
23,1,2142122.7027373,15:02:59:178141,0.910052000079304
24,1,2142122.7035534,15:02:59:179143,0.910867600236088
25,1,2142122.7057053,15:02:59:181289,0.9130210001021624
26,1,2142122.7067498,15:02:59:182300,0.9140975000336766
27,1,2142122.7087303,15:02:59:184292,0.9160742000676692
28,1,2142122.7107247,15:02:59:186287,0.918068700004369
29,1,2142122.7127182,15:02:59:188281,0.9200630998238921
30,1,2142122.7147099,15:02:59:190276,0.9220203999429941
31,1,2142122.7167074,15:02:59:192271,0.9240521001629531
32,1,2142122.7183803,15:02:59:194001,0.9256911999545991
33,1,2142122.7197068,15:02:59:195262,0.9270518999546766
34,1,2142122.8065748,15:02:59:282010,1.0138805001042783
35,1,2142122.8076669,15:02:59:283231,1.015000100247562
36,1,2142122.8086432,15:02:59:284231,1.0159618998877704
37,1,2142122.809836,15:02:59:285399,1.0171691002324224
38,1,2142122.8118149,15:02:59:287381,1.0191477998159826
39,1,2142122.8128196,15:02:59:288394,1.0201467000879347
40,1,2142122.8138098,15:02:59:289403,1.0211312999017537
41,1,2142122.8157992,15:02:59:291395,1.0231208000332117
42,1,2142122.817826,15:02:59:293390,1.025159299839288
43,1,2142122.8197972,15:02:59:295363,1.0271298000589013
44,1,2142122.8217637,15:02:59:297355,1.0290892999619246
45,1,2142122.9072648,15:02:59:382702,1.1145704998634756
46,1,2142122.9083452,15:02:59:383846,1.115678499918431
47,1,2142122.909313,15:02:59:384922,1.11663160007447
48,1,2142122.9105269,15:02:59:386089,1.1178598999977112
49,1,2142122.9125375,15:02:59:388100,1.119871700182557
50,1,2142122.9143992,15:02:59:389968,1.121731299906969
51,1,2142122.9155163,15:02:59:391078,1.1228494998067617
52,1,2142122.9175167,15:02:59:393075,1.1248496999032795
53,1,2142122.9193475,15:02:59:394901,1.1266803001053631
54,1,2142122.9215017,15:02:59:397064,1.1288350000977516
55,1,2142122.9234388,15:02:59:399049,1.1307570999488235
56,1,2142123.0075452,15:02:59:482913,1.214850999880582
57,1,2142123.0094798,15:02:59:484915,1.2167993001639843
58,1,2142123.0114699,15:02:59:487080,1.2187871998175979
59,1,2142123.0126857,15:02:59:488248,1.2200187998823822
60,1,2142123.0145757,15:02:59:490103,1.221909699961543
61,1,2142123.0156912,15:02:59:491254,1.2230239999480546
62,1,2142123.0176111,15:02:59:493155,1.224943300243467
63,1,2142123.0194581,15:02:59:495061,1.2267791000194848
64,1,2142123.0205276,15:02:59:496107,1.2278599999845028
65,1,2142123.0216023,15:02:59:497110,1.228934499900788
66,1,2142123.0226046,15:02:59:498213,1.229921800084412
67,1,2142123.1072842,15:02:59:582763,1.3145900000818074
68,1,2142123.1083152,15:02:59:583812,1.3156487001106143
69,1,2142123.1093631,15:02:59:584972,1.3166811000555754
70,1,2142123.1105808,15:02:59:586144,1.317913900129497
71,1,2142123.1125626,15:02:59:588126,1.3198955999687314
72,1,2142123.1135684,15:02:59:589130,1.3209024998359382
73,1,2142123.1153932,15:02:59:590960,1.3227222999557853
74,1,2142123.1165658,15:02:59:592128,1.3238989999517798
75,1,2142123.1185605,15:02:59:594125,1.3258940000087023
76,1,2142123.1203477,15:02:59:595946,1.3276835000142455
77,1,2142123.1214879,15:02:59:597041,1.3288386999629438
78,1,2142123.2076511,15:02:59:683110,1.4149569999426603
79,1,2142123.2085768,15:02:59:684163,1.415902600158006
80,1,2142123.2097151,15:02:59:685326,1.417032000143081
81,1,2142123.2107385,15:02:59:686335,1.4180616000667214
82,1,2142123.211736,15:02:59:687339,1.419056999962777
83,1,2142123.213727,15:02:59:689330,1.4210481001064181
84,1,2142123.2157102,15:02:59:691313,1.4230320998467505
85,1,2142123.2177371,15:02:59:693322,1.425064300186932
86,1,2142123.2197199,15:02:59:695300,1.4270484000444412
87,1,2142123.221746,15:02:59:697301,1.4290948999114335
88,1,2142123.2236099,15:02:59:699178,1.4309442001394928
89,1,2142123.307414,15:02:59:782894,1.51471980009228
90,1,2142123.3084088,15:02:59:783929,1.5157412998378277
91,1,2142123.3094912,15:02:59:785100,1.5168097000569105
92,1,2142123.3107326,15:02:59:786273,1.518065100070089
93,1,2142123.3126861,15:02:59:788249,1.5200196001678705
94,1,2142123.3145077,15:02:59:790098,1.5218306998722255
95,1,2142123.3156676,15:02:59:791275,1.5229858998209238
96,1,2142123.317702,15:02:59:793267,1.5250356001779437
97,1,2142123.3195106,15:02:59:795077,1.5268442002125084
98,1,2142123.3205393,15:02:59:796121,1.527871500235051
99,1,2142123.3216747,15:02:59:797237,1.5290079000405967
100,1,2142123.4109587,15:02:59:885700,1.6182646001689136
101,1,2142123.41231,15:02:59:887874,1.61964390007779
102,1,2142123.4134921,15:02:59:889056,1.6208248999901116
103,1,2142123.4154474,15:02:59:891041,1.6227702000178397
104,1,2142123.4164381,15:02:59:892049,1.6237555998377502
105,1,2142123.418431,15:02:59:894034,1.625763500109315
106,1,2142123.42026,15:02:59:895862,1.627581899985671
107,1,2142123.4214934,15:02:59:897022,1.6288638999685645
108,1,2142123.4234309,15:02:59:899008,1.6307534999214113
109,1,2142123.4244522,15:02:59:900014,1.6317855999805033
110,1,2142123.4264367,15:02:59:902004,1.6337688998319209
111,1,2142123.5071332,15:02:59:982605,1.7144391001202166
112,1,2142123.5082667,15:02:59:983765,1.7156000002287328
113,1,2142123.509203,15:02:59:984813,1.716520800255239
114,1,2142123.5104165,15:02:59:985982,1.7177471998147666
115,1,2142123.5114178,15:02:59:986982,1.7187504000030458
116,1,2142123.5123831,15:02:59:987994,1.7197007001377642
117,1,2142123.5141964,15:02:59:989802,1.7215153998695314
118,1,2142123.5153615,15:02:59:990970,1.7226797002367675
119,1,2142123.5174065,15:02:59:992974,1.724739400204271
120,1,2142123.5192561,15:02:59:994842,1.7265743999741971
121,1,2142123.5213875,15:02:59:996953,1.728720699902624
122,1,2142123.6079847,15:03:00:082960,1.8152904999442399
123,1,2142123.6093836,15:03:00:084958,1.816702099982649
124,1,2142123.6113752,15:03:00:086954,1.8186924001201987
125,1,2142123.6133873,15:03:00:088947,1.8207045998424292
126,1,2142123.6153715,15:03:00:090942,1.8226890000514686
127,1,2142123.6175593,15:03:00:093124,1.8248920999467373
128,1,2142123.6187537,15:03:00:094292,1.8261112999171019
129,1,2142123.6206083,15:03:00:096144,1.8279474000446498
130,1,2142123.6218048,15:03:00:097285,1.829150500241667
131,1,2142123.6237168,15:03:00:099279,1.831049700267613
132,1,2142123.6256573,15:03:00:101268,1.832975700031966
133,1,2142123.7071852,15:03:00:182632,1.91449090000242
134,1,2142123.7083063,15:03:00:183802,1.9156395001336932
135,1,2142123.7102181,15:03:00:185828,1.9175359001383185
136,1,2142123.711434,15:03:00:186997,1.9187675998546183
137,1,2142123.7134553,15:03:00:188982,1.9208018002100289
138,1,2142123.7152397,15:03:00:190817,1.9225667999126017
139,1,2142123.7171992,15:03:00:192811,1.9245166000910103
140,1,2142123.7182672,15:03:00:193813,1.925620200112462
141,1,2142123.7202188,15:03:00:195808,1.9275294998660684
142,1,2142123.7214066,15:03:00:196970,1.9287413000129163
143,1,2142123.7232131,15:03:00:198795,1.9305316000245512
144,1,2142123.8074886,15:03:00:282942,2.014794399961829
145,1,2142123.8084573,15:03:00:283983,2.015789700206369
146,1,2142123.8095301,15:03:00:285141,2.0168480002321303
147,1,2142123.8107143,15:03:00:286281,2.0180469998158514
148,1,2142123.8117454,15:03:00:287308,2.019079300109297
149,1,2142123.8127416,15:03:00:288313,2.0200630999170244
150,1,2142123.8137036,15:03:00:289314,2.021021000109613
151,1,2142123.8157149,15:03:00:291313,2.0230360999703407
152,1,2142123.8177444,15:03:00:293308,2.025077600032091
153,1,2142123.819547,15:03:00:295117,2.026877800002694
154,1,2142123.8205692,15:03:00:296147,2.027909900061786
155,1,2142123.9075915,15:03:00:383040,2.114897199906409
156,1,2142123.908521,15:03:00:384097,2.1158536998555064
157,1,2142123.9096532,15:03:00:385265,2.116971000097692
158,1,2142123.9116582,15:03:00:387258,2.118980400264263
159,1,2142123.9136551,15:03:00:389251,2.120980199892074
160,1,2142123.9155215,15:03:00:391131,2.122839900199324
161,1,2142123.9165205,15:03:00:392132,2.123837700113654
162,1,2142123.9185011,15:03:00:394104,2.125818899832666
163,1,2142123.9195073,15:03:00:395119,2.126824399922043
164,1,2142123.9216718,15:03:00:397239,2.12900419998914
165,1,2142123.9236073,15:03:00:399219,2.1309245000593364
166,1,2142124.0073073,15:03:00:482660,2.2146131000481546
167,1,2142124.0083746,15:03:00:483915,2.215707399882376
168,1,2142124.0095111,15:03:00:485075,2.216844900045544
169,1,2142124.0105145,15:03:00:486079,2.217847099993378
170,1,2142124.0114848,15:03:00:487095,2.2188037000596523
171,1,2142124.0134684,15:03:00:489077,2.2207868001423776
172,1,2142124.0155034,15:03:00:491071,2.222835199907422
