,audio_status,audio_status_time
0,1,1455.347124023
1,1,1455.365493324
2,1,1455.366523355
3,1,1455.367152523
4,1,1455.367814665
5,1,1455.368426781
6,1,1455.369052994
7,1,1455.369686661
8,1,1455.370342723
9,1,1455.370938922
10,1,1455.371598604
11,1,1455.37226372
12,1,1455.385655965
13,1,1455.386424759
14,1,1455.387042904
15,1,1455.387666084
16,1,1455.388314101
17,1,1455.388942195
18,1,1455.389565548
19,1,1455.390225312
20,1,1455.390862512
21,1,1455.39149062
22,1,1455.392184556
23,1,1455.402592941
24,1,1455.403471664
25,1,1455.40414574
26,1,1455.404792562
27,1,1455.405411509
28,1,1455.406132052
29,1,1455.406740891
30,1,1455.407381062
31,1,1455.408044312
32,1,1455.408715383
33,1,1455.409395665
34,1,1455.419404828
35,1,1455.420351588
36,1,1455.420977301
37,1,1455.421665095
38,1,1455.422341538
39,1,1455.423005702
40,1,1455.423676035
41,1,1455.424340912
42,1,1455.42513766
43,1,1455.425789188
44,1,1455.426391189
45,1,1455.435968859
46,1,1455.436935042
47,1,1455.437630638
48,1,1455.438327381
49,1,1455.438954282
50,1,1455.439668013
51,1,1455.440297071
52,1,1455.44093508
53,1,1455.441594586
54,1,1455.442221723
55,1,1455.442845938
56,1,1455.453148994
57,1,1455.453938884
58,1,1455.454540338
59,1,1455.455219171
60,1,1455.455784922
61,1,1455.456396524
62,1,1455.457059198
63,1,1455.457741831
64,1,1455.458474722
65,1,1455.459084761
66,1,1455.459683476
67,1,1455.46936379
68,1,1455.470262282
69,1,1455.470896263
70,1,1455.471584885
71,1,1455.47217116
72,1,1455.472853661
73,1,1455.473544766
74,1,1455.474161361
75,1,1455.474816188
76,1,1455.475575044
77,1,1455.47618552
78,1,1455.486089155
79,1,1455.48691005
80,1,1455.487580759
81,1,1455.488260556
82,1,1455.488983385
83,1,1455.489741665
84,1,1455.490399344
85,1,1455.491048231
86,1,1455.491690275
87,1,1455.49238288
88,1,1455.4930627
89,1,1455.502378439
90,1,1455.503223805
91,1,1455.503927819
92,1,1455.504746479
93,1,1455.505437979
94,1,1455.506095938
95,1,1455.506748253
96,1,1455.507400655
97,1,1455.508096618
98,1,1455.508815221
99,1,1455.509450138
100,1,1455.519583108
101,1,1455.520423674
102,1,1455.521183063
103,1,1455.521836064
104,1,1455.522435228
105,1,1455.523079375
106,1,1455.523733709
107,1,1455.524390973
108,1,1455.525049019
109,1,1455.525742031
110,1,1455.526452058
111,1,1455.535788882
112,1,1455.536601275
113,1,1455.537259875
114,1,1455.537915464
115,1,1455.538530598
116,1,1455.539162115
117,1,1455.539773741
118,1,1455.540436404
119,1,1455.541046591
120,1,1455.541600055
121,1,1455.542184882
122,1,1455.55234864
123,1,1455.553092943
124,1,1455.553751139
125,1,1455.554386691
126,1,1455.555024172
127,1,1455.555654308
128,1,1455.556271694
129,1,1455.556893661
130,1,1455.557442059
131,1,1455.558071971
132,1,1455.558688093
133,1,1455.568906502
134,1,1455.56962671
135,1,1455.570239838
136,1,1455.570846293
137,1,1455.571466743
138,1,1455.572141755
139,1,1455.572744273
140,1,1455.573291231
141,1,1455.573944355
142,1,1455.574565938
143,1,1455.575164996
144,1,1455.586387229
145,1,1455.587267826
146,1,1455.587981963
147,1,1455.588619789
148,1,1455.589518163
149,1,1455.590144539
150,1,1455.59110816
151,1,1455.591704464
152,1,1455.592335904
153,1,1455.59296588
154,1,1455.593593868
155,1,1455.602982792
156,1,1455.603990801
157,1,1455.604634942
158,1,1455.605278388
159,1,1455.605893481
160,1,1455.606586476
161,1,1455.607259053
162,1,1455.60793019
163,1,1455.608614764
164,1,1455.609297561
165,1,1455.609935283
166,1,1455.619105366
167,1,1455.619864793
168,1,1455.620417983
169,1,1455.620981441
170,1,1455.621624995
171,1,1455.622266058
172,1,1455.622943604
173,1,1455.623536913
174,1,1455.624084371
175,1,1455.62472015
176,1,1455.625335455
177,1,1455.635994343
178,1,1455.636781301
179,1,1455.63753053
180,1,1455.638192866
181,1,1455.638884284
182,1,1455.639521495
183,1,1455.640234385
184,1,1455.640893165
185,1,1455.641664748
186,1,1455.642274592
187,1,1455.643009898
188,1,1455.652253642
189,1,1455.653028608
190,1,1455.653625688
191,1,1455.654270724
192,1,1455.654845459
193,1,1455.655431976
194,1,1455.656125699
195,1,1455.656803748
196,1,1455.657446003
197,1,1455.658239619
198,1,1455.658909409
199,1,1455.668968936
200,1,1455.669658629
201,1,1455.670215511
202,1,1455.670814059
203,1,1455.671444184
204,1,1455.671996198
205,1,1455.672625851
206,1,1455.67326856
207,1,1455.673897388
208,1,1455.674515462
209,1,1455.675138033
210,1,1455.685588991
211,1,1455.686364963
212,1,1455.686981342
213,1,1455.68763215
214,1,1455.68825538
215,1,1455.688886212
216,1,1455.689507462
217,1,1455.690166252
218,1,1455.690858535
219,1,1455.691434293
220,1,1455.692082275
221,1,1455.702272676
222,1,1455.703070788
223,1,1455.703706276
224,1,1455.704294745
225,1,1455.704949995
226,1,1455.705754938
227,1,1455.70645844
228,1,1455.707093636
229,1,1455.707742181
230,1,1455.708410873
231,1,1455.709109293
232,1,1455.719061959
233,1,1455.719944755
234,1,1455.720583142
235,1,1455.72120483
236,1,1455.721844951
237,1,1455.72249541
238,1,1455.7231059
239,1,1455.723727391
240,1,1455.724355484
241,1,1455.724917804
242,1,1455.725532684
243,1,1455.735812746
244,1,1455.736600721
245,1,1455.73725324
246,1,1455.73788942
247,1,1455.738545883
248,1,1455.73920321
249,1,1455.739823621
250,1,1455.740451603
251,1,1455.741062738
252,1,1455.741739421
253,1,1455.74234795
254,1,1455.752517143
255,1,1455.753353874
256,1,1455.753970911
257,1,1455.754597666
258,1,1455.755207145
259,1,1455.75582281
260,1,1455.756466206
261,1,1455.75700787
262,1,1455.75763527
263,1,1455.758315355
264,1,1455.758938818
265,1,1455.769154978
266,1,1455.769981286
267,1,1455.770669914
268,1,1455.771323471
269,1,1455.771997352
270,1,1455.772667952
271,1,1455.773279196
