,audio_status,audio_status_time,audio_status_realtime,audio_status_trialtime
0,1,3616.181973512199,08:24:24:401884,0.014588334397739544
1,1,3616.200833507,08:24:14:425914,0.03187763719870418
2,1,3616.201716565,08:24:14:426794,0.032801539198771934
3,1,3616.202415033,08:24:14:427491,0.033493064198864886
4,1,3616.203119217,08:24:14:428197,0.03420259519907631
5,1,3616.203824426,08:24:14:428901,0.03491015719873758
6,1,3616.204556851,08:24:14:429634,0.03566201319881657
7,1,3616.205300132,08:24:14:430379,0.03642514419880172
8,1,3616.206075861,08:24:14:431154,0.03717675219877492
9,1,3616.206845092,08:24:14:431924,0.03793726219873861
10,1,3616.207581132,08:24:14:432661,0.03868830219880692
11,1,3616.208348905,08:24:14:433427,0.03944434319873835
12,1,3616.230484851,08:24:14:455568,0.06153086719905332
13,1,3616.231340551,08:24:14:456420,0.062479821198849095
14,1,3616.232087566,08:24:14:457165,0.06316927319903698
15,1,3616.232738327,08:24:14:457816,0.0638271791990519
16,1,3616.233477943,08:24:14:458557,0.06457287919874943
17,1,3616.234263632,08:24:14:459341,0.06534898719883131
18,1,3616.234957047,08:24:14:460035,0.066052061199116
19,1,3616.235710114,08:24:14:460789,0.06681183719911132
20,1,3616.236709695,08:24:14:461789,0.06790926319899881
21,1,3616.237645467,08:24:14:462723,0.06872603219881057
22,1,3616.238583948,08:24:14:463662,0.06971862319869615
23,1,3616.266094867,08:24:14:491178,0.09714031319890637
24,1,3616.267104192,08:24:14:492183,0.09821529419878061
25,1,3616.267872952,08:24:14:492953,0.09896999319880706
26,1,3616.268588021,08:24:14:493667,0.0997353751990886
27,1,3616.269352933,08:24:14:494433,0.1005416951988991
28,1,3616.270164006,08:24:14:495242,0.10124553419882432
29,1,3616.270863932,08:24:14:495944,0.10196398519883587
30,1,3616.271736093,08:24:14:496817,0.10284103319872884
31,1,3616.272522536,08:24:14:497603,0.10366458919907018
32,1,3616.273332741,08:24:14:498413,0.10443839019899315
33,1,3616.274104071,08:24:14:499185,0.10523247219907716
34,1,3616.292822928,08:24:14:517909,0.12386917719868507
35,1,3616.293714913,08:24:14:518795,0.12481315719878694
36,1,3616.294494752,08:24:14:519576,0.12559874919907088
37,1,3616.295249933,08:24:14:520332,0.12636274419901383
38,1,3616.296018606,08:24:14:521199,0.12720770119904046
39,1,3616.29685375,08:24:14:521934,0.12794117219891632
40,1,3616.297592067,08:24:14:522675,0.1288029321990507
41,1,3616.298453891,08:24:14:523534,0.12954264119889558
42,1,3616.29930469,08:24:14:524387,0.1303960731988809
43,1,3616.300062045,08:24:14:525142,0.1311551041990242
44,1,3616.300789973,08:24:14:525870,0.13196837919895188
45,1,3616.309953691,08:24:14:535042,0.14100054219898084
46,1,3616.310894131,08:24:14:535976,0.14210149519885817
47,1,3616.311841784,08:24:14:536923,0.14306842719906854
48,1,3616.313038463,08:24:14:538119,0.14412997919907866
49,1,3616.313775335,08:24:14:538856,0.1449198601990247
50,1,3616.314583388,08:24:14:539664,0.14568530519909473
51,1,3616.315346821,08:24:14:540429,0.14651285719901352
52,1,3616.316216367,08:24:14:541297,0.14731676019891893
53,1,3616.31691711,08:24:14:541998,0.14801741719884376
54,1,3616.317691104,08:24:14:542772,0.1487970531989049
55,1,3616.318473661,08:24:14:543556,0.14958070419879732
56,1,3616.330923574,08:24:14:556007,0.1619678181987183
57,1,3616.331850473,08:24:14:556930,0.16292759819907587
58,1,3616.332517144,08:24:14:557597,0.16368267219877453
59,1,3616.333281427,08:24:14:558362,0.16437214219877205
60,1,3616.334001056,08:24:14:559081,0.16509405419901668
61,1,3616.334728706,08:24:14:559809,0.16581883819890209
62,1,3616.335429088,08:24:14:560510,0.1665143471986994
63,1,3616.336187317,08:24:14:561267,0.1672697681988211
64,1,3616.336891863,08:24:14:561972,0.16822114819888156
65,1,3616.337876653,08:24:14:562959,0.16901382019887023
66,1,3616.338687028,08:24:14:563769,0.16978541719890927
67,1,3616.359864454,08:24:14:584952,0.1909115821990781
68,1,3616.360863858,08:24:14:585946,0.19195833219873748
69,1,3616.361599871,08:24:14:586682,0.19269451819900496
70,1,3616.362348033,08:24:14:587431,0.19351097319895416
71,1,3616.363154607,08:24:14:588236,0.19424066719875555
72,1,3616.363815827,08:24:14:588897,0.19489879019874934
73,1,3616.364516674,08:24:14:589598,0.19561123819903514
74,1,3616.365377227,08:24:14:590460,0.19647851819900097
75,1,3616.366079575,08:24:14:591164,0.19718058919897885
76,1,3616.366915886,08:24:14:591999,0.19801960119866635
77,1,3616.367623942,08:24:14:592706,0.19872153719870767
78,1,3616.376822233,08:24:14:601911,0.207868481199057
79,1,3616.377787223,08:24:14:602870,0.20888356119894524
80,1,3616.378510501,08:24:14:603593,0.20960839719873547
81,1,3616.379286823,08:24:14:604370,0.21038402519889132
82,1,3616.379995232,08:24:14:605076,0.2110750581987304
83,1,3616.380699574,08:24:14:605782,0.2117902001987204
84,1,3616.381411873,08:24:14:606601,0.21262801319880964
85,1,3616.382240584,08:24:14:607322,0.21332791719896704
86,1,3616.382977888,08:24:14:608059,0.21414357519870464
87,1,3616.383757174,08:24:14:608837,0.2148247781988175
88,1,3616.384456926,08:24:14:609540,0.21554085819889224
89,1,3616.392853908,08:24:14:617944,0.22390189219868262
90,1,3616.39373057,08:24:14:618813,0.22482682419877165
91,1,3616.394428267,08:24:14:619510,0.22560636019898084
92,1,3616.39531078,08:24:14:620395,0.22641239819904513
93,1,3616.396015673,08:24:14:621188,0.22721271019872802
94,1,3616.396870512,08:24:14:621954,0.22797541319869197
95,1,3616.397680972,08:24:14:622764,0.22877741219872405
96,1,3616.398448391,08:24:14:623532,0.22955050019891132
97,1,3616.399187411,08:24:14:624271,0.23032476119897183
98,1,3616.400000581,08:24:14:625085,0.23110642719893804
99,1,3616.400767994,08:24:14:625852,0.23193572119907913
100,1,3616.409945052,08:24:14:635034,0.2409911381987513
101,1,3616.411041497,08:24:14:636126,0.2421432281989837
102,1,3616.41177979,08:24:14:636863,0.2428887191990725
103,1,3616.412514978,08:24:14:637599,0.24373228119884516
104,1,3616.413362953,08:24:14:638446,0.2446543931987435
105,1,3616.414275823,08:24:14:639360,0.24537563319881883
106,1,3616.415108184,08:24:14:640262,0.24632544019868874
107,1,3616.41599387,08:24:14:641094,0.24714401519895546
108,1,3616.416877496,08:24:14:641962,0.24797743719909704
109,1,3616.417698965,08:24:14:642782,0.24879409319873957
110,1,3616.418460816,08:24:14:643547,0.24956403219903223
111,1,3616.426453586,08:24:14:651551,0.25750745719869883
112,1,3616.427432966,08:24:14:652517,0.2585777391986994
113,1,3616.428308782,08:24:14:653392,0.25940473819900944
114,1,3616.42902845,08:24:14:654111,0.26016473219897307
115,1,3616.429834531,08:24:14:654918,0.2609301041989056
116,1,3616.430610666,08:24:14:655694,0.2618262551986845
117,1,3616.431474353,08:24:14:656558,0.26257342819872065
118,1,3616.432279258,08:24:14:657365,0.2633864381987223
119,1,3616.432981432,08:24:14:658065,0.2640708941989942
120,1,3616.433722754,08:24:14:658807,0.26482390219871377
121,1,3616.434420227,08:24:14:659503,0.26561978319887203
122,1,3616.442827565,08:24:14:667915,0.27387243819885043
