,audio_status,audio_status_time,audio_status_realtime
0,1,10622.829853652194,23:04:22:124155
1,1,10622.846209022,2022-06-13 23:04:12.144842
2,1,10622.847171589,2022-06-13 23:04:12.145803
3,1,10622.847810275,2022-06-13 23:04:12.146440
4,1,10622.84848597,2022-06-13 23:04:12.147117
5,1,10622.849087955,2022-06-13 23:04:12.147717
6,1,10622.849739638,2022-06-13 23:04:12.148371
7,1,10622.850432606,2022-06-13 23:04:12.149064
8,1,10622.851038677,2022-06-13 23:04:12.149669
9,1,10622.851822099,2022-06-13 23:04:12.150456
10,1,10622.85252176,2022-06-13 23:04:12.151153
11,1,10622.85317331,2022-06-13 23:04:12.151803
12,1,10622.864478564,2022-06-13 23:04:12.163109
13,1,10622.865181607,2022-06-13 23:04:12.163812
14,1,10622.865846702,2022-06-13 23:04:12.164477
15,1,10622.866531248,2022-06-13 23:04:12.165161
16,1,10622.867124528,2022-06-13 23:04:12.165754
17,1,10622.867756723,2022-06-13 23:04:12.166386
18,1,10622.868383527,2022-06-13 23:04:12.167013
19,1,10622.869015685,2022-06-13 23:04:12.167645
20,1,10622.869660915,2022-06-13 23:04:12.168291
21,1,10622.87027876,2022-06-13 23:04:12.168908
22,1,10622.870889287,2022-06-13 23:04:12.169518
23,1,10622.88088002,2022-06-13 23:04:12.179511
24,1,10622.881685345,2022-06-13 23:04:12.180316
25,1,10622.882348302,2022-06-13 23:04:12.180978
26,1,10622.882977638,2022-06-13 23:04:12.181608
27,1,10622.883622124,2022-06-13 23:04:12.182252
28,1,10622.884280693,2022-06-13 23:04:12.182910
29,1,10622.884879098,2022-06-13 23:04:12.183519
30,1,10622.885487595,2022-06-13 23:04:12.184116
31,1,10622.886126396,2022-06-13 23:04:12.184755
32,1,10622.886751762,2022-06-13 23:04:12.185380
33,1,10622.887373766,2022-06-13 23:04:12.186003
34,1,10622.897737876,2022-06-13 23:04:12.196370
35,1,10622.898569837,2022-06-13 23:04:12.197210
36,1,10622.89922405,2022-06-13 23:04:12.197854
37,1,10622.899814632,2022-06-13 23:04:12.198444
38,1,10622.900426605,2022-06-13 23:04:12.199057
39,1,10622.901001634,2022-06-13 23:04:12.199631
40,1,10622.901662484,2022-06-13 23:04:12.200292
41,1,10622.902299852,2022-06-13 23:04:12.200929
42,1,10622.902904567,2022-06-13 23:04:12.201534
43,1,10622.903546323,2022-06-13 23:04:12.202176
44,1,10622.904200694,2022-06-13 23:04:12.202830
45,1,10622.914595979,2022-06-13 23:04:12.213229
46,1,10622.915393653,2022-06-13 23:04:12.214027
47,1,10622.916045567,2022-06-13 23:04:12.214679
48,1,10622.916698207,2022-06-13 23:04:12.215330
49,1,10622.917336564,2022-06-13 23:04:12.215969
50,1,10622.917939972,2022-06-13 23:04:12.216572
51,1,10622.918513616,2022-06-13 23:04:12.217144
52,1,10622.919174725,2022-06-13 23:04:12.217808
53,1,10622.919814887,2022-06-13 23:04:12.218446
54,1,10622.920455846,2022-06-13 23:04:12.219086
55,1,10622.921087822,2022-06-13 23:04:12.219718
56,1,10622.931353422,2022-06-13 23:04:12.229986
57,1,10622.93222674,2022-06-13 23:04:12.230859
58,1,10622.93285541,2022-06-13 23:04:12.231487
59,1,10622.933482738,2022-06-13 23:04:12.232115
60,1,10622.934081835,2022-06-13 23:04:12.232713
61,1,10622.934748162,2022-06-13 23:04:12.233380
62,1,10622.935389779,2022-06-13 23:04:12.234022
63,1,10622.935997335,2022-06-13 23:04:12.234629
