,loop_start_time,loop_end_time,loop_length
0,5171.667774034,5171.684204802,0.016430767999736418
1,5171.68421317,5171.699014528,0.014801358000113396
2,5171.699021653,5171.71513666,0.01611500699982571
3,5171.715142769,5171.732217742,0.01707497300048999
4,5171.732224776,5171.74828404,0.016059263999522955
5,5171.74829064,5171.767679358,0.019388718000300287
6,5171.76768582,5171.783216994,0.015531173999988823
7,5171.783223902,5171.799514838,0.01629093599967746
8,5171.799521447,5171.81603912,0.01651767299972562
9,5171.816045937,5171.8328183,0.01677236300020013
10,5171.832824779,5171.849536451,0.01671167200038326
11,5171.849543333,5171.866133476,0.016590143000030366
12,5171.866140138,5171.88293725,0.016797111999949266
13,5171.882943811,5171.899802893,0.016859082000337366
14,5171.899811182,5171.916112363,0.016301181000017095
15,5171.9161187,5171.932817479,0.016698778999852948
16,5171.932824172,5171.949786254,0.016962081999736256
17,5171.949794613,5171.966247443,0.01645282999925257
18,5171.966253852,5171.982864173,0.016610321000371187
19,5171.982871818,5171.998996523,0.016124705000038375
20,5171.999001088,5172.015723251,0.016722162999940338
21,5172.015730329,5172.032148777,0.01641844799996761
22,5172.032154301,5172.048843009,0.01668870799949218
23,5172.048848681,5172.065607894,0.01675921300011396
24,5172.065615438,5172.082529433,0.016913994999413262
25,5172.082537576,5172.098918614,0.016381037999963155
26,5172.098924906,5172.115554459,0.0166295529998024
27,5172.115562131,5172.132412326,0.01685019500018825
28,5172.132417246,5172.149004203,0.01658695700007229
29,5172.149011542,5172.165795437,0.0167838950001169
30,5172.165805156,5172.182269441,0.016464285000438394
31,5172.182274372,5172.198997728,0.016723355999602063
32,5172.199002617,5172.216007697,0.017005080000672024
33,5172.216015328,5172.232511929,0.01649660099974426
34,5172.232516976,5172.249141931,0.016624955000224872
35,5172.249149564,5172.287420793,0.038271229000201856
36,5172.287429404,5172.299361636,0.011932231999708165
37,5172.299368897,5172.315430916,0.016062018999946304
38,5172.315439101,5172.332135372,0.016696271000000706
39,5172.332140604,5172.349140352,0.016999747999761894
40,5172.349146184,5172.36545122,0.01630503599972144
41,5172.365455997,5172.382309337,0.016853340000125172
42,5172.38233928,5172.398928359,0.01658907899945916
43,5172.398934004,5172.416401726,0.01746772200021951
44,5172.416408381,5172.433137962,0.01672958099970856
45,5172.43314553,5172.449684006,0.016538476000278024
46,5172.449691043,5172.466211558,0.01652051500059315
47,5172.466219928,5172.483009219,0.016789291000350204
48,5172.483016449,5172.499895142,0.01687869299985323
49,5172.499902582,5172.516355513,0.016452931000458193
50,5172.516363723,5172.535571641,0.019207918000574864
51,5172.53558172,5172.549797492,0.014215772000170546
52,5172.549806116,5172.566309487,0.01650337099999888
53,5172.566317162,5172.584202092,0.017884930000036547
54,5172.584210048,5172.599799136,0.015589087999615003
55,5172.59980652,5172.617224918,0.017418397999790614
56,5172.617231963,5172.632750677,0.015518713999881584
57,5172.632757565,5172.649829293,0.01707172799979162
58,5172.649836201,5172.667338488,0.01750228699984291
59,5172.667348565,5172.683563315,0.016214750000472122
60,5172.683572395,5172.699447557,0.015875162000156706
61,5172.699455359,5172.717546913,0.018091553999511234
62,5172.717555849,5172.732968795,0.015412945999742078
63,5172.732975914,5172.750546454,0.017570539999724133
64,5172.750554438,5172.766488674,0.015934236000248347
65,5172.766496528,5172.783370443,0.016873915000360284
66,5172.783381883,5172.799518874,0.01613699099925725
67,5172.799525601,5172.823424173,0.02389857199977996
68,5172.823431181,5172.840537413,0.01710623199960537
69,5172.840544993,5172.857242167,0.016697174000000814
70,5172.857247241,5172.865329484,0.00808224299998983
71,5172.86533714,5172.882289855,0.01695271500011586
72,5172.8822972,5172.898830129,0.016532929000277363
73,5172.898843284,5172.925736893,0.02689360900058091
74,5172.92574424,5172.966716682,0.04097244199965644
75,5172.966723557,5172.982068888,0.015345331000389706
76,5172.982076641,5172.999407418,0.01733077700009744
77,5172.999415445,5173.016138022,0.016722577000109595
78,5173.016145008,5173.032928885,0.016783876999397762
79,5173.032936603,5173.049791927,0.016855324000061955
80,5173.049798932,5173.066061198,0.01626226600001246
81,5173.066068075,5173.082444932,0.016376857000068412
82,5173.082451939,5173.099662155,0.017210216000421497
83,5173.099669883,5173.116527735,0.01685785199970269
84,5173.116534659,5173.133391169,0.016856510000252456
85,5173.133398123,5173.149584131,0.016186007999749563
86,5173.149589382,5173.169004443,0.01941506099956314
87,5173.169012238,5173.182820852,0.013808614000481612
88,5173.182827857,5173.199745043,0.01691718599977321
89,5173.19975573,5173.216629129,0.01687339899945073
90,5173.216635854,5173.233084891,0.016449036999802047
91,5173.23309269,5173.249518255,0.016425564999735798
92,5173.249522793,5173.265879092,0.016356299000108265
93,5173.265884899,5173.282375411,0.016490512000018498
94,5173.282382997,5173.299617033,0.01723403599953599
95,5173.299623673,5173.315680035,0.016056362000199442
96,5173.31568672,5173.332945379,0.017258659000617627
97,5173.332952982,5173.349011448,0.016058465999776672
98,5173.349018859,5173.365738641,0.016719781999199768
99,5173.365743739,5173.382499955,0.016756215999521373
100,5173.382506932,5173.399156085,0.01664915299988934
101,5173.399164288,5173.416534367,0.017370079000102123
102,5173.41654174,5173.43378234,0.017240600000150152
103,5173.433789607,5173.449888877,0.016099270000268007
104,5173.449897193,5173.466402052,0.016504859000633587
105,5173.466406931,5173.48295246,0.01654552899981354
106,5173.482960212,5173.49907554,0.016115328000523732
107,5173.499097447,5173.515691247,0.01659380000000965
108,5173.515697897,5173.532139974,0.016442076999737765
109,5173.532144719,5173.548968317,0.016823597999973572
110,5173.54897588,5173.565573925,0.016598044999227568
111,5173.565578695,5173.599114199,0.03353550399970118
